target,n,mean,sd,p0,p50,p90,maxv,var
y_oreb,18212,0.864759499231276,1.2272397187400361,0.5294860531517681,0.0,2.0,10.0,1.5061173272531232
y_dreb,18212,2.80578739292774,2.6161248164889233,0.19382824511311222,2.0,6.0,19.0,6.844109055449201
y_reb,18212,3.670546892159016,3.2790460936743395,0.14616736217878323,3.0,8.0,22.0,10.752143284440946
y_ast,18212,2.1230507357786075,2.2569454641223903,0.2773995168021085,1.0,5.0,19.0,5.093802828022632
y_pts,18212,8.720239402591698,7.500501034849229,0.1527564243356029,7.0,19.0,53.0,56.25751577377436
