probe,passed,n_checked,detail
player ref_mean__y_reb == mean of strictly earlier games,True,400,mismatches=0
n_prior == count of strictly earlier same-season games,True,400,mismatches=0
R02 opp RA share == opp's strictly earlier allowed shots,True,244,mismatches=0
P4_VACUOUS_SUPERSEDED (see DEFECTS.md D-01) -- original probe asserted nothing,False,192,membership differs from today's box on many rows -- A01 is not a today's-box quantity
ref_mean__y_ast unchanged when all FUTURE rows are deleted,True,148,mismatches=0
response never filtered by realised minutes,True,18212,all appeared rows retained; floor=10 applied only to rate history
P4b A01 == recomputed from PREVIOUS game box,True,250,mismatches=0
P4c A01 != recomputed from TODAY's box (tip-time discrimination),True,250,mismatches vs today's box=177; membership differed on 190 rows
