stratum,target,candidate,level,n,dr2,beta,sd_candidate,response_sd,d_target_per_1sd_signal,CEILING_dr2_D089form,CEILING_dr2_residualised,ceiling_vs_largest_measured,p_correct_level,fw_p,SURVIVES_fw_0.05
POOLED,y_oreb,R08_player_ra_share,player_season,13784,0.0064881159695263,0.6855790610846973,0.1842854947155794,1.2272501416408983,0.1263422764386358,0.0105981781065027,0.0064881159695263,5.152249930239524,0.9966722129783694,1.0,False
POOLED,y_ast,A04_teammate_prior_fgm_pg,team_season,13977,0.0022632452270134,-0.0309381574986814,3.953032804076786,2.277227958458112,0.1222995514899821,0.0028842753233085,0.0022632452270134,1.4021756554732623,0.0016638935108153,0.0016638935108153,True
DECISION,y_oreb,R08_player_ra_share,player_season,5111,0.0011459764767566,0.4348652889394654,0.1607438643675129,1.377471380881575,0.0699019270234247,0.0025752128320332,0.0011459764767566,1.2519265104682549,0.740432612312812,1.0,False
POOLED,y_dreb,R08_player_ra_share,player_season,13784,0.0019450467680231,0.6913244746723498,0.1842854947155794,2.6163171070708677,0.127401072823982,0.0023711848334465,0.0019450467680231,1.1527393453799222,0.5973377703826955,1.0,False
POOLED,y_reb,A01_c04_prevgame,team_season,13977,0.0017905176627558,-0.0154012233048811,10.323779299822714,3.279438924237498,0.158998830346879,0.0023506543039763,0.0017905176627558,1.142758533775547,0.0016638935108153,0.0016638935108153,True
POOLED,y_ast,A01_c04_prevgame,team_season,13977,0.0017820560616984,-0.0106822265576308,10.323779299822714,2.277227958458112,0.1102809494116862,0.0023452437013142,0.0017820560616984,1.1401281970414197,0.0016638935108153,0.0016638935108153,True
POOLED,y_reb,R08_player_ra_share,player_season,13784,0.0014948590170842,0.8343287450104748,0.1842854947155794,3.2859961917196627,0.1537546855296838,0.0021893873637108,0.0014948590170842,1.0643594378759358,0.966722129783694,1.0,False
POOLED,y_dreb,A01_c04_prevgame,team_season,13977,0.0016533680347609,-0.0117863172409341,10.323779299822714,2.610515129747928,0.1216793379530999,0.0021726073628306,0.0016533680347609,1.0562019265097717,0.0016638935108153,0.0016638935108153,True
DECISION,y_ast,A04_teammate_prior_fgm_pg,team_season,5111,0.0013667762846872,-0.0295785784843174,3.53862470437781,2.531073939298562,0.1046674885449835,0.0017100702147012,0.0013667762846872,0.8313418642203209,0.0049916805324459,0.0399334442595673,True
DECISION,y_ast,A01_c04_prevgame,team_season,5111,0.0012673705810683,-0.0102252190261951,9.41168358822967,2.531073939298562,0.0962365260948942,0.0014456734686941,0.0012673705810683,0.7028067421945067,0.0033277870216306,0.043261231281198,True
DECISION,y_dreb,A01_c04_prevgame,team_season,5111,0.0012298091336198,-0.0109791266255926,9.41168358822967,2.7871986411569645,0.1033320658751858,0.0013744672022456,0.0012298091336198,0.6681901809652893,0.0049916805324459,0.0465890183028286,True
DECISION,y_reb,A01_c04_prevgame,team_season,5111,0.0012303813437367,-0.0136797761352474,9.41168358822967,3.476316878584853,0.1287497245427639,0.0013716834635132,0.0012303813437367,0.6668368806578514,0.0066555740432612,0.0881863560732113,False
DECISION,y_dreb,R08_player_ra_share,player_season,5111,0.0007590476436311,0.5665174302246968,0.1607438643675129,2.7871986411569645,0.0910642009658706,0.0010674794405473,0.0007590476436311,0.5189496551032086,0.8452579034941764,1.0,False
DECISION,y_dreb,R02_opp_allowed_ra_share,opp_team_season,5111,0.0007302174265928,-1.8565286801295493,0.0406328662997196,2.787198641156965,0.075436081641299,0.0007325249146779,0.0007302174265928,0.35611323027608166,0.7853577371048253,1.0,False
POOLED,y_oreb,A01_c04_prevgame,team_season,13977,0.0005167341871784,-0.0030946751571225,10.323779299822714,1.2236796493286035,0.0319487433267775,0.0006816667105943,0.0005167341871784,0.3313887752038406,0.0066555740432612,0.0399334442595673,True
POOLED,y_ast,A05_teammate_prior_fgpct,team_season,13977,0.0005447806528256,-1.9277474895977973,0.0293756356608905,2.277227958458112,0.0566288079006212,0.0006183890977287,0.0005447806528256,0.30062668824924654,0.0016638935108153,0.0016638935108153,True
DECISION,y_reb,R02_opp_allowed_ra_share,opp_team_season,5111,0.0005629771484433,-2.0342132026825026,0.0406328662997196,3.476316878584853,0.0826559130897227,0.0005653392541058,0.0005629771484433,0.27483677885551777,0.4658901830282861,1.0,False
DECISION,y_reb,R08_player_ra_share,player_season,5111,0.000302019966241,0.4867847552935305,0.1607438643675129,3.476316878584854,0.0782476626810762,0.0005066453176029,0.000302019966241,0.24630302265576087,0.9118136439267888,1.0,False
DECISION,y_oreb,R10_opp_allowed_oreb_pg,opp_team_season,5111,0.0005009781027001,0.0356067165006134,0.8694231467953196,1.377471380881575,0.0309573035070121,0.0005050810575546,0.0005009781027001,0.24554256565610114,1.0,1.0,False
POOLED,y_oreb,R10_opp_allowed_oreb_pg,opp_team_season,13977,0.0004008389465196,0.0201421051647842,1.226649543017128,1.2236796493286035,0.0247073040957855,0.0004076760947689,0.0004008389465196,0.19818964257117164,0.9417637271214644,1.0,False
