candidate,target,season,n,dr2,beta
A01_c04_prevgame,y_ast,2022,4406,0.0031499599576734296,-0.014342369919656367
A01_c04_prevgame,y_ast,2023,4776,0.00023126944056069666,-0.004108397599142282
A01_c04_prevgame,y_ast,2024,4795,0.0029506512689734367,-0.013165151155931783
A01_c04_prevgame,y_reb,2022,4406,0.001823365790164374,-0.015615069630250236
A01_c04_prevgame,y_reb,2023,4776,0.0011104006927696714,-0.012676910317990031
A01_c04_prevgame,y_reb,2024,4795,0.0025964082523695017,-0.018149983041150584
A04_teammate_prior_fgm_pg,y_ast,2022,4406,0.005106202772143295,-0.04490117419897517
A04_teammate_prior_fgm_pg,y_ast,2023,4776,0.0005579001817281333,-0.016344901714993778
A04_teammate_prior_fgm_pg,y_ast,2024,4795,0.0023651299748594424,-0.031959807712791034
A04_teammate_prior_fgm_pg,y_reb,2022,4406,0.0012993690485508854,-0.03180715526348136
A04_teammate_prior_fgm_pg,y_reb,2023,4776,0.0008151373366984838,-0.02746761376163251
A04_teammate_prior_fgm_pg,y_reb,2024,4795,0.0028401304270060683,-0.05106708558741368
