stratum,target,candidate,n,dr2_base_complete,p_base_complete,beta_base_complete,dr2_plus_ACTUAL_minutes,p_plus_ACTUAL_minutes,beta_plus_ACTUAL_minutes,share_extinguished
POOLED,y_ast,A01_c04_prevgame,13977,0.0017820560616984556,0.0016638935108153079,-0.010682226557630887,9.49122483945383e-05,0.1480865224625624,-0.0024855235079063124,0.9467400322388968
DECISION,y_ast,A01_c04_prevgame,5111,0.001267370581068371,0.004991680532445923,-0.010225219026195106,0.00019069486455295566,0.324459234608985,-0.003985743250430501,0.8495350393945524
POOLED,y_reb,A01_c04_prevgame,13977,0.0017905176627558384,0.0016638935108153079,-0.015401223304881136,6.181638351488932e-07,0.8652246256239601,-0.00028856067236575795,0.9996547569186235
DECISION,y_reb,A01_c04_prevgame,5111,0.0012303813437367084,0.009983361064891847,-0.013679776135247408,8.447480170867726e-05,0.3910149750415973,-0.0036009584037094964,0.9313425856636248
POOLED,y_pts,A01_c04_prevgame,13977,0.0031749161806656086,0.0016638935108153079,-0.04879147587282887,0.00026281711131976356,0.0033277870216306157,-0.014127492891601279,0.9172207717103684
DECISION,y_pts,A01_c04_prevgame,5111,0.004054813003228903,0.0016638935108153079,-0.056231994531102905,0.001105226090967265,0.011647254575707155,-0.029462559172422895,0.7274285916299572
POOLED,y_ast,A04_teammate_prior_fgm_pg,13977,0.0022632452270134823,0.0016638935108153079,-0.030938157498681493,0.00027733887111705405,0.004991680532445923,-0.01091102200962082,0.8774596460839451
DECISION,y_ast,A04_teammate_prior_fgm_pg,5111,0.001366776284687246,0.0066555740432612314,-0.02957857848431742,0.00034221895030998504,0.16805324459234608,-0.014852592699477356,0.7496159728961835
POOLED,y_reb,A04_teammate_prior_fgm_pg,13977,0.0015116489343603263,0.0016638935108153079,-0.035943475822394856,4.7169929534785267e-07,0.9018302828618968,-0.0006394174670262645,0.9996879571144953
DECISION,y_reb,A04_teammate_prior_fgm_pg,5111,0.0007453660898612174,0.014975041597337771,-0.028285808704747208,5.196902659188285e-05,0.43427620632279534,-0.007489529385560272,0.9302771788269049
POOLED,y_pts,A04_teammate_prior_fgm_pg,13977,0.0026108659445001686,0.0016638935108153079,-0.11160387990294487,0.00019033912384685506,0.004991680532445923,-0.030299168690314786,0.9270973202405096
DECISION,y_pts,A04_teammate_prior_fgm_pg,5111,0.0025494140972236335,0.0016638935108153079,-0.11757007848719048,0.0007728008215070451,0.008319467554076539,-0.0648584531342641,0.696871205682654
