cell,kind,response,stratum,tier,n,dr2,swap_null_mean,swap_null_sd,p_swap,z
REAL|ppm|POOLED|T1_low,REAL,ppm,POOLED,T1_low,4563,-0.0004256364037065932,-0.0003462933557557933,0.0003921865797548212,0.6746506986027944,-0.20230944159385017
REAL|ppm|POOLED|T2_mid,REAL,ppm,POOLED,T2_mid,3108,-0.0008986432117016599,-0.0007056911055627343,0.0009449846382963487,0.6786427145708582,-0.20418544209013428
REAL|ppm|POOLED|T3_high,REAL,ppm,POOLED,T3_high,3972,0.01447684831076338,-0.00019359775505347165,0.0006335827690995891,0.001996007984031936,23.1547428075824
REAL|ppm|DECISION|T1_low,REAL,ppm,DECISION,T1_low,1259,-0.00407676280294455,-0.0014253084905948951,0.002802994726700962,0.8802395209580839,-0.9459362470761171
REAL|ppm|DECISION|T2_mid,REAL,ppm,DECISION,T2_mid,1568,0.005179000369583651,-0.0016261616134392472,0.008229670185769039,0.1277445109780439,0.8269057968799968
REAL|ppm|DECISION|T3_high,REAL,ppm,DECISION,T3_high,1687,0.023862917871899685,-0.0012040160869682239,0.001957893123224803,0.001996007984031936,12.803014455447247
REAL|points|POOLED|T1_low,REAL,points,POOLED,T1_low,4563,0.0006072068855359327,-0.000464203056279167,0.0008608495300160248,0.05588822355289421,1.2445960698789662
REAL|points|POOLED|T2_mid,REAL,points,POOLED,T2_mid,3108,-0.0005505030273202242,-0.0004342531604976731,0.0006857363619762426,0.6646706586826348,-0.16952559798276912
REAL|points|POOLED|T3_high,REAL,points,POOLED,T3_high,3972,0.010875315603837317,-9.672662042493885e-05,0.0005271980368205592,0.001996007984031936,20.811993706260285
REAL|points|DECISION|T1_low,REAL,points,DECISION,T1_low,1259,-0.004805734516440893,-0.0015102913696939662,0.002789932547245462,0.9041916167664671,-1.181190975387761
REAL|points|DECISION|T2_mid,REAL,points,DECISION,T2_mid,1568,0.0022479303641695526,-0.0013210282616876535,0.0060549617485795276,0.18762475049900199,0.5894271135064513
REAL|points|DECISION|T3_high,REAL,points,DECISION,T3_high,1687,0.018702810112816298,-0.0009647074945331858,0.0016174523536219155,0.001996007984031936,12.159565358020325
NEGATIVE_CONTROL|ppm|POOLED|T1_low,NEGATIVE_CONTROL,ppm,POOLED,T1_low,4563,-0.000262906241936336,-0.0003462933557557933,0.0003921865797548212,0.49101796407185627,0.21262102816365486
NEGATIVE_CONTROL|ppm|POOLED|T2_mid,NEGATIVE_CONTROL,ppm,POOLED,T2_mid,3108,-0.0002296727949657778,-0.0007056911055627343,0.0009449846382963487,0.35528942115768464,0.5037312685369563
NEGATIVE_CONTROL|ppm|POOLED|T3_high,NEGATIVE_CONTROL,ppm,POOLED,T3_high,3972,0.00019405222149621983,-0.00019359775505347165,0.0006335827690995891,0.22355289421157684,0.6118379404487231
NEGATIVE_CONTROL|ppm|DECISION|T1_low,NEGATIVE_CONTROL,ppm,DECISION,T1_low,1259,-0.008414838955865681,-0.0014253084905948951,0.002802994726700962,0.9780439121756487,-2.493593868975004
NEGATIVE_CONTROL|ppm|DECISION|T2_mid,NEGATIVE_CONTROL,ppm,DECISION,T2_mid,1568,-0.005698949453598636,-0.0016261616134392472,0.008229670185769039,0.8223552894211577,-0.4948907730472796
NEGATIVE_CONTROL|ppm|DECISION|T3_high,NEGATIVE_CONTROL,ppm,DECISION,T3_high,1687,0.0008178828441241199,-0.0012040160869682239,0.001957893123224803,0.07584830339321358,1.0326911653697002
NEGATIVE_CONTROL|points|POOLED|T1_low,NEGATIVE_CONTROL,points,POOLED,T1_low,4563,-0.001123611617908578,-0.000464203056279167,0.0008608495300160248,0.8163672654690619,-0.7659974695195991
NEGATIVE_CONTROL|points|POOLED|T2_mid,NEGATIVE_CONTROL,points,POOLED,T2_mid,3108,-0.0002233927018210437,-0.0004342531604976731,0.0006857363619762426,0.43912175648702595,0.3074949359093993
NEGATIVE_CONTROL|points|POOLED|T3_high,NEGATIVE_CONTROL,points,POOLED,T3_high,3972,0.00023552857437488846,-9.672662042493885e-05,0.0005271980368205592,0.20758483033932135,0.6302284371231754
NEGATIVE_CONTROL|points|DECISION|T1_low,NEGATIVE_CONTROL,points,DECISION,T1_low,1259,-0.007057476296176854,-0.0015102913696939662,0.002789932547245462,0.9620758483033932,-1.9882863949380063
NEGATIVE_CONTROL|points|DECISION|T2_mid,NEGATIVE_CONTROL,points,DECISION,T2_mid,1568,-0.004642901278539516,-0.0013210282616876535,0.0060549617485795276,0.8223552894211577,-0.5486199838720967
NEGATIVE_CONTROL|points|DECISION|T3_high,NEGATIVE_CONTROL,points,DECISION,T3_high,1687,0.0006452084763269412,-0.0009647074945331858,0.0016174523536219155,0.09780439121756487,0.9953405843795569
