axis,response,tier,n,dr2
prior_usage_per_game,ppm,T1_low,1259,-0.00407676280294455
prior_usage_per_game,ppm,T3_high,1687,0.023862917871899685
prior_usage_per_game,points,T1_low,1259,-0.004805734516440893
prior_usage_per_game,points,T3_high,1687,0.018702810112816298
prior_minutes_per_game,ppm,T1_low,1229,-0.008949682512548424
prior_minutes_per_game,ppm,T3_high,1557,0.019176724230180454
prior_minutes_per_game,points,T1_low,1229,-0.009609994252202868
prior_minutes_per_game,points,T3_high,1557,0.01647374624233155
prior_points_per_minute,ppm,T1_low,1367,-0.0022727232307052387
prior_points_per_minute,ppm,T3_high,1719,0.02620440823647721
prior_points_per_minute,points,T1_low,1367,-0.002360628728054744
prior_points_per_minute,points,T3_high,1719,0.017019217299656237
