response,stratum,tier,contrast,n_scored,dr2_real,p_cluster_signflip,dr2_P1_leaguemean_placebo,P1_share_of_real,dr2_P3_within_date_demeaned,P3_share_of_real,p_P2_within_date_swap,n_swap_draws,P2_swap_null_mean,P2_swap_null_sd,P2_swap_null_p95
ppm,POOLED,ALL_TIERS,MAIN_EFFECT,11705,0.001556403040635914,0.10694652673663169,-5.62187887509503e-05,-0.03612097077886745,0.001807507692990414,1.161336521324132,0.001996007984031936,500,-9.749164366653669e-05,0.0001312853765462086,6.008067785733601e-05
ppm,POOLED,ALL_TIERS,INTERACTION,11705,0.0014000093551400446,0.0079960019990005,0.0001843801592273159,0.13169923368752928,0.0011217861242555328,0.8012704487559079,0.001996007984031936,500,-9.941718236337508e-05,0.00026035773122564445,0.000301516395573732
ppm,POOLED,T3_high_usage,MAIN_EFFECT,3983,0.014362831759674332,0.0004997501249375312,0.0009103931986476347,0.06338535560958748,0.013887151347338322,0.9668811540582443,0.001996007984031936,500,-0.00019589274829557224,0.0006300844417362561,0.0007760437628478238
ppm,POOLED,T3_high_usage,INTERACTION,3983,0.0015258175600042334,0.2513743128435782,-0.0017745928879950679,-1.1630439539509194,0.0017257183129959666,1.1310122246798489,0.007984031936127744,500,-0.0007826802481571476,0.00105387991570111,0.0004829060527765874
ppm,DECISION,ALL_TIERS,MAIN_EFFECT,4514,0.005028055896625616,0.16141929035482258,-0.00039620646483707564,-0.07879913687971811,0.005779025606424288,1.14935587933751,0.001996007984031936,500,-0.0003314364118227172,0.001322343005772208,0.0014827236052369576
ppm,DECISION,ALL_TIERS,INTERACTION,4514,0.00020296622240270165,0.8460769615192404,-0.001287947344558859,-6.345624061541954,0.0005030817855968538,2.478647824457698,0.31736526946107785,500,-0.00032738230022239954,0.0013749612641353725,0.001675795910863522
ppm,DECISION,T3_high_usage,MAIN_EFFECT,1687,0.023862917871899685,0.0009995002498750624,-0.00045875594142108267,-0.019224637317354264,0.022329829880540903,0.9357543784214207,0.001996007984031936,500,-0.0012040160869682239,0.001957893123224803,0.001442641767576754
ppm,DECISION,T3_high_usage,INTERACTION,1687,0.0007335104026847021,0.7221389305347327,-0.0012600997264608778,-1.7179030070314203,-0.0005526087694434806,-0.7533755041794796,0.08383233532934131,500,-0.0017961137321240686,0.0023475808787047857,0.001391512728049515
points,POOLED,ALL_TIERS,MAIN_EFFECT,11705,0.0024159538851543866,0.0004997501249375312,0.0002189780914824199,0.09063835730806036,0.002265374559895529,0.9376729306862431,0.001996007984031936,500,-2.0159272265039694e-05,0.0001281424209099373,0.00015211971112540068
points,POOLED,ALL_TIERS,INTERACTION,11705,0.0018725396989683518,0.027486256871564217,0.0003353905523315041,0.1791099822963874,0.0014716738115342228,0.7859239578979392,0.001996007984031936,500,-1.891291183997176e-05,0.00024067351525735068,0.0003583833475025101
points,POOLED,T3_high_usage,MAIN_EFFECT,3983,0.010787871829551142,0.0009995002498750624,0.0009437076937471491,0.0874785785980565,0.009941893890439733,0.9215806460738597,0.001996007984031936,500,-9.758052605061523e-05,0.0005246181309704025,0.0007544527369430707
points,POOLED,T3_high_usage,INTERACTION,3983,0.002090760227336836,0.1454272863568216,-0.0007870353956980912,-0.3764350332513257,0.0018451882771209275,0.8825441832090365,0.003992015968063872,500,-0.0005090325007239214,0.0009564548642442111,0.0008459592491757715
points,DECISION,ALL_TIERS,MAIN_EFFECT,4514,0.0033354248642841694,0.23288355822088955,-0.0007135709004893958,-0.21393703336877248,0.004415999136789932,1.3239690043917898,0.001996007984031936,500,-0.0002893724422453057,0.0009132296999802485,0.0010546529111994272
points,DECISION,ALL_TIERS,INTERACTION,4514,0.0010051448507570257,0.4122938530734633,-0.0008689182899275699,-0.8644707171042495,0.0009044823304144296,0.8998527224541,0.06786427145708583,500,-0.0002943988672754836,0.0010077934219872016,0.0011229780946487946
points,DECISION,T3_high_usage,MAIN_EFFECT,1687,0.018702810112816298,0.008995502248875561,6.902151349834006e-05,0.003690435452319667,0.016920854589107203,0.9047225784275064,0.001996007984031936,500,-0.0009647074945331858,0.0016174523536219155,0.0013890484134085215
points,DECISION,T3_high_usage,INTERACTION,1687,0.0015888000362266443,0.41629185407296354,-0.0005768176678004005,-0.3630524009618771,0.00018330504505608322,0.11537326339155152,0.06187624750499002,500,-0.0017002224707342826,0.0024833862424178043,0.0018185003957740607
