defence,usage,stratum,tier,contrast,fit,is_negative_control,n,sd_y_points,mean_interaction_beta_on_ppm,sd_interaction_term,mean_minutes_estimate,points_moved_by_1sd,ceiling_1sd_form,ceiling_D084_form_var_share,DIAGNOSTIC_oracle_best_rescaling,implied_optimal_rescaling,realised_paired_dr2_points,vs_D079_shot_mix,vs_D084_conversion,vs_D089_teammate_volume
A10_opp_defrtg,O01_own_usg_pg,POOLED,ALL_TIERS,INTERACTION,walk_forward,False,11705,7.5527455102589816,0.0002547648284163492,28.54100211342978,21.581016852789816,0.1569208286493053,0.0004316696178997579,0.0009908229259441854,0.0020686959564275354,1.4449416489752214,0.0018725396989683041,0.8791685234642285,7.680797875536322,0.48168348368701286
A10_opp_defrtg,O01_own_usg_pg,POOLED,ALL_TIERS,INTERACTION,in_sample,False,14807,7.485142890945623,0.00038605489056391367,27.98675997627405,21.675230778878714,0.23418841744359314,0.0009788826539997076,0.0014583851855180154,0.0011143824119544325,0.8741400177963424,0.0010912805185272648,1.2940418682502355,11.305311515643531,0.7089864781322389
A10_opp_defrtg,O01_own_usg_pg,POOLED,ALL_TIERS,MAIN_EFFECT,walk_forward,False,11705,7.5527455102589816,0.0022314572782072086,4.962360515472974,21.581016852789816,0.23897297657137326,0.0010011240240564284,0.0011658155320208312,0.0027510939349843235,1.536164735670753,0.002415953885154446,1.0344414658569931,9.037329705587839,0.566755241624128
A10_opp_defrtg,O01_own_usg_pg,POOLED,ALL_TIERS,MAIN_EFFECT,in_sample,False,14807,7.485142890945623,0.002377119051394594,4.9342789407893495,21.675230778878714,0.2542367685871159,0.0011536565309177493,0.00137126162404536,0.0023455468898926327,1.3078619311466602,0.0022155801274171797,1.2167361349115884,10.629935070119071,0.6666318055641032
A10_opp_defrtg,O01_own_usg_pg,DECISION,ALL_TIERS,INTERACTION,walk_forward,False,4514,7.578724593435383,0.0001740567591333741,21.205595386010216,30.289708314872254,0.11179862303874949,0.0002176109067370466,0.0012423364252244348,0.0010164662291404665,0.9045381067271554,0.00100514485075695,1.1023393302790017,9.630514924220426,0.6039554813925303
A10_opp_defrtg,O01_own_usg_pg,DECISION,ALL_TIERS,INTERACTION,in_sample,False,5670,7.49556041082052,0.0004337088228871869,20.727349511034777,30.207881246325687,0.2715578071344198,0.001312551548268349,0.0014047180260333709,0.0013497659026030743,0.9802450292259274,0.0013492176989331663,1.2464223833481551,10.889287023514504,0.6828964637984303
A10_opp_defrtg,O01_own_usg_pg,DECISION,ALL_TIERS,MAIN_EFFECT,walk_forward,False,4514,7.578724593435383,0.0034133425061401157,4.572489108194482,30.289708314872254,0.47274575720382994,0.003891016110609277,0.004056743352804618,0.0033674887833341246,0.9110963615652868,0.0033354248642842826,3.5995948117166088,31.44762288995828,1.9721649746254828
A10_opp_defrtg,O01_own_usg_pg,DECISION,ALL_TIERS,MAIN_EFFECT,in_sample,False,5670,7.49556041082052,0.004531251076953957,4.549806988230373,30.207881246325687,0.6227752803026474,0.006903264507897131,0.007004608183124316,0.0049105246033369935,0.8372825153328606,0.0047250637338506155,6.215269017856536,54.29928824127377,3.40525434279257
A10_opp_defrtg,O01_own_usg_pg,POOLED,T3_high_usage,INTERACTION,walk_forward,False,3983,7.368000134385571,0.00020927465852341103,16.95987422524907,30.699762901059664,0.10896180540502888,0.00021870027585081138,0.0014635973414416452,0.0021579462754233018,1.2142539030842874,0.002090760227336963,1.2986666738612647,11.345715825129034,0.7115203410022584
A10_opp_defrtg,O01_own_usg_pg,POOLED,T3_high_usage,INTERACTION,in_sample,False,5017,7.353199192880561,0.0005819583254977497,16.366602877148328,30.552993734002804,0.2910075129374065,0.0015662307306237493,0.0017595872408981072,0.00198605157518538,1.0624043961435985,0.001979199199358561,1.561301899643396,13.640211169752769,0.8554143125416176
A10_opp_defrtg,O01_own_usg_pg,POOLED,T3_high_usage,MAIN_EFFECT,walk_forward,False,3983,7.368000134385571,0.00381253815735167,5.00188272918218,30.699762901059664,0.5854404495970087,0.006313442087836065,0.006724325184176202,0.011401777719245124,1.3021527464895077,0.010787871829551012,5.966570704681635,52.126551815319395,3.2689962003773467
A10_opp_defrtg,O01_own_usg_pg,POOLED,T3_high_usage,MAIN_EFFECT,in_sample,False,5017,7.353199192880561,0.004875001561120529,4.937767171324987,30.552993734002804,0.7354601365628186,0.01000381413966945,0.01028632584294834,0.007617086411241387,0.8605266059376437,0.007416988287453674,9.12717466100119,79.73896002285535,5.000644551749315
A10_opp_defrtg,O01_own_usg_pg,DECISION,T3_high_usage,INTERACTION,walk_forward,False,1687,7.462906019211838,1.1328471776497292e-05,12.2655356881422,32.400867417506426,0.004502093233149584,3.6392594958064566e-07,0.0011282270141556444,0.0016358046518756273,1.2041136297449395,0.0015888000362268525,1.001088743705097,8.745945846167787,0.5484817764490251
A10_opp_defrtg,O01_own_usg_pg,DECISION,T3_high_usage,INTERACTION,in_sample,False,2073,7.439720733774235,0.000733458172054861,11.66094552953738,32.39413571313716,0.2770610755125432,0.0013868764198756128,0.0015572381350681121,0.0027944005734343758,1.3395743267294498,0.0026148343176144685,1.3817552218882982,12.071613450140404,0.7570433325562044
A10_opp_defrtg,O01_own_usg_pg,DECISION,T3_high_usage,MAIN_EFFECT,walk_forward,False,1687,7.462906019211838,0.004911343993350655,4.645195535735254,32.400867417506426,0.739198352828746,0.009810836447165436,0.012808213920198994,0.01938101287571691,1.2301099993075966,0.018702810112816073,11.364874818277723,99.2884800015426,6.226647506173552
A10_opp_defrtg,O01_own_usg_pg,DECISION,T3_high_usage,MAIN_EFFECT,in_sample,False,2073,7.439720733774235,0.006803572991362916,4.6458777758025995,32.39413571313716,1.0239322595212708,0.018942146208160524,0.019121593689649514,0.013310429154061698,0.8343225584823448,0.01278556024916697,16.966808952661502,148.22940844689546,9.295864700850519
A01_opp_efg_allowed,O01_own_usg_pg,POOLED,ALL_TIERS,INTERACTION,walk_forward,False,11705,7.5527455102589816,0.031342788753454524,0.13624390876354903,21.581016852789816,0.09215664045741775,0.00014888247019118826,0.0002947547016912444,0.0009922570114253688,1.8347703678522473,0.0007868596832052033,0.26153922066658775,2.2849201681491813,0.14329348648091608
