response,stratum,null_sd,MDE80_analytic,smallest_multiple_at_power_80,MDE80_injection_verified,ratio_injection_over_analytic,type_I_at_k0
minutes,DECISION,0.0120325148119172,0.033691041473368155,,,,0.7
minutes,POOLED,0.0090176687260571,0.025249472432959878,0.5,0.00450883436302855,0.17857142857142858,1.0
pts,DECISION,0.0056684569555023,0.01587167947540644,4.0,0.0226738278220092,1.4285714285714286,0.05
pts,POOLED,0.0045967878585816,0.012871006004028478,0.5,0.0022983939292908,0.17857142857142858,1.0
