response,stratum,combo,sum_of_parts,whole,best_single_part,ratio_parts_over_whole,whole_minus_sum,whole_minus_best_single
minutes,POOLED,AB,0.7369175863955645,0.36600054762973133,0.38279922309327996,2.013433015791757,-0.37091703876583315,-0.01679867546354863
minutes,POOLED,AC,0.3772000628225396,0.3702655933501399,0.3541183633022845,1.018728365791855,-0.006934469472399674,0.0161472300478554
minutes,POOLED,BC,0.40588092261353503,0.3993050655939472,0.38279922309327996,1.0164682534387752,-0.00657585701958785,0.016505842500667223
minutes,POOLED,ABC,0.7599992859158196,0.38170244285227495,0.38279922309327996,1.9910778674527678,-0.3782968430635446,-0.0010967802410050131
minutes,DECISION,AB,0.016626498403171742,0.008545163024461682,0.010295230152364563,1.9457204450723933,-0.00808133537871006,-0.0017500671279028802
minutes,DECISION,AC,0.0213183338183318,0.019668478268584533,0.01498706556752462,1.0838832332231059,-0.0016498555497472672,0.004681412701059913
minutes,DECISION,BC,0.025282295719889183,0.023488526665486956,0.01498706556752462,1.076367882922087,-0.0017937690544022264,0.008501461097962336
minutes,DECISION,ABC,0.03161356397069636,0.021781173517812096,0.01498706556752462,1.4514169286996215,-0.009832390452884265,0.006794107950287476
pts,POOLED,AB,0.3728276661181628,0.21062828196248853,0.21396633632485515,1.7700740975732827,-0.16219938415567428,-0.003338054362366616
pts,POOLED,AC,0.1600803360716411,0.15715485473904173,0.15886132979330767,1.018615278143696,-0.0029254813325993723,-0.001706475054265938
pts,POOLED,BC,0.21518534260318858,0.213523080272512,0.21396633632485515,1.0077849304560196,-0.001662262330676595,-0.00044325605234316057
pts,POOLED,ABC,0.37404667239649625,0.20890867661817972,0.21396633632485515,1.790479354192347,-0.16513799577831653,-0.0050576597066754325
pts,DECISION,AB,-0.012291037986092676,-0.007038799059132247,-0.00586008726732499,1.7461839559329504,0.005252238926960429,-0.0011787117918072567
pts,DECISION,AC,0.0021788888910166965,0.0018369239168933395,0.008038976158341687,1.1861617517080938,-0.000341964974123357,-0.006202052241448347
pts,DECISION,BC,0.0016080254395740012,0.00150348121974781,0.008038976158341687,1.069534769342664,-0.00010454421982619114,-0.006535494938593876
pts,DECISION,ABC,-0.004252061827750989,0.0006724729394598147,0.008038976158341687,-6.323022947461043,0.004924534767210804,-0.007366503218881872
