response,scored_season,n_train,league,n_depth_levels,n_draft_levels
minutes,2022,3479,21.75781833860305,0,0
minutes,2023,3963,21.53989401968206,12,6
minutes,2024,4434,21.24842504886483,12,6
pts,2022,3479,8.6918654785858,0,0
pts,2023,3963,8.569265707797124,12,6
pts,2024,4434,8.458276950834462,12,6
