response,stratum,null_sd_median,smallest_detected_multiple,MDE80_analytic,MDE80_injection_verified,type_I_at_zero
minutes,DECISION,0.0007811429388312241,0.5,0.0021872002287274274,0.00039057146941561205,0.0
minutes,POOLED,0.0005355571735590525,0.5,0.001499560085965347,0.00026777858677952626,0.0
pts,DECISION,0.0003598943510449543,0.5,0.001007704182925872,0.00017994717552247716,0.0
pts,POOLED,0.0002808249355554184,0.5,0.0007863098195551715,0.0001404124677777092,0.0
