arm,response,stratum,W2_primary_pct,W1_secondary_pct,direction,sign_agrees
A,minutes,POOLED,6.753905650077838,5.684337495165992,W1 SMALLER,True
B,minutes,POOLED,7.3009199850168605,8.208097450669568,W1 LARGER,True
C,minutes,POOLED,0.4402246168470414,-4.995790216346116,W1 SMALLER,False
AB,minutes,POOLED,6.980528045810264,7.572211411005639,W1 LARGER,True
AC,minutes,POOLED,7.061872927561902,0.6184157240240296,W1 SMALLER,True
BC,minutes,POOLED,7.615726881459533,8.602017288147751,W1 LARGER,True
ABC,minutes,POOLED,7.280001696008804,7.94406395669086,W1 LARGER,True
A,minutes,DECISION,0.1457656982484902,-0.05827029773054766,W1 SMALLER,False
B,minutes,DECISION,0.2370285624206501,1.2995449914415602,W1 LARGER,True
C,minutes,DECISION,0.3450493630352203,-12.556908359530537,W1 SMALLER,False
AB,minutes,DECISION,0.1967365155865944,1.2892964755667944,W1 LARGER,True
AC,minutes,DECISION,0.4528302000061305,-12.5870871707184,W1 SMALLER,False
BC,minutes,DECISION,0.540779722891457,1.4768378354796512,W1 LARGER,True
ABC,minutes,DECISION,0.5014710861588634,1.4654077554292255,W1 LARGER,True
A,pts,POOLED,3.702585908778652,3.1851190112321066,W1 SMALLER,True
B,pts,POOLED,4.986919994061239,5.447783183471112,W1 LARGER,True
C,pts,POOLED,0.0284114168925974,-3.1637818642890734,W1 SMALLER,False
AB,pts,POOLED,4.909119858175959,5.055718939983799,W1 LARGER,True
AC,pts,POOLED,3.662813042104124,-0.04592050149139953,W1 SMALLER,False
BC,pts,POOLED,4.976589011590414,5.527073367584183,W1 LARGER,True
ABC,pts,POOLED,4.8690409634267935,5.112083492025531,W1 LARGER,True
A,pts,DECISION,-0.1157624862215293,-0.06534786246544311,W1 LARGER,True
B,pts,DECISION,-0.1270395490735602,0.4297589529188438,W1 LARGER,False
C,pts,DECISION,0.1588051208646995,-4.158513205994932,W1 SMALLER,False
AB,pts,DECISION,-0.1390472260784032,0.4220027098762473,W1 LARGER,False
AC,pts,DECISION,0.0362873230241896,-4.216364578230486,W1 SMALLER,False
BC,pts,DECISION,0.0297003638419932,0.37449089045535805,W1 LARGER,True
ABC,pts,DECISION,0.0132842969459913,0.36386803979024385,W1 LARGER,True
