component,response,n_treated,real_dMAE,random_mean,random_sd,ratio_real_over_random
A,minutes,632,0.35411836330228486,0.019690005160281344,0.0067213606642268706,17.984676002859157
B,minutes,945,0.3827992230932793,0.04204203841154266,0.00722624764038796,9.105153735556781
C,minutes,2475,0.023081699520254517,0.0018969574170209392,0.003751011493167185,12.167747843545682
A,pts,632,0.15886132979330725,0.006785774524701127,0.00469182886538643,23.410935511492575
B,pts,945,0.21396633632485518,0.02105128962895968,0.005190136510714492,10.164048858579552
C,pts,2475,0.0012190062783332678,-0.000540526785320905,0.0018185390671869417,-2.2552190038270843
