label,n,n_blocks,mae_base,mae_arm,dMAE,pct_of_MAE,p,null_mean,null_sd,MDE80_analytic,response,arm_id
C__minutes__on_C_own_rows,2475,282,5.129469809414533,5.015292322459952,0.11417748695458184,2.22591205712962,0.00024993751562109475,-0.0003737913705686886,0.0311930304377828,0.08734048522579184,minutes,C
ABC__minutes__on_C_own_rows,2475,282,5.129469809414533,5.008725328714724,0.12074448069980945,2.353936862601224,0.00024993751562109475,-0.0003966709464571209,0.03248448984699413,0.09095657157158357,minutes,ABC
C__minutes__on_C_own_rows_DECISION,1051,264,4.486862213544187,4.4108711268007905,0.07599108674339723,1.6936353987873325,0.008247938015496127,0.0006620368547000423,0.02850240527652929,0.079806734774282,minutes,C_DECISION
ABC__minutes__on_C_own_rows_DECISION,1051,264,4.486862213544187,4.40927360349343,0.07758861005075739,1.7292398642540416,0.005498625343664084,0.0006183212394276306,0.02790963506397042,0.07814697817911717,minutes,ABC_DECISION
C__pts__on_C_own_rows,2475,282,4.138673431889288,4.1910317197186915,-0.05235828782940432,-1.2650983144979133,0.000999750062484379,-4.122977267638371e-05,0.015711388317376174,0.04399188728865328,pts,C
ABC__pts__on_C_own_rows,2475,282,4.138673431889288,4.191655086358735,-0.052981654469448115,-1.2801603059863123,0.002749312671832042,-0.00011018599558836849,0.016891360284815065,0.04729580879748218,pts,ABC
C__pts__on_C_own_rows_DECISION,1051,264,5.036985203523054,5.050127631447462,-0.013142427924408772,-0.26091853347547006,0.39540114971257184,-0.00036410201446048684,0.0154885248022893,0.04336786944641004,pts,C_DECISION
ABC__pts__on_C_own_rows_DECISION,1051,264,5.036985203523054,5.053284160516515,-0.016298956993460893,-0.32358556427882296,0.298175456135966,-0.000370651598273492,0.015832857447380957,0.04433200085266668,pts,ABC_DECISION
