response,stratum,planted_multiple_of_null_sd,null_sd_real_cell,planted_dMAE,lambda_loss_shrink,mean_recovered_dMAE,sd_recovered_dMAE,empirical_power,n_reps
minutes,POOLED,0.0,0.0090176687260571,0.0,0.0,-0.05427122590592788,0.0076086659949295395,1.0,20
minutes,POOLED,0.5,0.0090176687260571,0.00450883436302855,0.003204198573819296,-0.04963667572771288,0.00882865660083976,1.0,20
minutes,POOLED,1.0,0.0090176687260571,0.0090176687260571,0.006408397147638592,-0.04457251615004036,0.008247430663496216,1.0,20
minutes,POOLED,2.0,0.0090176687260571,0.0180353374521142,0.012816794295277184,-0.037409630974612945,0.0064430625568903796,1.0,20
minutes,POOLED,4.0,0.0090176687260571,0.0360706749042284,0.025633588590554368,-0.018137253279071168,0.008282300182834604,0.55,20
minutes,DECISION,0.0,0.0120325148119172,0.0,0.0,-0.030518855662205413,0.010111100862361572,0.7,20
minutes,DECISION,0.5,0.0120325148119172,0.0060162574059586,0.0040289612080004625,-0.024662388706756293,0.010623764906224492,0.6,20
minutes,DECISION,1.0,0.0120325148119172,0.0120325148119172,0.008057922416000925,-0.01879695788184395,0.013015129480776868,0.35,20
minutes,DECISION,2.0,0.0120325148119172,0.0240650296238344,0.01611584483200185,-0.008593919347162596,0.009211893902176195,0.05,20
minutes,DECISION,4.0,0.0120325148119172,0.0481300592476688,0.0322316896640037,0.01662045568303232,0.012962316184066193,0.3,20
pts,POOLED,0.0,0.0045967878585816,0.0,0.0,-0.021763757073898243,0.0026916076919469333,1.0,20
pts,POOLED,0.5,0.0045967878585816,0.0022983939292908,0.0020243748178381247,-0.018069003495676084,0.005370047621275301,0.95,20
pts,POOLED,1.0,0.0045967878585816,0.0045967878585816,0.004048749635676249,-0.01834066109994828,0.004593454010174179,1.0,20
pts,POOLED,2.0,0.0045967878585816,0.0091935757171632,0.008097499271352499,-0.014025032242020886,0.004921513447509471,0.8,20
pts,POOLED,4.0,0.0045967878585816,0.0183871514343264,0.016194998542704998,-0.005080114946358026,0.0042731224634344825,0.05,20
pts,DECISION,0.0,0.0056684569555023,0.0,0.0,-0.0027657087150438327,0.005895644650742324,0.05,20
pts,DECISION,0.5,0.0056684569555023,0.00283422847775115,0.0016907274041558598,0.00013998018787350486,0.006233400213165533,0.05,20
pts,DECISION,1.0,0.0056684569555023,0.0056684569555023,0.0033814548083117195,0.003749289412258945,0.005198831697315267,0.05,20
pts,DECISION,2.0,0.0056684569555023,0.0113369139110046,0.006762909616623439,0.009666034434258543,0.006853607553126647,0.45,20
pts,DECISION,4.0,0.0056684569555023,0.0226738278220092,0.013525819233246878,0.020140233346121608,0.005084058109377459,0.95,20
