label,n,n_blocks,mae_base,mae_arm,dMAE,pct_of_MAE,p,null_mean,null_sd,MDE80_analytic,response,stratum
C__minutes__freed_eq_0,3300,333,5.6995196464050935,5.704076831065664,-0.0045571846605704045,-0.07995734629048602,0.398400399900025,-4.2867871066118407e-05,0.005407655109412156,0.015141434306354036,minutes,freed_eq_0
C__minutes__freed_0_to_25,3189,345,4.7376546223034515,4.76067315273453,-0.023018530431078568,-0.48586341272566086,0.00024993751562109475,-1.5641436292346636e-05,0.005774126379611262,0.01616755386291153,minutes,freed_0_to_25
C__minutes__freed_ge_25,2533,282,5.285050141936958,5.167921087062764,0.11712905487419388,2.216233559352123,0.00024993751562109475,-0.0003800197928524761,0.03060280105158737,0.08568784294444463,minutes,freed_ge_25
C__minutes__freed_ge_30,2091,236,5.368906559892561,5.224651320290118,0.144255239602443,2.6868644107177335,0.00024993751562109475,-0.0010282760567221442,0.03663983336737671,0.10259153342865478,minutes,freed_ge_30
C__pts__freed_eq_0,3300,333,4.531555681239507,4.512838375914238,0.018717305325268635,0.41304370158702164,0.00024993751562109475,-5.239890029508222e-05,0.0029720617430423054,0.008321772880518455,pts,freed_eq_0
C__pts__freed_0_to_25,3189,345,4.130526058460074,4.108156501067689,0.022369557392384845,0.5415667901808269,0.00024993751562109475,-7.009821320534896e-05,0.0031684145908671066,0.008871560854427897,pts,freed_0_to_25
C__pts__freed_ge_25,2533,282,4.178037142528517,4.226243124152907,-0.048205981624389084,-1.1537949515502675,0.0024993751562109472,-5.421486301363074e-05,0.015301689006424575,0.042844729217988806,pts,freed_ge_25
C__pts__freed_ge_30,2091,236,4.190033204268175,4.236593121310929,-0.046559917042753425,-1.1112063979666125,0.009997500624843789,-2.1384690560771137e-05,0.018117546666097103,0.050729130665071884,pts,freed_ge_30
