cell,arm,response,stratum,preregistered,n,n_blocks,conditioning,mae_base,mae_arm,dMAE,pct_of_MAE,dR2_common_sst,p,null_mean,null_sd,null_mean_exceeds_observed,MDE80_analytic,MDE80_injection_D116carried,sst_common,verdict_DR1_injection_floor_CARRIED,verdict_if_analytic_floor_only
base__minutes__POOLED,base,minutes,POOLED,True,9022,960,none,5.2431642023042375,5.2431642023042375,0.0,0.0,0.0,1.0,0.0,0.0,False,0.0,0.0,1060148.1160458387,NOT_ESTABLISHED,NOT_ESTABLISHED
A__minutes__POOLED,A,minutes,POOLED,True,9022,960,none,5.2431642023042375,4.889045839001953,0.3541183633022845,6.753905650077838,0.0534989278556684,4.999750012499375e-05,-0.0004568685967265,0.0402143777848269,False,0.1126002577975155,0.1373723145129689,1060148.1160458387,DECIDED_POSITIVE,DECIDED_POSITIVE
B__minutes__POOLED,B,minutes,POOLED,True,9022,960,none,5.2431642023042375,4.860364979210958,0.3827992230932799,7.3009199850168605,0.0583444138109197,4.999750012499375e-05,-0.0004749850789042,0.0429520700074329,False,0.1202657960208121,0.1467242711453908,1060148.1160458387,DECIDED_POSITIVE,DECIDED_POSITIVE
C__minutes__POOLED,C,minutes,POOLED,True,9022,960,ORACLEABS,5.2431642023042375,5.220082502783983,0.023081699520255,0.4402246168470414,0.0079185106243371,0.0102494875256237,-5.97810627323596e-05,0.0090176687260571,False,0.02524947243296,0.0308043563682112,1060148.1160458387,NOT_ESTABLISHED,NOT_ESTABLISHED
AB__minutes__POOLED,AB,minutes,POOLED,True,9022,960,none,5.2431642023042375,4.877163654674507,0.3660005476297313,6.980528045810264,0.0558259538011711,4.999750012499375e-05,-0.000448782715478,0.0409806948417888,False,0.1147459455570086,0.1399900535795505,1060148.1160458387,DECIDED_POSITIVE,DECIDED_POSITIVE
AC__minutes__POOLED,AC,minutes,POOLED,True,9022,960,ORACLEABS,5.2431642023042375,4.872898608954098,0.3702655933501399,7.061872927561902,0.0602687201048459,4.999750012499375e-05,-0.0005119728319838,0.0407921153743241,False,0.1142179230481075,0.1393458661186911,1060148.1160458387,DECIDED_POSITIVE,DECIDED_POSITIVE
BC__minutes__POOLED,BC,minutes,POOLED,True,9022,960,ORACLEABS,5.2431642023042375,4.8438591367102894,0.3993050655939472,7.615726881459533,0.0651347356277149,4.999750012499375e-05,-0.0005492380224822,0.0436865957054296,False,0.1223224679752029,0.1492334109297476,1060148.1160458387,DECIDED_POSITIVE,DECIDED_POSITIVE
ABC__minutes__POOLED,ABC,minutes,POOLED,True,9022,960,ORACLEABS,5.2431642023042375,4.861461759451963,0.3817024428522749,7.280001696008804,0.0623603831913681,4.999750012499375e-05,-0.0005030747675635,0.0414893143341465,False,0.1161700801356104,0.1417274977654447,1060148.1160458387,DECIDED_POSITIVE,DECIDED_POSITIVE
AB_Bwins__minutes__POOLED,AB_Bwins,minutes,POOLED,False,9022,960,none,5.2431642023042375,4.860364979210958,0.3827992230932799,7.3009199850168605,0.0583444138109197,4.999750012499375e-05,-0.0004749850789042,0.0429520700074329,False,0.1202657960208121,0.1467242711453908,1060148.1160458387,DECIDED_POSITIVE,DECIDED_POSITIVE
ABC_Bwins__minutes__POOLED,ABC_Bwins,minutes,POOLED,False,9022,960,ORACLEABS,5.2431642023042375,4.8438591367102894,0.3993050655939472,7.615726881459533,0.0651347356277149,4.999750012499375e-05,-0.0005492380224822,0.0436865957054296,False,0.1223224679752029,0.1492334109297476,1060148.1160458387,DECIDED_POSITIVE,DECIDED_POSITIVE
base__minutes__DECISION,base,minutes,DECISION,True,3158,764,none,4.34345550900056,4.34345550900056,0.0,0.0,0.0,1.0,0.0,0.0,False,0.0,0.0,131848.56415461615,NOT_ESTABLISHED,NOT_ESTABLISHED
A__minutes__DECISION,A,minutes,DECISION,True,3158,764,none,4.34345550900056,4.337124240749753,0.0063312682508071,0.1457656982484902,-0.0018323142940132,0.023848807559622,7.359468774849263e-06,0.0027994314188365,False,0.0078384079727422,0.0095628577267455,131848.56415461615,NOT_ESTABLISHED,NOT_ESTABLISHED
B__minutes__DECISION,B,minutes,DECISION,True,3158,764,none,4.34345550900056,4.333160278848196,0.0102952301523645,0.2370285624206501,-0.0034627666389129,0.0280985950702464,6.056090849619094e-06,0.0047294908728869,False,0.0132425744440834,0.0161559408217818,131848.56415461615,NOT_ESTABLISHED,NOT_ESTABLISHED
C__minutes__DECISION,C,minutes,DECISION,True,3158,764,ORACLEABS,4.34345550900056,4.328468443433035,0.0149870655675246,0.3450493630352203,0.0065171464301335,0.2176891155442228,-2.888222868984203e-06,0.0120325148119172,False,0.0336910414733683,0.0411030705975093,131848.56415461615,NOT_ESTABLISHED,NOT_ESTABLISHED
AB__minutes__DECISION,AB,minutes,DECISION,True,3158,764,none,4.34345550900056,4.334910345976098,0.0085451630244616,0.1967365155865944,-0.0027250599517633,0.0260986950652467,8.476417871137308e-06,0.0038568555280443,False,0.0107991954785242,0.0131750184837996,131848.56415461615,NOT_ESTABLISHED,NOT_ESTABLISHED
AC__minutes__DECISION,AC,minutes,DECISION,True,3158,764,ORACLEABS,4.34345550900056,4.323787030731976,0.0196684782685845,0.4528302000061305,0.005085917653729,0.0606469676516174,1.6775819508168853e-05,0.0105275278138735,False,0.029477077878846,0.0359620350121921,131848.56415461615,NOT_ESTABLISHED,NOT_ESTABLISHED
BC__minutes__DECISION,BC,minutes,DECISION,True,3158,764,ORACLEABS,4.34345550900056,4.319966982335074,0.0234885266654869,0.540779722891457,0.0040636543658143,0.0119494025298735,1.0267707783895324e-05,0.0095273409504365,False,0.0266765546612222,0.0325453966866911,131848.56415461615,NOT_ESTABLISHED,NOT_ESTABLISHED
ABC__minutes__DECISION,ABC,minutes,DECISION,True,3158,764,ORACLEABS,4.34345550900056,4.321674335482748,0.021781173517812,0.5014710861588634,0.0043932267253198,0.0268986550672466,1.911763910111831e-05,0.0099435177005397,False,0.0278418495615112,0.0339670564650437,131848.56415461615,NOT_ESTABLISHED,NOT_ESTABLISHED
AB_Bwins__minutes__DECISION,AB_Bwins,minutes,DECISION,False,3158,764,none,4.34345550900056,4.333160278848196,0.0102952301523645,0.2370285624206501,-0.0034627666389129,0.0280985950702464,6.056090849619094e-06,0.0047294908728869,False,0.0132425744440834,0.0161559408217818,131848.56415461615,NOT_ESTABLISHED,NOT_ESTABLISHED
ABC_Bwins__minutes__DECISION,ABC_Bwins,minutes,DECISION,False,3158,764,ORACLEABS,4.34345550900056,4.319966982335074,0.0234885266654869,0.540779722891457,0.0040636543658143,0.0119494025298735,1.0267707783895324e-05,0.0095273409504365,False,0.0266765546612222,0.0325453966866911,131848.56415461615,NOT_ESTABLISHED,NOT_ESTABLISHED
base__pts__POOLED,base,pts,POOLED,True,9022,960,none,4.290550812518763,4.290550812518763,0.0,0.0,0.0,1.0,0.0,0.0,False,0.0,0.0,536146.8309687432,NOT_ESTABLISHED,NOT_ESTABLISHED
A__pts__POOLED,A,pts,POOLED,True,9022,960,none,4.290550812518763,4.131689482725456,0.1588613297933076,3.702585908778652,0.0356831732506123,4.999750012499375e-05,-9.014222006679124e-05,0.0211995800283102,False,0.0593588240792686,0.2018200018695133,536146.8309687432,NOT_ESTABLISHED,DECIDED_POSITIVE
B__pts__POOLED,B,pts,POOLED,True,9022,960,none,4.290550812518763,4.076584476193908,0.2139663363248551,4.986919994061239,0.0489049950140912,4.999750012499375e-05,-0.0001326066786611,0.0241686319503823,False,0.0676721694610706,0.23008537616764,536146.8309687432,NOT_ESTABLISHED,DECIDED_POSITIVE
C__pts__POOLED,C,pts,POOLED,True,9022,960,ORACLEABS,4.290550812518763,4.28933180624043,0.0012190062783334,0.0284114168925974,0.0028519912864913,0.791410429478526,-0.0001025838622259,0.0045967878585816,False,0.0128710060040284,0.0437614204136968,536146.8309687432,NOT_ESTABLISHED,NOT_ESTABLISHED
AB__pts__POOLED,AB,pts,POOLED,True,9022,960,none,4.290550812518763,4.079922530556275,0.2106282819624885,4.909119858175959,0.0455081177541409,4.999750012499375e-05,-9.637547999436194e-05,0.0243499293282473,False,0.0681798021190926,0.231811327204915,536146.8309687432,NOT_ESTABLISHED,DECIDED_POSITIVE
AC__pts__POOLED,AC,pts,POOLED,True,9022,960,ORACLEABS,4.290550812518763,4.1333959577797215,0.1571548547390417,3.662813042104124,0.037975783458757,4.999750012499375e-05,-0.0001807244667797,0.0216681035706968,False,0.0606706899979511,0.2062803459930337,536146.8309687432,NOT_ESTABLISHED,DECIDED_POSITIVE
BC__pts__POOLED,BC,pts,POOLED,True,9022,960,ORACLEABS,4.290550812518763,4.077027732246251,0.213523080272512,4.976589011590414,0.0513938907283439,4.999750012499375e-05,-0.0002249302111537,0.0247630858497221,False,0.069336640379222,0.235744577289355,536146.8309687432,NOT_ESTABLISHED,DECIDED_POSITIVE
ABC__pts__POOLED,ABC,pts,POOLED,True,9022,960,ORACLEABS,4.290550812518763,4.081642135900584,0.2089086766181797,4.8690409634267935,0.0477704401001136,4.999750012499375e-05,-0.0001853033959003,0.0247742260823932,False,0.069367833030701,0.2358506323043833,536146.8309687432,NOT_ESTABLISHED,DECIDED_POSITIVE
AB_Bwins__pts__POOLED,AB_Bwins,pts,POOLED,False,9022,960,none,4.290550812518763,4.076584476193908,0.2139663363248551,4.986919994061239,0.0489049950140912,4.999750012499375e-05,-0.0001326066786611,0.0241686319503823,False,0.0676721694610706,0.23008537616764,536146.8309687432,NOT_ESTABLISHED,DECIDED_POSITIVE
ABC_Bwins__pts__POOLED,ABC_Bwins,pts,POOLED,False,9022,960,ORACLEABS,4.290550812518763,4.077027732246251,0.213523080272512,4.976589011590414,0.0513938907283439,4.999750012499375e-05,-0.0002249302111537,0.0247630858497221,False,0.069336640379222,0.235744577289355,536146.8309687432,NOT_ESTABLISHED,DECIDED_POSITIVE
base__pts__DECISION,base,pts,DECISION,True,3158,764,none,5.062164314707972,5.062164314707972,0.0,0.0,0.0,1.0,0.0,0.0,False,0.0,0.0,189213.6355288157,NOT_ESTABLISHED,NOT_ESTABLISHED
A__pts__DECISION,A,pts,DECISION,True,3158,764,none,5.062164314707972,5.068024401975297,-0.0058600872673249,-0.1157624862215293,-0.0006174767628209,4.999750012499375e-05,-8.39748890629782e-06,0.0011427556047774,False,0.0031997156933768,0.0108790333574813,189213.6355288157,NOT_ESTABLISHED,DECIDED_NEGATIVE
B__pts__DECISION,B,pts,DECISION,True,3158,764,none,5.062164314707972,5.06859526542674,-0.0064309507187676,-0.1270395490735602,-0.0005305306843788,4.999750012499375e-05,-7.383884043662027e-06,0.0011802159284405,False,0.0033046045996336,0.0112356556387544,189213.6355288157,NOT_ESTABLISHED,DECIDED_NEGATIVE
