arm,response,stratum,dMAE_shared_intercept,dMAE_frozen_intercept,attributable_to_recalibration
A,minutes,POOLED,0.3541183633022845,0.34948275683261226,0.00463560646967226
A,minutes,DECISION,0.0063312682508071,0.0,0.0063312682508071
B,minutes,POOLED,0.3827992230932799,0.373339542127761,0.009459680965518913
B,minutes,DECISION,0.0102952301523645,0.0,0.0102952301523645
C,minutes,POOLED,0.023081699520255,0.03132224342857348,-0.008240543908318482
C,minutes,DECISION,0.0149870655675246,0.02529025717774239,-0.010303191610217791
AB,minutes,POOLED,0.3660005476297313,0.3585021840853944,0.007498363544336861
AB,minutes,DECISION,0.0085451630244616,0.0,0.0085451630244616
AC,minutes,POOLED,0.3702655933501399,0.37564895037698404,-0.0053833570268441155
AC,minutes,DECISION,0.0196684782685845,0.025639559414498716,-0.005971081145914214
BC,minutes,POOLED,0.3993050655939472,0.40223403515211936,-0.0029289695581721786
BC,minutes,DECISION,0.0234885266654869,0.025608407600303775,-0.0021198809348168743
ABC,minutes,POOLED,0.3817024428522749,0.38623808789029934,-0.0045356450380244495
ABC,minutes,DECISION,0.021781173517812,0.025821921837664984,-0.004040748319852985
A,pts,POOLED,0.1588613297933076,0.16472817470255455,-0.005866844909246938
A,pts,DECISION,-0.0058600872673249,0.0,-0.0058600872673249
B,pts,POOLED,0.2139663363248551,0.2198709573748413,-0.005904621049986208
B,pts,DECISION,-0.0064309507187676,0.0,-0.0064309507187676
C,pts,POOLED,0.0012190062783334,-0.01436341857434889,0.01558242485268229
C,pts,DECISION,0.0080389761583416,-0.004373873257933381,0.01241284941627498
AB,pts,POOLED,0.2106282819624885,0.2169159975938417,-0.006287715631353191
AB,pts,DECISION,-0.0070387990591322,0.0,-0.0070387990591322
AC,pts,POOLED,0.1571548547390417,0.1488307538759941,0.008324100863047607
AC,pts,DECISION,0.0018369239168933,-0.005283810898875463,0.0071207348157687625
BC,pts,POOLED,0.213523080272512,0.20691604623813373,0.006607034034378262
BC,pts,DECISION,0.0015034812197478,-0.00574653427808734,0.00725001549783514
ABC,pts,POOLED,0.2089086766181797,0.20284864456187277,0.006060032056306924
ABC,pts,DECISION,0.0006724729394598,-0.005424383723916213,0.006096856663376013
