label,n,n_blocks,mae_base,mae_arm,dMAE,pct_of_MAE,p,null_mean,null_sd,MDE80_analytic,component,response,split
A__minutes__TREATED,632,197,10.110228184970074,5.121251235375411,4.988976949594664,49.34583926613355,0.00024993751562109475,-0.026049010627686078,0.5714330795392367,1.6000126227098628,A,minutes,TREATED
A__minutes__UNTREATED,8390,931,4.876539120415702,4.871554324042712,0.004984796372989562,0.10221996071190405,0.00024993751562109475,1.8359241526337933e-06,0.0011232644529132949,0.0031451404681572255,A,minutes,UNTREATED
A__minutes__UNTREATED_and_DECISION,3158,764,4.34345550900056,4.337124240749753,0.006331268250807181,0.1457656982484902,0.025743564108972758,4.148098128292064e-06,0.0028163530596023193,0.007885788566886494,A,minutes,UNTREATED_and_DECISION
B__minutes__TREATED,945,259,9.92018459180633,6.355878402307218,3.564306189499111,35.92983735850121,0.00024993751562109475,-0.005946760248055576,0.41615335161724065,1.1652293845282737,B,minutes,TREATED
B__minutes__UNTREATED,8077,886,4.695958028219865,4.685391575122067,0.010566453097797674,0.22501165969328704,0.00024993751562109475,-6.189759006115543e-05,0.002005492611254985,0.005615379311513958,B,minutes,UNTREATED
B__minutes__UNTREATED_and_DECISION,3158,764,4.34345550900056,4.3331602788481955,0.010295230152364563,0.23702856242065018,0.027743064233941513,-1.1818094143171775e-05,0.004703567664342884,0.013169989460160075,B,minutes,UNTREATED_and_DECISION
C__minutes__TREATED,2475,282,5.129469809414533,5.015292322459952,0.11417748695458184,2.22591205712962,0.00024993751562109475,-0.0003737913705686886,0.0311930304377828,0.08734048522579184,C,minutes,TREATED
C__minutes__UNTREATED,6547,726,5.286144746431626,5.2975005104671915,-0.011355764035565725,-0.21482128432505282,0.005498625343664084,-6.629692134963007e-05,0.003955431556803096,0.011075208359048669,C,minutes,UNTREATED
C__minutes__UNTREATED_and_DECISION,2107,500,4.271922311812448,4.287364874273326,-0.015442562460876942,-0.3614897775218466,0.18070482379405148,0.00021913158900841744,0.011306749045702424,0.031658897327966784,C,minutes,UNTREATED_and_DECISION
A__pts__TREATED,632,197,6.321560297441528,3.970013474393353,2.3515468230481757,37.19883561025112,0.00024993751562109475,-0.01269809270167282,0.30345059784493333,0.8496616739658133,A,pts,TREATED
A__pts__UNTREATED,8390,931,4.1375593948225555,4.143868176082535,-0.006308781259979178,-0.15247590808904238,0.00024993751562109475,4.497142607347575e-06,0.0006983427823710977,0.0019553597906390736,A,pts,UNTREATED
A__pts__UNTREATED_and_DECISION,3158,764,5.062164314707972,5.068024401975297,-0.00586008726732499,-0.11576248622152933,0.00024993751562109475,-4.4151053123861834e-05,0.0011453609334206615,0.003207010613577852,A,pts,UNTREATED_and_DECISION
B__pts__TREATED,945,259,6.2875246325587355,4.188396825748345,2.0991278068103894,33.38559973094117,0.00024993751562109475,-0.006232901367183846,0.23003130425708457,0.6440876519198367,B,pts,TREATED
B__pts__UNTREATED,8077,886,4.056907100752293,4.063502555885757,-0.006595455133462304,-0.16257348195721005,0.00024993751562109475,3.919574728640044e-06,0.000718104266674297,0.0020106919466880316,B,pts,UNTREATED
B__pts__UNTREATED_and_DECISION,3158,764,5.062164314707972,5.06859526542674,-0.0064309507187676855,-0.1270395490735602,0.00024993751562109475,-4.379875316589076e-05,0.0011826077518059053,0.003311301705056535,B,pts,UNTREATED_and_DECISION
C__pts__TREATED,2475,282,4.138673431889288,4.1910317197186915,-0.05235828782940432,-1.2650983144979133,0.000999750062484379,-4.122977267638371e-05,0.015711388317376174,0.04399188728865328,C,pts,TREATED
C__pts__UNTREATED,6547,726,4.3479658907313725,4.326492752344187,0.021473138387184964,0.4938663026993747,0.00024993751562109475,4.598919716353746e-05,0.0021492796873074137,0.006017983124460758,C,pts,UNTREATED
C__pts__UNTREATED_and_DECISION,2107,500,5.074723994753225,5.056119448736806,0.01860454601641987,0.3666119780239314,0.00024993751562109475,5.951987669147228e-05,0.003906526064050313,0.010938272979340876,C,pts,UNTREATED_and_DECISION
