num,impl_name,family,module,catalog_number,name,best_channel,best_improvement,best_p,any_survives,n_tests,run,status,tested,implemented
1,home_lift_shrunk,A,fam_a.py,1,home_lift_shrunk,fg3,0.00113,0.0398,False,4,run1 pooled,not confirmed,True,True
2,home_3ppct_diff,A,fam_a.py,2,home_3ppct_diff,fg3,-0.0001,0.54229,False,1,run1 pooled,not confirmed,True,True
3,home_ftpct_diff,A,fam_a.py,3,home_ftpct_diff,ft,-0.00011,0.61194,False,1,run1 pooled,not confirmed,True,True
4,home_usage_shift,A,fam_a.py,4,home_usage_shift,fg3,0.002,0.01493,False,4,run1 pooled,not confirmed,True,True
5,home_minutes_shift,A,fam_a.py,5,home_minutes_shift,paint,0.00092,0.02488,False,4,run1 pooled,not confirmed,True,True
6,rest_bucket_profile,A,fam_a.py,6,rest_bucket_profile,paint,9e-05,0.29851,False,4,run1 pooled,not confirmed,True,True
7,b2b_x_age_pooled,C,bios_features.py,7,b2b_x_age_pooled,np2,0.00249,0.00995,False,4,run2 bios,not confirmed,True,True
8,timezone_shift,A,fam_a.py,8,timezone_shift,ft,0.00428,0.00498,False,4,run1 pooled,not confirmed,True,True
9,travel_km_since_last,A,bios_features.py,9,travel_km_since_last,ft,0.00463,0.00498,False,4,run2 bios,not confirmed,True,True
10,tip_split_local,A,bios_features.py,10,tip_time_split,fg3,0.00306,0.00995,False,8,run1 pooled,not confirmed,True,True
11,trip_position,A,fam_a.py,11,trip_position,ft,0.00137,0.00995,False,4,run1 pooled,not confirmed,True,True
12,opp_def_tercile_profile,B,fam_b.py,12,opp_def_tercile_profile,paint,0.00045,0.15423,False,4,run1 pooled,not confirmed,True,True
13,3pa_vs_opp_3pallowed,B,fam_b.py,13,3pa_vs_opp_3pallowed,fg3,0.0016,0.04478,False,1,run1 pooled,not confirmed,True,True
14,paintrel_vs_rimprot,B,fam_b.py,14,paintrel_vs_rimprot,paint,-0.00096,0.81095,False,1,run1 pooled,not confirmed,True,True
15,ftr_vs_opp_foulprop,B,fam_b.py,15,ftr_vs_opp_foulprop,ft,0.00015,0.29353,False,1,run1 pooled,not confirmed,True,True
16,opp_pace_tercile_profile,B,fam_b.py,16,opp_pace_tercile_profile,fg3,0.00286,0.00498,True,4,run1 pooled,CONFIRMED,True,True
19,career_h2h_franchise,B,fam_b.py,19,career_h2h_franchise,paint,0.00273,0.00498,False,4,run1 pooled,not confirmed,True,True
21,opp_toforce_x_toprone,B,fam_b.py,21,opp_toforce_x_toprone,ft,0.00014,0.23881,False,4,run1 pooled,not confirmed,True,True
22,opp_dreb_x_secondchance,B,fam_b.py,22,opp_dreb_x_secondchance,paint,0.00082,0.05473,False,2,run1 pooled,not confirmed,True,True
23,opp_rotation_x_minshare,B,fam_b.py,23,opp_rotation_x_minshare,paint,0.00082,0.0398,False,4,run1 pooled,not confirmed,True,True
24,opp_3pvar_x_shooter,B,fam_b.py,24,opp_3pvar_x_shooter,fg3,-0.00138,0.93532,False,1,run1 pooled,not confirmed,True,True
25,opp_transdef_x_transshare,B,fam_b.py,25,opp_transdef_x_transshare,ft,0.00037,0.08955,False,4,run1 pooled,not confirmed,True,True
26,zone_displacement_vs_opp,B,fam_b.py,26,zone_displacement_vs_opp,np2,0.0036,0.01493,False,3,run1 pooled,not confirmed,True,True
27,age_curve_peak,C,bios_features.py,27,age_curve_peak,fg3,0.00128,0.18408,False,4,run2 bios,not confirmed,True,True
28,height_x_paint_vol,C,bios_features.py,28,height_x_paint_vol,paint,0.00143,0.03483,False,1,run2 bios,not confirmed,True,True
29,experience_x_minutes_vol,C,bios_features.py,29,experience_x_minutes_vol,ft,0.00015,0.31343,False,4,run2 bios,not confirmed,True,True
30,draft_pedigree_lowexp,C,bios_features.py,30,draft_pedigree_lowexp,fg3,0.00347,0.00498,False,4,run2 bios,not confirmed,True,True
31,weight_x_b2b_pooled,C,bios_features.py,31,weight_x_b2b_pooled,paint,0.00244,0.01493,False,4,run2 bios,not confirmed,True,True
33,age_x_travel_pooled,C,bios_features.py,33,age_x_travel_pooled,paint,0.00048,0.15423,False,4,run2 bios,not confirmed,True,True
36,fast_slow_ewma_gap,D,fam_d.py,36,fast_slow_ewma_gap,ft,0.00034,0.09453,False,4,run1 pooled,not confirmed,True,True
37,rate_volatility,D,fam_d.py,37,rate_volatility,fg3,0.0004,0.28358,False,4,run1 pooled,not confirmed,True,True
