target,form,alpha,inner_mae
minutes,ewma_target,0.05,4.756351
minutes,ewma_target,0.1,4.67118
minutes,ewma_target,0.15,4.618106
minutes,ewma_target,0.2,4.593067
minutes,ewma_target,0.25,4.585716
minutes,ewma_target,0.3,4.592405
minutes,ewma_target,0.35,4.610637
minutes,ewma_target,0.4,4.640054
minutes,ewma_target,0.45,4.677226
minutes,ewma_target,0.5,4.721522
fga36,ewma_target,0.05,3.324105
fga36,ewma_target,0.1,3.328059
fga36,ewma_target,0.15,3.346419
fga36,ewma_target,0.2,3.376578
fga36,ewma_target,0.25,3.414251
fga36,ewma_target,0.3,3.457426
fga36,ewma_target,0.35,3.506591
fga36,ewma_target,0.4,3.560776
fga36,ewma_target,0.45,3.620396
fga36,ewma_target,0.5,3.685026
fga36,ratio_ewma,0.05,3.295344
fga36,ratio_ewma,0.1,3.300068
fga36,ratio_ewma,0.15,3.318587
fga36,ratio_ewma,0.2,3.345566
fga36,ratio_ewma,0.25,3.379694
fga36,ratio_ewma,0.3,3.420326
fga36,ratio_ewma,0.35,3.464383
fga36,ratio_ewma,0.4,3.513632
fga36,ratio_ewma,0.45,3.567031
fga36,ratio_ewma,0.5,3.625096
fg3a36,ewma_target,0.05,1.728712
fg3a36,ewma_target,0.1,1.73792
fg3a36,ewma_target,0.15,1.752587
fg3a36,ewma_target,0.2,1.770321
fg3a36,ewma_target,0.25,1.789971
fg3a36,ewma_target,0.3,1.810755
fg3a36,ewma_target,0.35,1.833484
fg3a36,ewma_target,0.4,1.858219
fg3a36,ewma_target,0.45,1.884512
fg3a36,ewma_target,0.5,1.912461
fg3a36,ratio_ewma,0.05,1.719646
fg3a36,ratio_ewma,0.1,1.725698
fg3a36,ratio_ewma,0.15,1.737568
fg3a36,ratio_ewma,0.2,1.75263
fg3a36,ratio_ewma,0.25,1.76995
fg3a36,ratio_ewma,0.3,1.789983
fg3a36,ratio_ewma,0.35,1.812182
fg3a36,ratio_ewma,0.4,1.83585
fg3a36,ratio_ewma,0.45,1.861062
fg3a36,ratio_ewma,0.5,1.887633
fta36,ewma_target,0.05,2.501539
fta36,ewma_target,0.1,2.511251
fta36,ewma_target,0.15,2.525907
fta36,ewma_target,0.2,2.542285
fta36,ewma_target,0.25,2.56017
fta36,ewma_target,0.3,2.57963
fta36,ewma_target,0.35,2.599517
fta36,ewma_target,0.4,2.620477
fta36,ewma_target,0.45,2.643603
fta36,ewma_target,0.5,2.669814
fta36,ratio_ewma,0.05,2.46919
fta36,ratio_ewma,0.1,2.475589
fta36,ratio_ewma,0.15,2.487679
fta36,ratio_ewma,0.2,2.505228
fta36,ratio_ewma,0.25,2.526263
fta36,ratio_ewma,0.3,2.549495
fta36,ratio_ewma,0.35,2.574044
fta36,ratio_ewma,0.4,2.600346
fta36,ratio_ewma,0.45,2.62917
fta36,ratio_ewma,0.5,2.660258
