pattern,target,pattern_kind,player_id,player_name,n_rows,sxx,raw_dev_slope,trait_pred_slope,shrunken_dev,posterior_z,half1_slope,half2_slope,half_signs,survives_shrinkage,replicates_sign,reported,K_star,n_evaluated_in_pattern,chance_expected_named_low,chance_expected_named_high
TALL_SHOOTERS,minutes,registered_composite,100720,Sue Bird,51,33.52,0.09492,0.07625,0.0,0.0,0.3199,-0.28995,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,100940,Diana Taurasi,89,76.32,0.10911,0.05653,0.0,0.0,-0.2994,0.48527,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,201480,Sylvia Fowles,51,47.88,-0.63567,0.0588,0.0,0.0,1.06643,-1.28446,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,201496,Candace Parker,58,66.69,-0.79318,0.06762,0.0,0.0,-1.4152,-0.03946,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,201507,Leilani Mitchell,26,28.39,-0.23117,-0.07318,0.0,0.0,-0.67189,0.58261,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,201516,Allie Quigley,50,53.39,0.85034,0.08447,0.0,0.0,0.56504,1.19871,++,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,201886,DeWanna Bonner,123,125.88,-0.15235,0.07911,0.0,0.0,0.09533,-0.39835,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,201896,Briann January,55,37.94,0.83176,-0.0307,0.0,0.0,0.48916,-0.19072,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,201911,Kristi Toliver,22,14.38,0.76646,0.056,0.0,0.0,2.06555,0.84063,++,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,201913,Kia Vaughn,42,47.57,0.00266,0.0688,0.0,0.0,-0.32291,0.32823,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,201919,Shavonte Zellous,20,14.15,1.50551,-0.02148,0.0,0.0,-1.65498,3.7103,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,202250,Tina Charles,85,78.74,-0.35456,0.08796,0.0,0.0,-0.13631,-0.56706,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,202252,Alysha Clark,93,98.82,1.02088,0.10618,0.0,0.0,0.52024,1.5243,++,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,202259,Epiphanny Prince,46,40.17,0.35021,-0.03635,0.0,0.0,0.25216,0.0975,++,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,202633,Liz Cambage,40,52.03,-0.23161,0.19544,0.0,0.0,-0.32824,-0.25207,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,202638,Jessica Breland,20,25.25,1.95296,0.02396,0.0,0.0,1.84617,2.21863,++,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,202641,Sydney Colson,20,27.47,-0.59994,0.04958,0.0,0.0,-0.49397,-0.99028,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,202650,Jantel Lavender,37,42.9,0.95037,0.07434,0.0,0.0,-0.52836,2.60134,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,202658,Danielle Robinson,72,65.9,-0.55509,-0.1099,0.0,0.0,-0.26471,-0.85362,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,202662,Jasmine Thomas,44,42.88,-1.37893,-0.08909,0.0,0.0,-3.83677,-0.68412,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,202664,Courtney Vandersloot,114,91.52,0.45912,-0.1041,0.0,0.0,0.72786,-0.12039,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203014,Nneka Ogwumike,105,108.56,-0.59601,0.065,0.0,0.0,-0.36932,-0.87491,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203024,Damiris Dantas,39,35.29,-0.60902,0.08929,0.0,0.0,-0.53537,-0.87127,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203026,Tiffany Hayes,85,84.88,-1.03277,-0.05132,0.0,0.0,-0.22865,-1.97406,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203029,Riquna Williams,43,50.33,-0.80738,0.03781,0.0,0.0,-2.91397,0.55224,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203035,Shey Peddy,65,60.96,1.02685,-0.09405,0.0,0.0,3.18641,-0.7746,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203398,Brittney Griner,76,66.82,-0.27348,0.24877,0.0,0.0,0.49574,-1.41528,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203399,Elena Delle Donne,37,40.5,1.76163,0.25725,0.0,0.0,1.51424,1.58176,++,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203400,Skylar Diggins-Smith,86,72.28,-0.06365,-0.03176,0.0,0.0,0.5821,-0.55118,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203403,Tianna Hawkins,67,70.41,-0.39985,-0.00322,0.0,0.0,-1.46832,1.18704,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203406,Layshia Clarendon,52,48.13,0.10884,-0.01926,0.0,0.0,0.633,-0.37422,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203416,Emma Meesseman,31,32.94,0.8724,0.1432,0.0,0.0,-0.2542,1.97542,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203822,Rebekah Gardner,30,32.56,-0.04469,0.0266,0.0,0.0,-0.9732,0.88382,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203823,Chiney Ogwumike,26,28.39,-0.82916,0.02083,0.0,0.0,0.97036,-6.50963,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203824,Odyssey Sims,62,70.89,-1.03209,-0.08215,0.0,0.0,-1.92342,-0.07553,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203825,Kayla McBride,120,127.6,-0.28058,0.06338,0.0,0.0,-0.25368,-0.29087,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203826,Alyssa Thomas,100,104.06,0.22019,-0.03796,0.0,0.0,0.6208,-0.26085,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203827,Natasha Howard,94,99.19,-0.07378,-0.00883,0.0,0.0,-0.40078,0.14248,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203828,Stefanie Dolson,98,85.0,-0.69275,0.12524,0.0,0.0,-0.91226,-0.34061,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203831,Natalie Achonwa,27,25.9,0.25879,0.01404,0.0,0.0,-0.69654,0.6039,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203833,Chelsea Gray,114,120.0,-0.29449,0.10645,0.0,0.0,-0.91088,0.36357,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203849,Theresa Plaisance,39,28.18,0.60882,0.1324,0.0,0.0,-1.81525,2.9702,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203855,Stephanie Talbot,77,67.03,1.78596,0.10203,0.0,0.0,1.55557,2.12267,++,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,203866,Kayla Thornton,125,81.51,0.1512,0.01463,0.0,0.0,0.91281,-0.95589,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,204296,Rebecca Allen,82,74.79,1.01614,0.08207,0.0,0.0,1.07962,0.97486,++,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,204319,Jewell Loyd,122,103.58,0.40684,0.01602,0.0,0.0,1.30354,-0.61413,+-,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,204320,Amanda Zahui B,37,37.8,-0.52686,0.03546,0.0,0.0,-2.55081,1.09262,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,204322,Elizabeth Williams,88,103.87,-1.44383,-0.09035,0.0,0.0,-1.46489,-1.38657,--,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,204323,Cheyenne Parker-Tyus,93,90.23,0.60471,0.02514,0.0,0.0,0.40003,0.65682,++,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,204324,Dearica Hamby,121,119.43,-0.37203,-0.01582,0.0,0.0,-1.26687,0.38866,-+,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,204329,Kiah Stokes,104,108.22,0.78428,-0.03846,0.0,0.0,0.76396,0.60442,++,False,False,False,,169,1.92,3.84
TALL_SHOOTERS,minutes,registered_composite,204330,Isabelle Harrison,79,67.44,0.69926,-0.04269,0.0,0.0,0.79847,0.58741,++,False,False,False,,169,1.92,3.84
