protocol,target,target_label,catalog_number,feature,feature_channel,feature_alpha,battery,condition,condition_kind,registered_pairing,n_train,n_val,observed_effect,n_eligible,n_players_eligible,median_player_rows,sd_within_player,mde_player,mde_pooled,plausible_effect,mde_ratio_player,mde_ratio_pooled,degenerate,note,nan_share_feature,nan_share_moderator,corr_fm,mae_noint_2024,mae_int_2024,delta_mae,improvement,beta_interaction,fold_deltas,fold_signs,p_value,null_q50,null_q95,q_value,bh_pass,sign_consistent,survives,power_label,power_label_pooled
player_volume_heterogeneity_v1,minutes,minutes played,55,closing_lineup_membership,np2,,survivor,starter_share,player_trait,False,8687,3261,0.53374,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,0.7692,4.48798,4.45997,-0.02801,0.02801,0.53374,+0.00609;-0.01624;-0.02323,+--,0.00498,-0.000113,0.001518,0.340632,False,False,False,underpowered,null_with_power
player_volume_heterogeneity_v1,minutes,minutes played,55,closing_lineup_membership,np2,,survivor,min7d_load,player_trait,False,8687,3261,0.27736,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,0.5042,4.47477,4.46267,-0.0121,0.0121,0.27736,-0.00879;-0.00888;-0.01476,---,0.00498,-0.000334,0.001215,0.340632,False,True,False,underpowered,null_with_power
player_volume_heterogeneity_v1,minutes,minutes played,62,zone_mix_drift,np2,,survivor,starter_share,player_trait,False,8687,3261,0.26989,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,-0.3181,4.48971,4.47886,-0.01085,0.01085,-0.26989,-0.00778;-0.00610;+0.00141,--+,0.00498,-0.000157,0.001487,0.340632,False,False,False,underpowered,null_with_power
player_volume_heterogeneity_v1,fg3a36,3pt attempts / 36,17,opp_rotation_height,-,0.1,resurrection,pressure,archetype,False,8687,3261,0.08706,11941,169,62.0,2.372,1.6869,0.12156,0.1935,8.72,0.628,False,,0.0006,0.0,-0.3574,1.81715,1.80798,-0.00917,0.00917,-0.08706,-0.00469;-0.00670;-0.00397,---,0.00498,-0.000205,0.002362,0.340632,False,True,False,underpowered,null_with_power
player_volume_heterogeneity_v1,fga36,shot attempts / 36,62,zone_mix_drift,np2,,survivor,career_minutes,player_trait,False,8687,3261,0.0951,11948,169,62.0,4.1004,2.9162,0.21007,0.5916,4.93,0.355,False,,0.0,0.0,-0.1329,3.22973,3.2208,-0.00893,0.00893,-0.0951,+0.01237;-0.00008;-0.00332,+--,0.00498,0.001374,0.004783,0.340632,False,False,False,underpowered,null_with_power
player_volume_heterogeneity_v1,minutes,minutes played,65,early_clock_share,fg3,0.05,survivor,career_minutes,player_trait,False,8687,3261,0.08336,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,0.1433,4.46702,4.45876,-0.00827,0.00827,0.08336,+0.04102;+0.02141;+0.00147,+++,0.00498,-0.00128,0.003199,0.340632,False,False,False,underpowered,null_with_power
player_volume_heterogeneity_v1,minutes,minutes played,60,second_unit_anchor,np2,,survivor,usage_ewma,player_trait,False,8687,3261,0.21491,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,-0.2917,4.43665,4.4288,-0.00785,0.00785,-0.21491,-0.00193;-0.00410;-0.00569,---,0.00498,-0.000118,0.002098,0.340632,False,True,False,underpowered,null_with_power
player_volume_heterogeneity_v1,minutes,minutes played,45,garbage_cleaned_rates,ft,0.05,survivor,starter_share,player_trait,False,8687,3261,0.23723,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,0.3429,4.4736,4.46581,-0.00778,0.00778,0.23723,-0.00128;+0.00485;-0.01117,-+-,0.00498,-0.00019,0.002118,0.340632,False,False,False,underpowered,null_with_power
player_volume_heterogeneity_v1,minutes,minutes played,65,early_clock_share,fg3,0.05,survivor,min7d_load,player_trait,False,8687,3261,0.11674,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,0.1787,4.47796,4.47111,-0.00685,0.00685,0.11674,+0.00043;-0.00145;-0.00323,+--,0.00498,-2.5e-05,0.00191,0.340632,False,False,False,underpowered,null_with_power
player_volume_heterogeneity_v1,minutes,minutes played,80,min7d_load,-,0.1,resurrection,starter_share,player_trait,False,8687,3261,0.20075,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,0.484,4.48709,4.4806,-0.00649,0.00649,0.20075,-0.00663;-0.00504;-0.00720,---,0.00498,-9.7e-05,0.001672,0.340632,False,True,False,underpowered,null_with_power
player_volume_heterogeneity_v1,minutes,minutes played,80,min7d_load,-,0.1,resurrection,transition_share,player_trait,False,8687,3261,0.10784,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,0.1761,4.47824,4.47177,-0.00646,0.00646,0.10784,-0.00002;-0.00118;-0.00292,---,0.00498,-0.000103,0.000995,0.340632,False,True,False,underpowered,null_with_power
player_volume_heterogeneity_v1,minutes,minutes played,62,zone_mix_drift,np2,,survivor,min7d_load,player_trait,False,8687,3261,0.22397,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,-0.2553,4.47685,4.47131,-0.00554,0.00554,-0.22397,-0.00375;-0.00512;-0.00596,---,0.00498,-0.00015,0.001164,0.340632,False,True,False,underpowered,null_with_power
player_volume_heterogeneity_v1,minutes,minutes played,58,stint_pm_stability,np2,,survivor,min7d_load,player_trait,False,8687,3261,0.12474,11948,169,62.0,6.1956,4.4063,0.31741,1.216,3.62,0.261,False,,0.0,0.0,-0.3745,4.45604,4.45213,-0.0039,0.0039,-0.12474,-0.00608;+0.00262;-0.00216,-+-,0.00498,-0.00022,0.001992,0.340632,False,False,False,underpowered,null_with_power
player_volume_heterogeneity_v1,fta36,FT attempts / 36,9,travel_distance,-,,resurrection,height_inches,player_trait,False,8687,3261,0.07027,11948,169,62.0,2.9077,2.0679,0.14897,0.1892,10.93,0.787,False,,0.0,0.0,-0.0027,2.39845,2.39526,-0.00319,0.00319,-0.07027,+0.00044;-0.00217;-0.00215,+--,0.00498,-2.4e-05,0.000576,0.340632,False,False,False,underpowered,null_with_power
player_volume_heterogeneity_v1,fga36,shot attempts / 36,55,closing_lineup_membership,np2,,survivor,starter_share,player_trait,False,8687,3261,0.13788,11948,169,62.0,4.1004,2.9162,0.21007,0.5916,4.93,0.355,False,,0.0,0.0,0.7692,3.19857,3.19564,-0.00293,0.00293,0.13788,+0.00440;+0.00006;-0.00159,++-,0.00498,-0.000109,0.000935,0.340632,False,False,False,underpowered,null_with_power
player_volume_heterogeneity_v1,fga36,shot attempts / 36,9,travel_distance,-,,resurrection,starter_share,player_trait,False,8687,3261,0.09081,11948,169,62.0,4.1004,2.9162,0.21007,0.5916,4.93,0.355,False,,0.0,0.0,-0.003,3.20491,3.20207,-0.00284,0.00284,0.09081,-0.00108;+0.00004;-0.00183,-+-,0.00498,-5e-05,0.000738,0.340632,False,False,False,underpowered,null_with_power
