model,scope,n_games,mean_e_h,mean_e_a,var_e_h,var_e_a,cov_h_a,corr_h_a,var_c,var_u,mean_c,mean_u,common_share,var_margin_err_2u,var_total_err_2c,side_mae_h,side_mae_a,margin_mae_sidediff,total_mae
incumbent_cal,pooled_673,673,-0.9491217246490028,-0.18597807288582593,124.14065963905053,120.3142827773926,40.81571632927422,0.33397334416977875,81.5215937687479,40.70587743947367,-0.5675498987674142,-0.3815718258815884,0.6669662144107616,162.82350975789467,326.0863750749916,8.792752190502302,8.616265404371452,10.160268528368148,14.223623518386729
incumbent_cal,season_2024,229,-0.05909381935418338,0.032766282159807945,103.152301973527,97.00934317277071,39.04046627259347,0.3902732201319721,69.56064442287115,30.5201781502777,-0.01316376859718781,-0.045930050756995605,0.6950446912247292,122.0807126011108,278.2425776914846,8.124718532674265,7.80128563818065,9.083697571305791,13.06801432104684
incumbent_cal,season_2025,276,-0.5523254791343378,0.8313386274643576,114.1060832117612,119.65748865197052,20.754149648870985,0.1776153937747168,68.81796779036841,48.06381814149744,0.1395065741650098,-0.6918320532993476,0.5887826511350931,192.25527256598977,275.27187116147365,8.480604277042422,8.738092527750519,11.024882470646498,13.363680652960138
incumbent_cal,season_2026,168,-2.814194070330914,-2.1554534693269014,165.96036341225155,148.97613999173038,72.13441940745116,0.45875624925203307,114.80133555472108,42.6669161472699,-2.4848237698289077,-0.3293703005020064,0.7290443268017153,170.6676645890796,459.2053422188843,10.216160117630547,9.527015882973068,10.207300082525617,17.2115921912949
incumbent_cal,season_2024_H1,114,-0.8355080761353975,0.656201539954311,93.7792672043249,91.25077463324916,35.18662766081189,0.38036972978474126,63.85082428979945,28.664196628987572,-0.08965326809054325,-0.7458548080448542,0.6901671064404772,114.65678651595029,255.4032971591978,7.759098941957248,7.38849461231351,8.984452437067748,12.39278438931751
incumbent_cal,season_2024_H2,115,0.710569009107194,-0.5852477994799605,112.14756560257919,102.79439381484289,44.166838479187,0.41135489790276397,75.81890909394905,31.652070614762014,0.06266060481361677,0.6479084042935772,0.7054826270259035,126.60828245904806,303.2756363757962,8.487158822602442,8.210487176866332,9.18207970437655,13.737372688152433
incumbent_cal,season_2025_H1,138,-1.1114157210006907,0.39532156582734945,129.08542002690592,116.91974890022688,20.442075334169296,0.1663958349705673,71.72232989886786,51.28025456469855,-0.3580470775866704,-0.7533686434140199,0.5830961212047715,205.1210182587942,286.8893195954714,8.798798523271886,8.578309743484231,11.581048407212135,13.445794118024004
incumbent_cal,season_2025_H2,138,0.0067647627320147185,1.2673556891013658,99.32991047845523,122.8856436322786,20.726609609857977,0.18760208947981397,65.91719333261246,45.19058372275447,0.6370602259166902,-0.6302954631846754,0.5932725420270516,180.76233489101787,263.6687733304498,8.162410030812964,8.897875312016806,10.468716534080857,13.281567187896272
incumbent_cal,season_2026_H1,84,-2.3092000423122867,-0.8743950126890345,128.91036229724236,152.6644528273574,62.718541180974526,0.4470777648025797,101.75297437163721,39.034433190662675,-1.5917975275006604,-0.7174025148116259,0.7227420131776379,156.1377327626507,407.01189748654883,9.154948877364276,9.739701569984325,10.161740358472947,15.820210404096962
incumbent_cal,season_2026_H2,84,-3.3191880983495423,-3.436511925964769,204.49370400596027,143.76095403255394,81.10994468480862,0.4730572049329304,127.61863685203288,46.50869216722422,-3.3778500121571553,0.058661913807613174,0.7329041200529716,186.03476866889687,510.4745474081315,11.277371357896817,9.31433019596181,10.25285980657829,18.602973978492845
incumbent_uncal,pooled_673,673,-1.7991767323705343,0.5608739439462058,125.2198330484964,118.96564687782228,39.883140903369565,0.32676987155832693,80.98794043326446,41.10479952989488,-0.6191513942121641,-1.18002533815837,0.6633313369632136,164.41919811957953,323.9517617330578,8.901500857697618,8.588590602238181,10.279106638332534,14.13939696393279
rawtrend_cal,pooled_673,673,-0.7631703787538728,-0.2704135431840121,133.92740839014874,132.23291355434287,42.171631372355456,0.316895363909458,87.62589617230064,45.45426479994518,-0.5167919609689426,-0.24637841778493041,0.6584444708522348,181.81705919978072,350.50358468920257,9.223352227497976,9.085272309793702,10.7458429684985,14.763036902290338
incumbent_cal,rs627,627,-0.9128884787920388,-0.31747575462715544,125.90611272851133,122.95364742927467,41.4617515133675,0.33323723968461194,82.94581579613026,41.484064282762745,-0.6151821167095971,-0.2977063620824416,0.6666068933244944,165.93625713105098,331.78326318452105,8.850962418867995,8.699963078725728,10.254906205053533,14.322465996189326
substituted_cal,rs627,627,-1.0764619279125287,-0.48047783458156285,124.84666294944195,123.82391238948861,39.26866562249231,0.3158314786716243,81.80197664597878,42.5333110234865,-0.7784698812470457,-0.29799204666548296,0.6579144037004389,170.133244093946,327.20790658391513,8.805207119345145,8.715650830567593,10.417109100923417,14.217187525951367
incumbent_uncal,rs627,627,-1.7406486243578627,0.4735651559877924,127.04638725273969,121.41332883904707,40.46128148404017,0.3257806537168925,82.34556976496677,41.8842882809266,-0.6335417341850352,-1.1071068901728276,0.6628484573696157,167.5371531237064,329.3822790598671,8.947059438602269,8.666251794916423,10.34017491613493,14.235010641355577
substituted_uncal,rs627,627,-1.9824307666327108,0.21212326349750776,124.7838181633652,121.28556581647395,37.34476421448297,0.30356103674218166,80.18972810220129,42.8449638877183,-0.8851537515676015,-1.0972770150651092,0.6517651794403756,171.3798555508732,320.75891240880514,8.865728932710326,8.600043138353902,10.4371212440459,14.006580793501334
incumbent_cal,rs627_season_2024,207,0.1716675695653089,-0.1329929115432163,104.01493089203662,98.04992204155407,37.73532196203314,0.37365998412202983,69.38387421441423,31.648552252381098,0.019337329011046372,0.15233024055426253,0.686748568166058,126.59420900952439,277.53549685765694,8.1464649912764,7.8255402266158915,9.276072056924196,13.00138646917803
substituted_cal,rs627_season_2024,207,-0.06461726753127879,-0.3158943668689628,100.08098060026013,98.22838919897747,34.807752955580206,0.35106028478606344,66.9812189275995,32.1734659720193,-0.19025581720012058,0.12563854966884191,0.6755224828298255,128.6938638880772,267.924875710398,8.025294040499496,7.861418413963343,9.48908182078446,12.702253731535828
incumbent_cal,rs627_season_2025,252,-0.5362367432025142,0.7563032435918204,114.69410269217569,123.61175850163119,21.532710844249962,0.180841571365049,70.34282072057671,48.81010987632674,0.11003325019465303,-0.6462699933971674,0.5903574538048734,195.24043950530697,281.37128288230684,8.519524935214626,8.866870456793917,11.090685956035532,13.481554334735364
substituted_cal,rs627_season_2025,252,-0.6188415332712313,0.6745954689958641,114.56683468692016,122.62575953781426,19.759054753510952,0.16670393537228692,69.1776759329391,49.41862117942813,0.027876967862316315,-0.6467185011335478,0.5833038435204673,197.67448471771252,276.7107037317564,8.516339217405084,8.80146362532553,11.128083359660588,13.396241889504406
incumbent_cal,rs627_season_2026,168,-2.814194070330914,-2.1554534693269014,165.96036341225155,148.97613999173038,72.13441940745116,0.45875624925203307,114.80133555472108,42.6669161472699,-2.4848237698289077,-0.3293703005020064,0.7290443268017153,170.6676645890796,459.2053422188843,10.216160117630547,9.527015882973068,10.207300082525617,17.2115921912949
substituted_cal,rs627_season_2026,168,-3.009629690701372,-2.4158781340935853,166.99705814202972,152.86551569318422,69.79655622064729,0.4368424375679762,114.86392156912711,45.06736534847985,-2.712753912397478,-0.2968757783038932,0.7182079490694179,180.2694613939194,459.45568627650846,10.199473301547195,9.639468008889494,10.494109897274589,17.315220834455243
