season,n_paired_games,model_totals_mae,bookie_totals_mae,totals_gap_model_minus_bookie,delta_ci90_lo,delta_ci90_hi,share_games_model_closer,n_margin_paired,model_margin_mae_same_games,bookie_margin_mae_same_games,margin_gap_model_minus_bookie
ALL,365,15.203485613306052,14.908929016189292,0.29455659711675963,-0.6200733839151074,0.03303493486880748,0.4383561643835616,365,10.565355655920543,10.201008717310089,0.36434693861045453
2025,197,13.490988633092208,13.254660821412092,0.23632781168011618,-0.7240661210673215,0.2578344533605377,0.4263959390862944,197,10.83945292994275,10.356137517305031,0.4833154126377188
2026,168,17.2115921912949,16.84875541125541,0.3628367800394905,-0.7877468553630119,0.06676418108552927,0.4523809523809524,168,10.243943971501647,10.019101731601731,0.2248422398999157
