season,n,model_mae,model_plus_trailing_bias_mae,league_mean_floor_mae,n_league_mean
ALL,673,14.223623518386727,14.278247743271505,14.877917407450806,673
2024,229,13.068014321046839,13.287101114108129,13.794877493678392,229
2025,276,13.363680652960138,13.500277113304033,13.72363379330553,276
2026,168,17.2115921912949,16.907369600113384,18.25052703696259,168
