season,n_games,bookie_totals_mae,bookie_totals_rmse,bookie_bias_line_minus_actual,mean_consensus_total,mean_actual_total,sd_actual_total,mean_n_books
ALL,406,14.909057321988355,18.64053156865414,-2.036307657859382,167.01787953425884,169.05418719211823,20.498527973754566,10.990147783251231
2025,197,13.254660821412088,16.393527648828854,-0.5086063682510377,163.11575911398248,163.62436548223351,17.46194156714289,10.97969543147208
2026,209,16.468464549804263,20.534633698850165,-3.476294040887342,170.6959547629404,174.17224880382776,21.830839936255646,11.0
