season,n_games,model_str_total_mae,model_raw_total_mae,model_str_margin_mae
ALL,673,14.223623518386727,14.763036902290338,10.085991899037579
2024,229,13.06801432104684,13.940965262510852,8.936136436031989
2025,276,13.363680652960138,13.527828102426819,10.943893902132928
2026,168,17.2115921912949,17.912870439622687,10.243943971501645
