game_id,consensus_total,median_total,book_spread_minmax,n_books,actual_total,n_team_rows,season,game_date,err,abs_err
1022500114,163.1,163.0,1.0,10,176,2,2025,2025-07-05,-12.900000000000006,12.900000000000006
1022500115,155.85,156.0,1.5,10,153,2,2025,2025-07-05,2.8499999999999943,2.8499999999999943
1022500116,157.36363636363637,157.5,0.5,11,154,2,2025,2025-07-06,3.363636363636374,3.363636363636374
1022500117,167.5909090909091,167.5,0.5,11,149,2,2025,2025-07-06,18.590909090909093,18.590909090909093
1022500118,161.22727272727272,161.0,0.5,11,155,2,2025,2025-07-06,6.2272727272727195,6.2272727272727195
1022500119,157.9090909090909,158.0,1.0,11,171,2,2025,2025-07-07,-13.090909090909093,13.090909090909093
1022500120,164.0,164.0,1.0,11,174,2,2025,2025-07-07,-10.0,10.0
1022500121,159.3181818181818,159.5,1.5,11,160,2,2025,2025-07-08,-0.681818181818187,0.681818181818187
1022500122,165.8181818181818,166.0,1.0,11,165,2,2025,2025-07-08,0.818181818181813,0.818181818181813
1022500123,155.3181818181818,155.5,1.5,11,176,2,2025,2025-07-09,-20.681818181818187,20.681818181818187
1022500124,164.54545454545453,164.5,1.5,11,141,2,2025,2025-07-09,23.545454545454533,23.545454545454533
1022500125,160.95454545454547,161.0,1.0,11,150,2,2025,2025-07-09,10.954545454545467,10.954545454545467
1022500126,166.22727272727272,166.5,1.0,11,163,2,2025,2025-07-09,3.2272727272727195,3.2272727272727195
1022500127,163.36363636363637,163.5,1.0,11,173,2,2025,2025-07-10,-9.636363636363626,9.636363636363626
1022500128,157.8181818181818,158.0,0.5,11,138,2,2025,2025-07-10,19.818181818181813,19.818181818181813
1022500129,167.5,167.5,1.5,11,181,2,2025,2025-07-11,-13.5,13.5
1022500130,157.1818181818182,157.0,1.5,11,144,2,2025,2025-07-11,13.181818181818187,13.181818181818187
1022500131,160.95,161.0,1.0,10,168,2,2025,2025-07-12,-7.050000000000011,7.050000000000011
1022500132,154.95,155.0,1.0,10,206,2,2025,2025-07-12,-51.05000000000001,51.05000000000001
1022500133,174.6818181818182,175.0,3.0,11,185,2,2025,2025-07-13,-10.318181818181813,10.318181818181813
1022500134,166.5909090909091,166.5,0.5,11,151,2,2025,2025-07-13,15.590909090909093,15.590909090909093
1022500135,164.54545454545453,164.5,1.5,11,180,2,2025,2025-07-13,-15.454545454545467,15.454545454545467
1022500136,156.54545454545453,156.5,0.5,11,143,2,2025,2025-07-13,13.545454545454533,13.545454545454533
1022500137,160.9090909090909,161.0,1.5,11,169,2,2025,2025-07-14,-8.090909090909093,8.090909090909093
1022500138,158.54545454545453,158.5,1.5,11,155,2,2025,2025-07-14,3.5454545454545325,3.5454545454545325
1022500139,166.1818181818182,166.0,1.0,11,162,2,2025,2025-07-15,4.181818181818187,4.181818181818187
1022500140,165.4090909090909,165.5,0.5,11,179,2,2025,2025-07-15,-13.590909090909093,13.590909090909093
1022500141,158.45454545454547,158.5,1.5,11,135,2,2025,2025-07-16,23.454545454545467,23.454545454545467
1022500142,157.95454545454547,158.0,1.0,11,145,2,2025,2025-07-16,12.954545454545467,12.954545454545467
1022500143,156.13636363636363,156.0,0.5,11,125,2,2025,2025-07-16,31.136363636363626,31.136363636363626
1022500144,163.4090909090909,163.5,1.5,11,175,2,2025,2025-07-16,-11.590909090909093,11.590909090909093
1022500145,170.0,170.0,1.0,11,176,2,2025,2025-07-16,-6.0,6.0
1022500146,167.36363636363637,167.5,0.5,11,179,2,2025,2025-07-22,-11.636363636363626,11.636363636363626
1022500147,163.1818181818182,163.0,1.0,11,182,2,2025,2025-07-22,-18.818181818181813,18.818181818181813
1022500148,159.22727272727272,159.0,0.5,11,159,2,2025,2025-07-22,0.22727272727271952,0.22727272727271952
1022500149,161.1818181818182,161.0,0.5,11,159,2,2025,2025-07-22,2.181818181818187,2.181818181818187
1022500150,164.45454545454547,164.5,1.0,11,150,2,2025,2025-07-22,14.454545454545467,14.454545454545467
1022500151,163.86363636363637,164.0,1.0,11,169,2,2025,2025-07-23,-5.136363636363626,5.136363636363626
1022500152,169.63636363636363,169.5,0.5,11,187,2,2025,2025-07-24,-17.363636363636374,17.363636363636374
1022500153,164.36363636363637,164.5,1.5,11,150,2,2025,2025-07-24,14.363636363636374,14.363636363636374
1022500154,154.5,154.5,1.0,11,152,2,2025,2025-07-24,2.5,2.5
1022500155,170.77272727272728,170.5,1.0,11,165,2,2025,2025-07-25,5.7727272727272805,5.7727272727272805
1022500156,162.63636363636363,162.5,1.5,11,187,2,2025,2025-07-25,-24.363636363636374,24.363636363636374
1022500157,162.72727272727272,162.5,1.0,11,162,2,2025,2025-07-25,0.7272727272727195,0.7272727272727195
1022500159,175.5,175.5,0.0,11,200,2,2025,2025-07-26,-24.5,24.5
1022500160,154.95454545454547,155.0,1.0,11,127,2,2025,2025-07-26,27.954545454545467,27.954545454545467
1022500158,156.6818181818182,156.5,1.0,11,171,2,2025,2025-07-27,-14.318181818181813,14.318181818181813
1022500161,156.95454545454547,157.0,1.0,11,159,2,2025,2025-07-27,-2.0454545454545325,2.0454545454545325
1022500162,167.45454545454547,167.5,1.0,11,186,2,2025,2025-07-27,-18.545454545454533,18.545454545454533
