season_h,month,n,mean_total_true,mean_pred_total,bias_pred_minus_true,mae
2024,2024-05,10.0,159.6,163.23692692658398,3.6369269265839677,15.508926928458688
2024,2024-06,65.0,162.96923076923076,162.32320894386652,-0.6460218253642661,13.166401264177063
2024,2024-07,40.0,164.2,163.58212352229583,-0.6178764777041572,10.294208307311502
2024,2024-08,41.0,164.3658536585366,163.4969605543057,-0.8688931042308791,13.683662140970476
2024,2024-09,61.0,162.85245901639345,163.52112355574337,0.668664539349948,13.579194213844929
2024,2024-10,12.0,160.41666666666666,162.01202357055092,1.5953569038842634,15.045050078903303
2025,2025-05,6.0,164.83333333333334,165.76990770383782,0.9365743705044878,12.103138956625585
2025,2025-06,68.0,162.75,163.0009099180162,0.25090991801620616,13.085063643424379
2025,2025-07,65.0,165.3230769230769,163.79266141241726,-1.5304155106596777,14.079103579444185
2025,2025-08,84.0,163.41666666666666,164.0380384978455,0.6213718311788158,14.228064404792663
2025,2025-09,49.0,160.6530612244898,163.39515940326373,2.7420981787739165,11.89630261148622
2025,2025-10,4.0,176.25,168.0613179762233,-8.188682023776693,8.188682023776693
2026,2026-05,22.0,165.5,169.5088208884077,4.008820888407683,15.439823253713126
2026,2026-06,81.0,175.23456790123456,168.35406521513556,-6.8805026860989855,18.01061792039585
2026,2026-07,65.0,176.13846153846154,170.51116725179287,-5.62729428666868,16.815558846212166
