row_index,game_id,player_id,player_name,season,game_date,feature,stored,recomputed,abs_diff,identical
3823,1022600013,203827,Natasha Howard,2026,2026-05-12,pred_ewma,19.616666666666667,19.616666666666667,0.0,True
13908,1022400065,1629484,Megan Gustafson,2024,2024-06-09,pred_carry_forward,7.983333333333333,7.983333333333333,0.0,True
13908,1022400065,1629484,Megan Gustafson,2024,2024-06-09,pred_expanding_mean,9.770833333333334,9.770833333333332,1.7763568394002505e-15,True
13908,1022400065,1629484,Megan Gustafson,2024,2024-06-09,pred_ewma,8.179661681406328,8.179661681406328,0.0,True
23963,1022600164,1642304,Carla Leite,2026,2026-07-09,pred_carry_forward,22.266666666666666,22.266666666666666,0.0,True
23963,1022600164,1642304,Carla Leite,2026,2026-07-09,pred_expanding_mean,25.462280701754384,25.462280701754384,0.0,True
23963,1022600164,1642304,Carla Leite,2026,2026-07-09,pred_ewma,29.06520666828515,29.06520666828515,0.0,True
16952,1022400233,1630114,Mikiah Herbert Harrigan,2024,2024-09-17,pred_carry_forward,10.966666666666667,10.966666666666667,0.0,True
16952,1022400233,1630114,Mikiah Herbert Harrigan,2024,2024-09-17,pred_expanding_mean,10.403448275862068,10.403448275862067,1.7763568394002505e-15,True
16952,1022400233,1630114,Mikiah Herbert Harrigan,2024,2024-09-17,pred_ewma,8.195008736759496,8.195008736759496,0.0,True
3450,1022500285,203825,Kayla McBride,2025,2025-09-11,pred_carry_forward,23.833333333333332,23.833333333333332,0.0,True
3450,1022500285,203825,Kayla McBride,2025,2025-09-11,pred_expanding_mean,31.3,31.3,0.0,True
3450,1022500285,203825,Kayla McBride,2025,2025-09-11,pred_ewma,28.746545801282092,28.746545801282092,0.0,True
2514,1022500072,203398,Brittney Griner,2025,2025-06-17,pred_carry_forward,18.85,18.85,0.0,True
2514,1022500072,203398,Brittney Griner,2025,2025-06-17,pred_expanding_mean,23.762962962962963,23.76296296296296,3.552713678800501e-15,True
2514,1022500072,203398,Brittney Griner,2025,2025-06-17,pred_ewma,21.497731849443838,21.497731849443838,0.0,True
