season,group,baseline,n,mae
2024,starter (started_last=1),B1 carry-forward (last played game),2321,5.295985925606779
2024,starter (started_last=1),B2 expanding season-to-date mean,2321,4.816753730050607
2024,starter (started_last=1),B3 shifted EWMA (tuned alpha),2321,4.457291222940938
2024,bench (started_last=0),B1 carry-forward (last played game),2035,5.59019656019656
2024,bench (started_last=0),B2 expanding season-to-date mean,2035,5.547802612442908
2024,bench (started_last=0),B3 shifted EWMA (tuned alpha),2035,4.956023800458923
2025,starter (started_last=1),B1 carry-forward (last played game),2778,5.482151427885769
2025,starter (started_last=1),B2 expanding season-to-date mean,2778,4.763449396016577
2025,starter (started_last=1),B3 shifted EWMA (tuned alpha),2778,4.52405211463985
2025,bench (started_last=0),B1 carry-forward (last played game),2447,5.660243835989648
2025,bench (started_last=0),B2 expanding season-to-date mean,2447,5.556266478398223
2025,bench (started_last=0),B3 shifted EWMA (tuned alpha),2447,5.065914126664372
2026,starter (started_last=1),B1 carry-forward (last played game),2001,4.944119606863236
2026,starter (started_last=1),B2 expanding season-to-date mean,2001,4.259116544807286
2026,starter (started_last=1),B3 shifted EWMA (tuned alpha),2001,4.086860713845181
2026,bench (started_last=0),B1 carry-forward (last played game),1919,5.287528226506861
2026,bench (started_last=0),B2 expanding season-to-date mean,1919,5.022635132529397
2026,bench (started_last=0),B3 shifted EWMA (tuned alpha),1919,4.7469494515295745
pooled,starter (started_last=1),B1 carry-forward (last played game),7100,5.269659624413145
pooled,starter (started_last=1),B2 expanding season-to-date mean,7100,4.638738033202942
pooled,starter (started_last=1),B3 shifted EWMA (tuned alpha),7100,4.379013801594314
pooled,bench (started_last=0),B1 carry-forward (last played game),6401,5.526235484038953
pooled,bench (started_last=0),B2 expanding season-to-date mean,6401,5.393594627134148
pooled,bench (started_last=0),B3 shifted EWMA (tuned alpha),6401,4.935353272827195
