alpha,fold1_val_mae,fold2_val_mae,fold3_val_mae,mean_val_mae
0.05,5.051526583901721,4.942027299388924,4.906221894234188,4.966591925841612
0.075,5.0128645507205025,4.896578206005422,4.846232202205852,4.9185583196439255
0.1,4.979436099443012,4.858822780890918,4.796698785550162,4.878319221961363
0.125,4.950690391763937,4.827459158557118,4.7558818431654934,4.844677131162182
0.15,4.927643912216471,4.800997021738641,4.723050342249323,4.817230425401479
0.175,4.909619518622812,4.7801372057256355,4.6998621635810265,4.796539629309826
0.2,4.896992504595103,4.7648498703519095,4.680590466248866,4.780810947065293
0.225,4.8876563150937455,4.753103618533497,4.665965144545371,4.768908359390871
0.25,4.883324774011094,4.744680072428011,4.6556809570907935,4.761228601176633
0.275,4.882975119056034,4.738428267053602,4.649330805771291,4.756911397293643
0.3,4.885197966182955,4.734740426852042,4.647482205501356,4.755806866178784
0.325,4.889583011689227,4.733312780888925,4.649202992038391,4.757366261538848
0.35,4.896420941795747,4.734768646956632,4.653679108436998,4.761622899063126
0.375,4.905547842264704,4.739303991320561,4.660969353511033,4.768607062365432
0.4,4.916193237620104,4.745922271217155,4.67020341707305,4.777439641970102
0.425,4.929046110715047,4.754966281424259,4.6804007939297385,4.788137728689681
0.45,4.9439167153430255,4.766128047840774,4.69230412819124,4.800782963791679
0.475,4.960019765957652,4.779084821985542,4.706069973466195,4.815058187136462
0.5,4.978044742775037,4.794013069496912,4.721242976521899,4.831100262931283
