player_id,season,player_name,orb_opp,orb_sec,drb_opp,drb_sec,reb_opp,reb_sec,orb_rate,drb_rate,reb_rate,minutes,oreb,dreb,reb,games,reb_per36,reb_per_min
201911.0,2022,Kristi Toliver,194,0,180,8,374,8,0.0,0.044444444444444446,0.0213903743315508,218.1,0,8,8,14,1.3204951856946354,0.036680421824850984
202633.0,2022,Liz Cambage,460,18,500,86,960,104,0.0391304347826087,0.172,0.10833333333333334,584.3666666666667,33,127,160,26,9.856825052763675,0.2738006959101021
203014.0,2022,Nneka Ogwumike,883,25,854,137,1737,162,0.028312570781426953,0.16042154566744732,0.09326424870466321,1067.55,48,177,225,34,7.587466629197696,0.2107629619221582
1628882.0,2022,Lexie Brown,700,7,667,64,1367,71,0.01,0.095952023988006,0.05193855157278712,850.05,8,70,78,34,3.303335097935416,0.09175930827598378
1629478.0,2022,Katie Lou Samuelson,785,11,743,70,1528,81,0.014012738853503185,0.09421265141318977,0.05301047120418848,942.6,17,78,95,32,3.6282622533418207,0.10078506259282835
203827.0,2022,Natasha Howard,858,30,932,141,1790,171,0.03496503496503497,0.15128755364806867,0.09553072625698324,1130.7666666666667,72,204,276,38,8.786958700586622,0.24408218612740618
203828.0,2022,Stefanie Dolson,667,22,757,93,1424,115,0.03298350824587706,0.12285336856010567,0.08075842696629214,905.8,46,137,183,39,7.273128725988077,0.2020313534996688
1629477.0,2022,Sabrina Ionescu,962,23,1037,146,1999,169,0.02390852390852391,0.1407907425265188,0.08454227113556778,1256.1166666666666,37,235,272,39,7.795454243899851,0.21654039566388475
1629546.0,2022,Marine Johannès,511,5,537,35,1048,40,0.009784735812133072,0.06517690875232775,0.03816793893129771,680.55,5,42,47,27,2.4862243773418564,0.06906178825949601
1630101.0,2022,Crystal Dangerfield,600,12,626,41,1226,53,0.02,0.06549520766773163,0.0432300163132137,737.2,14,53,67,36,3.2718393922951705,0.09088442756375474
203823.0,2022,Chiney Ogwumike,403,20,367,61,770,81,0.04962779156327544,0.16621253405994552,0.10519480519480519,478.31666666666666,52,90,142,29,10.687480400013937,0.2968744555559427
1628886.0,2022,Jordin Canada,728,5,659,62,1387,67,0.006868131868131868,0.09408194233687406,0.04830569574621485,865.0833333333333,7,66,73,35,3.0378576245063096,0.08438493401406416
1630444.0,2022,Jasmine Walker,249,10,218,30,467,40,0.040160642570281124,0.13761467889908258,0.08565310492505353,280.8833333333333,12,36,48,36,6.152020411796119,0.17088945588322554
1631135.0,2022,Olivia Nelson-Ododa,395,21,334,37,729,58,0.053164556962025315,0.11077844311377245,0.07956104252400549,435.78333333333336,34,55,89,35,7.3522775079359,0.20422993077599724
204296.0,2022,Rebecca Allen,442,6,492,69,934,75,0.013574660633484163,0.1402439024390244,0.08029978586723768,572.6833333333333,9,84,93,34,5.846162800849801,0.1623934111347167
1629566.0,2022,Xu Han,479,20,488,58,967,78,0.04175365344467641,0.11885245901639344,0.08066184074457083,568.0833333333334,40,83,123,39,7.7946310693853595,0.21651752970514887
1630446.0,2022,Michaela Onyenwere,387,10,412,47,799,57,0.025839793281653745,0.11407766990291263,0.07133917396745933,488.6666666666667,14,60,74,38,5.451568894952251,0.15143246930422918
1630459.0,2022,DiDi Richards,132,5,141,15,273,20,0.03787878787878788,0.10638297872340426,0.07326007326007326,172.16666666666666,5,22,27,38,5.645692158760891,0.15682478218780252
201886.0,2022,DeWanna Bonner,801,17,834,102,1635,119,0.02122347066167291,0.1223021582733813,0.072782874617737,1369.0166666666667,39,186,225,47,5.916655506994071,0.16435154186094642
203826.0,2022,Alyssa Thomas,926,29,985,171,1911,200,0.03131749460043196,0.1736040609137056,0.10465724751439037,1555.6833333333334,102,306,408,48,9.441510161665292,0.2622641711573692
1627673.0,2022,Jonquel Jones,715,31,770,146,1485,177,0.043356643356643354,0.18961038961038962,0.1191919191919192,1194.5666666666666,119,265,384,48,11.572397243072803,0.32145547897424454
1627675.0,2022,Courtney Williams,768,18,829,94,1597,112,0.0234375,0.11338962605548854,0.07013149655604257,1275.4666666666667,41,162,203,47,5.729667572653147,0.15915743257369852
1629567.0,2022,Natisha Hiedeman,719,5,751,52,1470,57,0.006954102920723227,0.0692410119840213,0.03877551020408163,1215.2333333333333,12,76,88,48,2.6069067668760457,0.07241407685766793
201496.0,2022,Candace Parker,739,19,809,166,1548,185,0.02571041948579161,0.20519159456118666,0.11950904392764858,1138.9166666666667,40,321,361,44,11.410843637960049,0.3169678788322236
201516.0,2022,Allie Quigley,721,14,817,58,1538,72,0.019417475728155338,0.07099143206854346,0.04681404421326398,1127.15,19,92,111,44,3.54522468171938,0.0984784633810939
202664.0,2022,Courtney Vandersloot,680,16,795,70,1475,86,0.023529411764705882,0.0880503144654088,0.05830508474576271,1075.05,24,131,155,43,5.1904562578484725,0.1441793404957909
