rho_target,c_star,varshare,realised,oracle,rawsd_form,vif
0.0,1.0000000000000002,0.0703541838176476,0.07035418381764762,0.07035418381764762,0.07049991616817632,1.002071409866774
0.00099,0.9999999999999993,0.1096261540743987,0.10962615407439856,0.10962615407439856,0.11194753608543591,1.021175439662526
0.00198,1.0,0.03054895065914124,0.03054895065914124,0.03054895065914124,0.030857140598489066,1.010088396907198
0.00297,1.0,0.05572439344455496,0.05572439344455496,0.055724393444554966,0.055794499633710186,1.0012580879722806
0.00396,1.0000000000000004,0.07496353480172692,0.07496353480172697,0.07496353480172697,0.07697674579483117,1.0268558706366908
0.00495,0.9999999999999998,0.03959572603111073,0.039595726031110716,0.03959572603111071,0.03994037001620875,1.0087040703541394
0.00594,1.0000000000000002,0.1695738474832616,0.1695738474832617,0.1695738474832617,0.1713872849316058,1.0106940868256422
0.00693,1.0000000000000002,0.033614541436387695,0.033614541436387715,0.033614541436387715,0.03379693637228028,1.0054260724108866
0.00792,1.0,0.07418347210500081,0.07418347210500081,0.07418347210500081,0.0745972761424858,1.0055781163343134
0.00891,1.0000000000000002,0.08824807022252733,0.08824807022252736,0.08824807022252737,0.09002719833768554,1.0201605328102012
0.0099,0.9999999999999998,0.10517943473626179,0.10517943473626175,0.10517943473626175,0.10811780349824614,1.0279367232705932
0.010889999999999999,0.9999999999999997,0.059328403212406,0.05932840321240596,0.059328403212405956,0.059665820600789246,1.0056872824838254
0.01188,1.0000000000000002,0.033914262114441,0.03391426211444101,0.03391426211444101,0.034455323795705206,1.015953809622584
0.01287,0.9999999999999999,0.1368565394517891,0.13685653945178908,0.13685653945178908,0.1383798341373424,1.0111305947940463
0.01386,0.9999999999999996,0.06252312798793587,0.06252312798793581,0.0625231279879358,0.06256246624733569,1.000629179323968
0.014849999999999999,1.0000000000000002,0.026278617280559576,0.026278617280559583,0.026278617280559587,0.026864133994270883,1.0222811081519294
0.01584,1.0000000000000002,0.10491244185411491,0.10491244185411498,0.10491244185411497,0.10880898440068329,1.037140900332743
0.01683,1.0,0.09506935684802258,0.09506935684802258,0.09506935684802258,0.0953647524339063,1.0031071587699487
0.01782,0.9999999999999999,0.12349585655941936,0.12349585655941932,0.12349585655941933,0.12878727602925963,1.0428469393003021
0.01881,1.0,0.06291921843029491,0.06291921843029491,0.0629192184302949,0.06455399761266505,1.0259821915013332
0.0198,1.0000000000000002,0.022849188101038302,0.02284918810103831,0.02284918810103831,0.023413247550884805,1.0246861922337132
0.02079,1.0000000000000002,0.05419131743563235,0.054191317435632366,0.054191317435632366,0.05481848882692791,1.011573281864581
0.021779999999999997,1.0000000000000002,0.06541247767210584,0.06541247767210587,0.06541247767210588,0.06602318714306342,1.0093362840346591
0.02277,1.0000000000000004,0.055414569021197645,0.055414569021197686,0.05541456902119768,0.05692335009634201,1.0272271552733219
0.02376,0.9999999999999998,0.03575209465870295,0.03575209465870294,0.03575209465870294,0.0358585586211172,1.0029778384575945
0.02475,1.0000000000000009,0.06348329584167954,0.06348329584167965,0.06348329584167964,0.06514866948160968,1.0262332573923603
0.02574,1.0000000000000004,0.03939283766805029,0.03939283766805032,0.03939283766805032,0.040655254294798604,1.0320468567760024
0.02673,0.9999999999999997,0.02527327779576656,0.025273277795766543,0.025273277795766543,0.025634028192727126,1.014273985348311
0.02772,1.0000000000000004,0.05534997199101523,0.05534997199101527,0.055349971991015275,0.055491066812992436,1.0025491398983926
0.028710000000000003,0.9999999999999997,0.04980447689008206,0.04980447689008202,0.04980447689008202,0.05062468957403168,1.016468653726849
0.029699999999999997,1.0,0.01740343727099982,0.01740343727099982,0.01740343727099982,0.017658826372919326,1.0146746357022858
0.03069,0.9999999999999997,0.05528388717137166,0.05528388717137162,0.05528388717137162,0.055493557378187154,1.0037926097013683
0.03168,1.0,0.026326262512765493,0.026326262512765493,0.026326262512765493,0.02698987933413821,1.0252074072820223
0.032670000000000005,1.0000000000000002,0.025524068896764854,0.02552406889676487,0.025524068896764868,0.025679755730957324,1.0060996087583904
0.03366,0.9999999999999993,0.03351290964086701,0.03351290964086697,0.03351290964086697,0.03382050478829688,1.009178407686057
0.03465,0.9999999999999994,0.07295153528800884,0.07295153528800875,0.07295153528800875,0.07373608909538222,1.0107544523124292
0.03564,1.0000000000000004,0.031684597939061546,0.031684597939061566,0.03168459793906157,0.03178091911352358,1.0030399998967097
0.036629999999999996,0.9999999999999999,0.05812458105227051,0.058124581052270495,0.058124581052270495,0.06069866017128737,1.0442855513522245
0.03762,0.9999999999999999,0.027035461557700344,0.027035461557700338,0.027035461557700338,0.02727428533980163,1.0088337231303255
0.03861,0.9999999999999994,0.07475717517608621,0.07475717517608613,0.07475717517608613,0.07506139485753903,1.0040694378932356
0.0396,0.9999999999999998,0.058727727821225026,0.058727727821225,0.058727727821225,0.059044503274359214,1.0053939674645425
0.04059,0.9999999999999998,0.09650694364358063,0.09650694364358059,0.09650694364358059,0.09756236886787889,1.010936262039301
0.04158,0.9999999999999999,0.0638113658325422,0.06381136583254218,0.0638113658325422,0.06553582243848137,1.0270242860882277
0.04257,0.9999999999999993,0.06675144530586538,0.06675144530586528,0.0667514453058653,0.0676943250708008,1.014125233702656
0.043559999999999995,0.9999999999999996,0.06730217721258579,0.06730217721258573,0.06730217721258572,0.06730409453323528,1.000028488241078
0.04455,1.0,0.08596300681334612,0.08596300681334612,0.08596300681334612,0.08805899600065284,1.024382455488764
0.04554,0.9999999999999999,0.09186026135548085,0.09186026135548082,0.09186026135548084,0.0966866026738558,1.0525400346913665
0.04653,0.9999999999999998,0.04852482857552516,0.04852482857552514,0.04852482857552515,0.04873593313100902,1.0043504441268718
0.04752,1.0,0.08764640020004535,0.08764640020004535,0.08764640020004535,0.08811427014031835,1.0053381535260446
0.048510000000000005,1.0,0.046667537262431426,0.046667537262431426,0.046667537262431426,0.050050735261719013,1.0724957475313606
0.0495,1.0000000000000002,0.027684611229770482,0.027684611229770496,0.0276846112297705,0.028161494672139277,1.0172255784417872
0.05048999999999999,0.9999999999999999,0.10827319253230935,0.10827319253230933,0.10827319253230933,0.10896923941209918,1.0064286169411891
0.05148,1.0000000000000002,0.0755968644110754,0.07559686441107542,0.07559686441107542,0.08256398090989289,1.09216144813801
