stratum,target,base,candidate,level,n,nblocks,matched_null,real_linear_dr2,real_nonlinear_dr2,nl_null_mean,nl_null_sd,nl_null_p95,nl_null_max,nl_p_matched,nl_z,nl_null_centre_ratio,lin_null_mean,lin_null_sd,lin_p_matched,lin_z,lin_null_centre_ratio,nl_p_blind,lin_p_blind,blind_null_mean_nl,FLOOR_6DF_p95,real_nl_over_FLOOR_6DF,real_nl_over_FLOOR_1CELL,POWER_ASSESSED
DECISION,y_dreb,B_SINGLE,R02_opp_allowed_ra_share,opp_team_season,5111,12,N_ESWAP,0.000796341504071062,0.001575344053676785,0.0008880963720833054,0.0005160514882027543,0.0018889857731374656,0.0028750196599218064,0.10316139767054909,1.331742466215819,0.5637475635944584,0.0001824450011254874,0.0002544610280318752,0.03993344425956739,2.412536441017107,0.22910397133992252,0.3577371048252912,0.43261231281198004,0.0014398526485178472,0.0018889857731374656,0.8339629001335754,1.5444549545850832,True
DECISION,y_oreb,B_SINGLE,R07_own_miss_pg,team_season,5111,12,N_TSWAP,0.0007447365990072196,0.0010936080110086138,0.0010925624700395735,0.0005805233572831593,0.0021626344128160262,0.0038943369506511775,0.4509151414309484,0.0018010316999704861,0.9990439527156756,0.00023852802090596593,0.00032447095569539634,0.06988352745424292,1.560104438366025,0.32028507961598596,0.3178036605657238,0.009983361064891847,0.0009030269452301679,0.0021626344128160262,0.5056832558141884,1.0721647166751114,True
DECISION,y_dreb,B_COMPLETE,R02_opp_allowed_ra_share,opp_team_season,5111,12,N_ESWAP,0.000730217426592891,0.0015452202975252919,0.000896510247073804,0.000507774945869181,0.001857964524648287,0.0029607851695364297,0.12479201331114809,1.2775542703097769,0.5801828053317621,0.00018596558775406025,0.0002450440096822745,0.04159733777038269,2.2210371089850796,0.25467152793347303,0.28452579034941766,0.4059900166389351,0.0013364230199699486,0.001857964524648287,0.8316737359760958,1.5149218603189134,True
DECISION,y_reb,B_SINGLE,R02_opp_allowed_ra_share,opp_team_season,5111,12,N_ESWAP,0.0006197097693004175,0.0011798745483553401,0.0008592811951483899,0.0004655835012229999,0.0017320515744974614,0.0026383865001696847,0.23460898502495842,0.688584007733977,0.7282818299167194,0.00019492769395092877,0.0002572869303813189,0.08319467554076539,1.6510052598471647,0.31454675011978617,0.5557404326123128,0.5108153078202995,0.0012874746307551617,0.0017320515744974614,0.6812005864765717,1.1567397532895491,True
DECISION,y_reb,B_SINGLE,R07_own_miss_pg,team_season,5111,12,N_TSWAP,0.0005769754195669995,0.001080855173027432,0.0009364218263423045,0.0005379771856937721,0.0019042707277438084,0.003556342869777995,0.30615640599001664,0.2684748545588733,0.8663712305871882,0.00018629032072582004,0.00026511687390278095,0.08319467554076539,1.4736334699859381,0.3228739291279074,0.17637271214642264,0.03993344425956739,0.000720525599155823,0.0019042707277438084,0.5675953304749035,1.0596619343406195,True
DECISION,y_reb,B_COMPLETE,R02_opp_allowed_ra_share,opp_team_season,5111,12,N_ESWAP,0.0005629771484433509,0.0011926051273637593,0.0008713852556609438,0.00044072337908089424,0.001653588872429114,0.002623988198998773,0.22628951747088186,0.7288469070388389,0.7306569757813565,0.000173744530492318,0.00022990051188520786,0.06821963394342762,1.6930480700511945,0.3086173763406329,0.4875207986688852,0.46589018302828616,0.0012053627941331709,0.001653588872429114,0.7212222743201144,1.1692207131017247,True
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,opp_team_season,5111,12,N_ESWAP,0.000526808340227519,0.0013114521004329402,0.0009228705957838048,0.0005089690509954321,0.0018795257299721187,0.0035615776487033157,0.2096505823627288,0.7634678452238992,0.7037013364644764,0.00018336403808100513,0.0002324156235673508,0.08652246256239601,1.4777160712132098,0.3480659360894201,0.30948419301164726,0.46921797004991683,0.001146199727754142,0.0018795257299721187,0.6977569285270676,1.2857373533656276,True
DECISION,y_reb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,opp_team_season,5111,12,N_ESWAP,0.0005259559594557829,0.00115583044533055,0.0008999768146175102,0.0004766231077002249,0.0018386279030396734,0.002835386004387381,0.27287853577371046,0.5368049231762397,0.7786408622937168,0.00019154319596802934,0.0002528736712338375,0.10815307820299501,1.322449908905365,0.36418105456248256,0.4193011647254576,0.45757071547420963,0.0011220521840749175,0.0018386279030396734,0.6286374983321515,1.133167103265245,True
DECISION,y_oreb,B_COMPLETE,R10_opp_allowed_oreb_pg,opp_team_season,5111,12,N_ESWAP,0.0005009781027001911,0.0011656766788506923,0.0009536878168585461,0.0005323347690534606,0.0019586667302832015,0.003133461147419659,0.2778702163061564,0.39822471556588634,0.8181409426487298,0.00023939964690671055,0.0003109209881815465,0.13976705490848584,0.8413020212091478,0.4778644927121267,0.6738768718801996,0.56738768718802,0.0015230025189824769,0.0019586667302832015,0.5951378357675725,1.1428202733830315,True
DECISION,y_oreb,B_SINGLE,R10_opp_allowed_oreb_pg,opp_team_season,5111,12,N_ESWAP,0.00042278689915931767,0.0010638176161612244,0.0009979825674219856,0.0005606596424246432,0.002097783971746046,0.0032275880320603418,0.3843594009983361,0.11742426912436,0.9381143461632043,0.00028193003514773125,0.00038251649727564775,0.21797004991680533,0.36823735712000577,0.6668372073693142,0.7054908485856906,0.610648918469218,0.0014848441088358678,0.002097783971746046,0.5071149510575097,1.0429584472168865,True
