stratum,target,base,candidate,level,n_recorded,n_arm1,ceiling_recorded,dr2_recorded,arm1_dr2,arm1_varshare,arm1_oracle,arm1_c_star,arm1_rawsd_ceiling,arm1_abs_diff_vs_recorded_dr2,arm1_abs_diff_vs_recorded_ceiling,arm1F_dr2_frozen_intercept,arm1F_varshare,arm1F_oracle,arm1F_c_star,n_arm2,arm2_dr2,arm2_varshare,arm2_oracle,arm2_c_star,arm2_rawsd_ceiling,arm3_nonlinear_dr2,arm3_k_cols,arm3_over_linear,arm3_over_rawsd_ceiling,n_arm4,arm4_varshare,arm4_oracle,arm4_realised,arm4_c_star,arm4_bound_fails,max_over_arms,crosses_FLOOR_1CELL,crosses_FLOOR_132
DECISION,y_dreb,B_SINGLE,R02_opp_allowed_ra_share,opp_team_season,5111,5111,0.0007964328902873,0.000796341504071,0.0007963415040710629,0.000796341504071062,0.0007963415040710628,1.0000000000000007,0.000796432890287364,6.288372600415926e-17,6.407634839389331e-17,8.211836955107144e-05,8.211836955107151e-05,8.211836955107144e-05,0.9999999999999996,3552,0.0006623409523548039,0.0006623409523548042,0.0006623409523548039,0.9999999999999998,0.000662391394265824,0.0015753440536767848,6,1.9782267351673866,1.9779997447222186,3552,0.0005972399598020488,0.0006488357945834394,0.00064776713074024,1.0423005611973268,True,0.0015753440536767848,True,False
DECISION,y_oreb,B_SINGLE,R07_own_miss_pg,team_season,5111,5111,0.0007713385869915,0.0007447365990072,0.0007447365990072196,0.0007447365990072191,0.0007447365990072196,1.0000000000000002,0.0007713385869915156,1.951563910473908e-17,1.5612511283791264e-17,4.957782549541273e-06,4.957782549541177e-06,4.957782549541273e-06,1.0000000000000098,3552,0.001421773162644286,0.0014217731626442848,0.001421773162644286,1.0000000000000004,0.0015062334407665474,0.001093608011008613,6,1.4684493987088332,1.417805396296921,3552,0.0002963643682053675,0.0005238133476141257,0.000491644798805268,1.3294600356014792,True,0.001421773162644286,True,False
DECISION,y_dreb,B_COMPLETE,R02_opp_allowed_ra_share,opp_team_season,5111,5111,0.0007325249146779,0.0007302174265928,0.0007302174265928916,0.0007302174265928909,0.0007302174265928917,1.0000000000000004,0.0007325249146779727,9.161508357502512e-17,7.274996577377735e-17,0.0007214330256885622,0.0007214330256885626,0.0007214330256885621,0.9999999999999998,3552,0.0005915409955135331,0.0005915409955135328,0.000591540995513533,1.0000000000000002,0.0005933386618725232,0.0015452202975252886,6,2.1161098615998584,2.1094440155726133,3552,0.0005552203028011562,0.0005616114137528169,0.0005615931269182835,1.005739004936397,True,0.0015452202975252886,True,False
DECISION,y_reb,B_SINGLE,R02_opp_allowed_ra_share,opp_team_season,5111,5111,0.0006198775959863,0.0006197097693004,0.0006197097693004167,0.0006197097693004176,0.0006197097693004167,0.9999999999999992,0.0006198775959863167,1.6696713456276768e-17,1.6696713456276768e-17,5.9729361047803454e-05,5.97293610478033e-05,5.9729361047803454e-05,1.0000000000000013,3552,0.0007188323794775369,0.0007188323794775369,0.0007188323794775369,1.0,0.0007190516396898572,0.00117987454835534,6,1.9039147142819561,1.9033992452622608,3552,0.0002762277555542054,0.0007776509715273851,0.0006507216119293845,1.6778715187831488,True,0.00117987454835534,True,False
DECISION,y_reb,B_SINGLE,R07_own_miss_pg,team_season,5111,5111,0.0005790590754212,0.0005769754195669,0.0005769754195669992,0.0005769754195669998,0.0005769754195669991,0.9999999999999994,0.0005790590754212756,9.920449878242366e-17,7.556889142223966e-17,7.170811853763464e-06,7.170811853763434e-06,7.170811853763464e-06,1.0000000000000022,3552,0.0006653848997187909,0.0006653848997187902,0.000665384899718791,1.0000000000000004,0.0006710361389447639,0.0010808551730274304,6,1.8733123394382662,1.8665715104129736,3552,0.0007549557210403278,0.0002857517176772805,0.00017397892479341113,0.6152245886379061,False,0.0010808551730274304,True,False
DECISION,y_reb,B_COMPLETE,R02_opp_allowed_ra_share,opp_team_season,5111,5111,0.0005653392541058,0.0005629771484433,0.0005629771484433521,0.0005629771484433509,0.0005629771484433521,1.000000000000001,0.0005653392541058002,5.2150124496552763e-17,2.168404344971009e-19,0.0005571659489634039,0.0005571659489634028,0.0005571659489634039,1.000000000000001,3552,0.0005758683944523352,0.0005758683944523359,0.0005758683944523352,0.9999999999999993,0.0005777885883333777,0.0011926051273637576,6,2.118389939380923,2.109538863085152,3552,0.00029598708289361374,0.0006701634445744149,0.0005947647860834141,1.5047140913530839,True,0.0011926051273637576,True,False
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,opp_team_season,5111,5111,0.0005689467470769,0.0005268083402275,0.0005268083402275187,0.0005268083402275193,0.0005268083402275188,0.9999999999999994,0.0005689467470769429,1.8756697583999227e-17,4.2934406030425976e-17,0.0005253098667653917,0.0005253098667653906,0.0005253098667653917,1.000000000000001,3552,0.00039672909304266414,0.00039672909304266414,0.0003967290930426642,1.0,0.00041230649122108565,0.0013114521004329387,6,2.489429267324331,2.3050524625911626,3552,0.0007773197038655949,5.4664888830869e-05,-0.0003650474870095145,0.2651883226463057,False,0.0013114521004329387,True,False
DECISION,y_reb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,opp_team_season,5111,5111,0.0005687101532337,0.0005259559594557,0.0005259559594557826,0.0005259559594557832,0.0005259559594557826,0.9999999999999993,0.0005687101532337467,8.250778532614689e-17,4.672911363412524e-17,0.0005248794922261863,0.0005248794922261863,0.0005248794922261863,1.0,3552,0.00047511929457152606,0.0004751192945715262,0.00047511929457152606,0.9999999999999998,0.000493986565089349,0.0011558304453305496,6,2.197580281296767,2.032371742896402,3552,0.0006086698953667297,1.1011082021950436e-05,-0.00044493701360897095,0.134500558516294,False,0.0011558304453305496,True,False
POOLED,y_oreb,B_SINGLE,R07_own_miss_pg,team_season,13977,13977,0.000535373277099,0.0005257836312473,0.0005257836312473089,0.0005257836312473091,0.0005257836312473089,0.9999999999999999,0.0005353732770990115,8.890457814381136e-18,1.1492543028346347e-17,4.783140361131393e-06,4.783140361131426e-06,4.783140361131393e-06,0.9999999999999966,9571,0.0008344739482000791,0.0008344739482000781,0.0008344739482000792,1.0000000000000007,0.0008555311990426955,0.0005984869508909213,6,1.1382761183933006,1.117887232126899,9571,0.00023838118059167095,0.000696915990643182,0.00057680384533247,1.7098351134532128,True,0.0008344739482000791,False,False
DECISION,y_oreb,B_COMPLETE,R10_opp_allowed_oreb_pg,opp_team_season,5111,5111,0.0005050810575546,0.0005009781027001,0.0005009781027001908,0.0005009781027001911,0.0005009781027001908,0.9999999999999997,0.0005050810575546735,9.085614205428527e-17,7.35089072945172e-17,0.0004771800240157052,0.0004771800240157048,0.00047718002401570523,1.0000000000000004,3552,0.0002648402443380803,0.0002648402443380805,0.0002648402443380802,0.9999999999999996,0.0002662165664647971,0.0011656766788506923,6,2.326801655736815,2.3079002101054074,3552,0.0009262682320826196,0.00034062965380807117,-0.0020496816506026527,-0.6064190585453594,False,0.0011656766788506923,True,False
