stratum,target,base,candidate,component,var_share,target_delta,n_rep,n_bank,mean_realised_dr2,sd_realised_dr2,realisation_ratio,power,median_p,null_mean,null_centre_ratio,rejects
DECISION,y_dreb,B_SINGLE,R02_opp_allowed_ra_share,BETWEEN,0.7014589290215991,0.0,200,199,0.00013014673410352266,0.00015453255185238365,,0.02,0.4425,0.0001277527241875244,0.9816053016428825,False
DECISION,y_dreb,B_SINGLE,R02_opp_allowed_ra_share,BETWEEN,0.7014589290215991,0.002,200,199,0.0015071829354523362,0.0008032404696967574,0.753591467726168,0.82,0.01,0.00019173631173686055,0.12721502295891945,True
DECISION,y_dreb,B_SINGLE,R02_opp_allowed_ra_share,BETWEEN,0.7014589290215991,0.006,200,199,0.004359291188549914,0.001553878218432075,0.7265485314249857,0.995,0.005,0.00032942536499219825,0.07556856166375506,True
DECISION,y_dreb,B_SINGLE,R02_opp_allowed_ra_share,WITHIN,0.298541070978401,0.0,200,199,0.0001380588057777375,0.00021570071966388305,,0.05,0.49,0.0001271331861900243,0.9208625663088637,False
DECISION,y_dreb,B_SINGLE,R02_opp_allowed_ra_share,WITHIN,0.298541070978401,0.002,200,199,0.0007730445415116004,0.0006712712987457364,0.3865222707558002,0.475,0.057499999999999996,0.00016898511940360408,0.21859687292167274,False
DECISION,y_dreb,B_SINGLE,R02_opp_allowed_ra_share,WITHIN,0.298541070978401,0.006,200,199,0.0019454246693228578,0.0009373068335425009,0.32423744488714296,0.84,0.01,0.0002500555713614231,0.12853521151680455,True
DECISION,y_dreb,B_COMPLETE,R02_opp_allowed_ra_share,BETWEEN,0.7014589290215991,0.0,200,199,0.00013035016440403113,0.00018547490719853318,,0.075,0.4925,0.0001252058790382489,0.9605348762749767,False
DECISION,y_dreb,B_COMPLETE,R02_opp_allowed_ra_share,BETWEEN,0.7014589290215991,0.002,200,199,0.001532546234282466,0.0009087108361718637,0.7662731171412329,0.89,0.01,0.0001788118311596123,0.11667630454446389,True
DECISION,y_dreb,B_COMPLETE,R02_opp_allowed_ra_share,BETWEEN,0.7014589290215991,0.006,200,199,0.004349703220821963,0.0014000593730465272,0.7249505368036605,1.0,0.005,0.0002862111587887024,0.06580015790930607,True
DECISION,y_dreb,B_COMPLETE,R02_opp_allowed_ra_share,WITHIN,0.298541070978401,0.0,200,199,0.00011498567362780334,0.00018137947292185395,,0.045,0.56,0.00012563577055018242,1.0926210769252205,False
DECISION,y_dreb,B_COMPLETE,R02_opp_allowed_ra_share,WITHIN,0.298541070978401,0.002,200,199,0.0007080389569517494,0.0005951164341731094,0.3540194784758747,0.425,0.0625,0.00016366803237211582,0.23115681808913413,False
DECISION,y_dreb,B_COMPLETE,R02_opp_allowed_ra_share,WITHIN,0.298541070978401,0.006,200,199,0.0018711164985232432,0.0009068872560272208,0.3118527497538739,0.86,0.01,0.0002300710265069603,0.12295922070514645,True
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,BETWEEN,0.7014589290215991,0.0,200,199,0.00012560250124410408,0.00018296298928987162,,0.045,0.505,0.00012480989989842997,0.9936896053993884,False
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,BETWEEN,0.7014589290215991,0.002,200,199,0.0014430786634639968,0.000777676043266166,0.7215393317319984,0.895,0.01,0.0001818134700304835,0.12598999253031332,True
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,BETWEEN,0.7014589290215991,0.006,200,199,0.004139635977375208,0.0013688098635133196,0.6899393295625346,1.0,0.005,0.0002940488291977185,0.07103253300648048,True
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,WITHIN,0.298541070978401,0.0,200,199,0.00012561984837085864,0.0001786260961872473,,0.04,0.5774999999999999,0.00012842397254678783,1.0223223018678607,False
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,WITHIN,0.298541070978401,0.002,200,199,0.000654597812771463,0.0005535065473018009,0.3272989063857315,0.395,0.0775,0.0001715149156354652,0.26201571757366304,False
DECISION,y_dreb,B_COMPLETE_PLUS_R10,R02_opp_allowed_ra_share,WITHIN,0.298541070978401,0.006,200,199,0.0019166544709047345,0.0010371221058136362,0.31944241181745575,0.815,0.01,0.0002589600325279185,0.13511044189706212,True
DECISION,y_pts,B_COMPLETE,G01_noise,BETWEEN,1.0,0.0,200,199,0.00013838971795804696,0.0002083166212358379,,0.055,0.4825,0.00013393978421805602,0.9678449106938715,False
DECISION,y_pts,B_COMPLETE,G01_noise,BETWEEN,1.0,0.002,200,199,0.002069332021166833,0.00099050472189204,1.0346660105834165,0.955,0.005,0.0001344038500813868,0.06495035533524512,True
DECISION,y_pts,B_COMPLETE,G01_noise,BETWEEN,1.0,0.006,200,199,0.0061029738022873505,0.0018600558088939774,1.0171623003812251,1.0,0.005,0.00013526539993991013,0.022163850660675232,True
DECISION,y_pts,B_COMPLETE,G01_noise,WITHIN,0.0,0.0,200,199,0.00013819281270039242,0.00017636190511756351,,0.04,0.4525,0.00013377938778629504,0.9680632818172255,False
DECISION,y_pts,B_COMPLETE,G01_noise,WITHIN,0.0,0.002,200,199,0.0001181447584521619,0.000154497186660785,0.05907237922608095,0.025,0.52,0.00013364870140037449,1.131228360456552,False
DECISION,y_pts,B_COMPLETE,G01_noise,WITHIN,0.0,0.006,200,199,0.0001290072322837739,0.00016537891698149832,0.021501205380628982,0.035,0.4925,0.00013263745478830411,1.028139682095845,False
