repair,team_MAE,d_team_MAE,player_Brier_all,d_tierA_Brier,tierA_verdict,exposure_misalloc_min,coverage_loss,passes_both_levels
X0  none (champion as emitted),18.263037,0.0,0.130248,0.0,-,8.912455000000001,0.0,-
Xa  recalibrate per tier (walk-forward),10.957277,7.305759,0.094677,-0.000148,NOT ESTABLISHED (below floor),4.00528,0.0,YES
Xb  normalise the sum to roster size,9.452877,8.810159,0.107621,-0.014239,ESTABLISHED HARM (5.7x floor),8.912455,0.0,NO
Xc  prune the universe,16.01412,2.248916,0.132237,-0.012558,ESTABLISHED HARM (5.0x floor),5.520223,0.0523,NO
"Xd  leave it, correct level downstream",8.793884,9.469153,0.130248,0.0,unchanged by construction,8.912455,0.0,NO (fixes nothing at the player level; slope negative)
