player_id,name_lookup,n_rows,sum_p_active,n_appeared,mean_p,mean_pts_hat,app_partition,excess
1630101,Crystal Dangerfield,44,21.55143037397914,3,0.4898052357722532,8.012480987795435,141,18.55143037397914
1630115,Joyner Holmes,53,21.409692270107143,3,0.4039564579265499,8.486663727225471,100,18.409692270107143
1628317,Karlie Samuelson,37,20.36769323926031,2,0.550478195655684,9.546726445273901,78,18.36769323926031
1629485,Kristine Anigwe,53,21.19567189580846,3,0.3999183376567634,7.796507427846682,33,18.19567189580846
1627675,Courtney Williams,34,19.83433124713126,2,0.5833626837391547,9.552178297811704,172,17.83433124713126
203824,Odyssey Sims,55,20.580449567850497,3,0.3741899921427363,8.707005901227165,106,17.580449567850497
1629501,Alanna Smith,33,20.15959368204979,3,0.610896778243933,8.773155318607177,123,17.15959368204979
202250,Tina Charles,38,19.411676462686646,3,0.5108335911233328,9.379756631690631,108,16.411676462686646
204332,Cierra Burdick,45,16.39918955399018,0,0.36442643453311513,8.704497557396575,14,16.39918955399018
1628242,Emma Cannon,47,16.77405457239239,1,0.35689477813600834,8.429342046434014,79,15.77405457239239
1630136,Megan Walker,38,16.476788005521527,1,0.4335996843558297,7.77612572652445,46,15.476788005521527
204322,Elizabeth Williams,31,17.12349329387864,2,0.55237075141544,8.804897301216648,115,15.123493293878639
1630097,Kaila Charles,43,16.74455357089881,2,0.38940822257904206,8.337392786263061,39,14.744553570898809
1630119,Jazmine Jones,36,14.179601347531571,0,0.39387781520921034,8.484612687584235,36,14.179601347531571
1627678,Bria Holmes,30,14.148177117814141,0,0.471605903927138,8.704497557396575,19,14.148177117814141
203389,Yvonne Turner,42,16.96990983260887,3,0.4040454722049731,8.235199655489888,32,13.96990983260887
1630100,Lauren Cox,36,13.802860721382679,0,0.38341279781618554,8.706567189702303,27,13.802860721382679
1627687,Jillian Alleyne,30,13.598981027332346,0,0.45329936757774486,8.704497557396575,2,13.598981027332346
204334,Reshanda Gray,36,14.50974674486248,1,0.40304852069062447,8.290611179124756,45,13.50974674486248
204320,Amanda Zahui B,35,14.491752783077752,1,0.4140500795165072,6.947735564428704,64,13.491752783077752
203406,Layshia Clarendon,32,15.405364492138988,2,0.48141764037934337,8.358558060193237,68,13.405364492138988
203827,Natasha Howard,24,15.391695117553533,2,0.6413206298980639,9.53193802539388,123,13.391695117553533
203829,Bria Hartley,36,14.272253794115855,1,0.39645149428099596,8.514317474975037,29,13.272253794115855
1628286,Erica McCall,27,12.850970732452621,0,0.4759618789797267,8.704497557396575,23,12.850970732452621
202633,Liz Cambage,26,13.614249752261887,1,0.523624990471611,9.261157516017686,55,12.614249752261887
204365,Erica Wheeler,28,15.609977523209015,3,0.5574991972574648,7.004438474771997,143,12.609977523209015
1630442,Natasha Mack,31,13.546781618118835,1,0.4369929554231882,7.976081342788391,46,12.546781618118835
200676,Candice Dupree,30,12.537888543463259,0,0.417929618115442,8.704497557396575,26,12.537888543463259
201913,Kia Vaughn,28,13.45167992472747,1,0.48041714016883824,8.533398349130623,68,12.45167992472747
1628263,Lindsay Allen,35,14.392625811674305,2,0.41121788033355156,8.006980473967902,110,12.392625811674305
1630458,Aaliyah Wilson,27,12.352879139407147,0,0.4575140422002647,8.704497557396575,14,12.352879139407147
1630137,Stephanie Watts,27,12.297472163406509,0,0.4554619319780188,8.704497557396575,6,12.297472163406509
1630385,Shyla Heal,27,12.297472163406509,0,0.4554619319780188,8.704497557396575,4,12.297472163406509
201896,Briann January,26,13.199175084873273,1,0.5076605801874335,7.975542947231926,74,12.199175084873273
1630120,Stephanie Jones,25,11.839734233990177,0,0.47358936935960705,8.705303673278825,24,11.839734233990177
1630435,Destiny Slocum,25,11.824162459976723,0,0.4729664983990689,8.705303673278825,27,11.824162459976723
1629568,Kennedy Burke,29,12.568030312309915,1,0.43338035559689364,7.955410672957941,84,11.568030312309915
1630150,Chennedy Carter,27,13.530817233808104,2,0.5011413790299298,8.612556572525843,68,11.530817233808104
202650,Jantel Lavender,26,12.46355289498282,1,0.4793674190378008,8.385154499674359,54,11.46355289498282
203849,Theresa Plaisance,26,12.369926938539226,1,0.47576642071304714,8.449665585170893,66,11.369926938539226
1630131,Kylee Shook,23,11.35898464208465,0,0.4938688974819413,8.705198527728967,30,11.35898464208465
1628273,Kaela Davis,32,12.214084028985093,1,0.38169012590578416,8.706134980282396,13,11.214084028985093
1628890,Diamond DeShields,26,12.169633400096131,1,0.4680628230806204,8.948131770477662,106,11.169633400096131
1629478,Katie Lou Samuelson,27,13.103844619108592,2,0.4853275784855034,8.309070795247225,98,11.103844619108592
201881,Angel McCoughtry,26,11.050966763137778,0,0.42503718319760686,8.705117646536767,3,11.050966763137778
204296,Rebecca Allen,20,12.01884717419683,1,0.6009423587098415,7.735819726372464,118,11.01884717419683
203828,Stefanie Dolson,23,13.997862888213326,3,0.6086027342701447,8.153644174576225,145,10.997862888213326
1629492,Beatrice Mompremier,26,10.898178721857677,0,0.4191607200714491,8.705117646536767,55,10.898178721857677
1630043,Bernadett Hatar,23,10.879741571520233,0,0.4730322422400101,8.711982769552058,13,10.879741571520233
1631091,Evina Westbrook,34,13.848144957891526,3,0.40729838111445665,7.547305496551168,38,10.848144957891526
1631062,Khayla Pointer,23,10.788014997622058,0,0.46904413033139386,8.705198527728967,10,10.788014997622058
1628931,Gabby Williams,24,11.623436732703382,1,0.4843098638626409,8.486353495440783,64,10.623436732703382
1628897,Linnae Harper,20,10.60412559857568,0,0.530206279928784,8.708902318871258,15,10.60412559857568
1628268,Alaina Coates,25,11.431568054708844,1,0.4572627221883538,8.711162860273019,26,10.431568054708844
1630387,Iliana Rupert,19,10.360375531615476,0,0.5452829227166041,8.709346284181045,45,10.360375531615476
1628886,Jordin Canada,23,11.030758059085407,1,0.4795981764819742,8.997094077588171,122,10.030758059085407
1629484,Megan Gustafson,23,11.855534920281471,2,0.5154580400122378,7.890982006342789,122,9.855534920281471
1630452,Rennia Davis,23,10.837412688077496,1,0.4711918560033694,8.70572425547826,8,9.837412688077496
1629574,Li Yueru,23,10.784210023096236,1,0.46887869665635806,7.6525190604805635,54,9.784210023096236
204329,Kiah Stokes,22,11.772351379885539,2,0.5351068809038881,7.956368588997851,161,9.772351379885539
1628882,Lexie Brown,18,12.636317494777147,3,0.7020176385987305,9.588653150907952,86,9.636317494777147
201911,Kristi Toliver,21,10.540887175774943,1,0.5019470083702353,7.860991530964806,41,9.540887175774943
1630441,Arella Guirantes,21,10.535250309427855,1,0.5016785861632312,8.013472695273087,34,9.535250309427855
1630389,Dana Evans,18,12.529691056042186,3,0.6960939475578992,9.543913418284369,155,9.529691056042186
1630461,Kiana Williams,22,10.442511289602209,1,0.47465960407282765,7.944366223491517,27,9.442511289602209
1628915,Kia Nurse,18,11.351357066628418,2,0.6306309481460233,9.384732362300772,118,9.351357066628418
1628278,Shatori Walker-Kimbrough,18,12.345541109834032,3,0.6858633949907795,7.711653596179872,136,9.345541109834032
203026,Tiffany Hayes,22,11.283521054322623,2,0.5128873206510284,9.042499908323801,118,9.283521054322623
1631032,Lorela Cubaj,28,12.225583311262026,3,0.4366279754022152,8.707105058637735,44,9.225583311262026
1627669,Moriah Jefferson,30,13.74559293031781,5,0.4581864310105937,7.992360476553601,123,8.74559293031781
1630445,N'dea Jones,15,8.704175618738612,0,0.5802783745825741,8.704497557396575,0,8.704175618738612
1630440,Chelsea Dungee,15,8.703963844734556,0,0.580264256315637,8.704497557396575,15,8.703963844734556
1630093,Bella Alarie,15,8.703963844734556,0,0.580264256315637,8.704497557396575,32,8.703963844734556
1628917,JiSu Park,15,8.700416016185557,0,0.5800277344123704,8.704497557396575,29,8.700416016185557
1630099,Te'a Cooper,15,8.700317343133372,0,0.5800211562088915,8.704497557396575,31,8.700317343133372
