arm,row_set,n,mean_w,base_rate,brier,logloss,AUC,cal_intercept,cal_slope,uncond_pts_MAE,uncond_pts_bias
X0,RS1P (all),20084,0.7165209084169955,0.6516132244572794,0.13024815294437733,0.4055811157463799,0.9025728794531128,-0.6884429355995217,1.1501624280622034,3.90738194538658,0.5760980714974164
X0,RS1P-A (tier A),16312,0.7608333238890033,0.7788131436978911,0.09320082283304329,0.3135888388964097,0.897850352753048,0.1338982890571531,1.0591416239792333,3.7762860648036862,-0.15569742272719062
X0,RS1P-B (tier B),3772,0.5248920321764363,0.10153764581124072,0.2904591945074953,0.8034013755493258,0.7603308045458083,-3.0546126681208237,1.2301924682339256,4.474305594397229,3.740744970169684
Xa,RS1P (all),20084,0.6626583893567939,0.6516132244572794,0.09467673937054161,0.314125161035731,0.928451619808592,-0.16615953761248897,1.0961565405542046,3.454724000429465,0.09013079613779945
Xa,RS1P-A (tier A),16312,0.7705310288801834,0.7788131436978911,0.09334864312064847,0.3124743265736523,0.8973308487959866,0.08384297290141478,1.0050783864813377,3.783532757046341,-0.09168732548234786
Xa,RS1P-B (tier B),3772,0.19616356011354627,0.10153764581124072,0.10042008667389703,0.3212641885398211,0.7722870105786884,-1.0169770672861236,0.8596101098412439,2.032791752832838,0.8764025882554672
XaO,RS1P (all),20084,0.651613225037937,0.6516132244572794,0.09097372491944275,0.3033323157797525,0.9325670022931921,-1.1562335623105595e-08,1.000000009649305,3.34640297661772,-0.016258220750151455
XaO,RS1P-A (tier A),16312,0.7788131436723351,0.7788131436978911,0.09325519145986146,0.31136105421552374,0.8980603185720788,-1.871038004196955e-10,1.000000000484933,3.7957093163142206,-0.03544583872184274
XaO,RS1P-B (tier B),3772,0.10153764901346637,0.10153764581124072,0.08110753133319942,0.2686120662133948,0.7948850797427093,1.6204965241443465e-07,1.0000001266117284,1.4033793782271267,0.06671856195245408
Xb,RS1P (all),20084,0.6522263499237412,0.6516132244572794,0.10762115709429915,0.38760440084339576,0.9152644630776986,0.05168758067174227,0.9244087263237408,3.5834516670610816,0.016976734315999924
Xb,RS1P-A (tier A),16312,0.7452723957164343,0.7788131436978911,0.10743957476392488,0.39116868831131385,0.8818901797607611,0.494178190341362,0.7100605029310117,3.8288495999090526,-0.29043763679922163
Xb,RS1P-B (tier B),3772,0.24984907023911437,0.10153764581124072,0.10840640920804911,0.37219065291744674,0.742026306889052,-0.8279044645855153,1.3839682289351298,2.5222292172689005,1.3463890412172443
Xc,RS1P (all),20084,0.6594148279362592,0.6516132244572794,0.13223660120830494,0.7753596027882069,0.9001182694208618,0.9368075561219815,0.22112971157856853,3.593955504296671,0.19261859146515536
Xc,RS1P-A (tier A),16312,0.7224429900605106,0.7788131436978911,0.10575905364545095,0.7925266099538185,0.8899552103463058,1.578516216078407,0.21309711240360252,3.653299005561446,-0.3610810022772514
Xc,RS1P-B (tier B),3772,0.3868497747626675,0.10153764581124072,0.2467386573708911,0.7011209440168765,0.7707234355968126,-1.743150905564704,0.21497381103756794,3.3373247533340455,2.5870904295155635
