season,tau,pool_rows,pool_kept,pool_sum_p,pool_appeared_kept,pool_appeared_total
2022,0.0,4993,4993,3994.3999999999996,3799,3799
2023,0.0,11322,11322,8710.957229832911,8287,8287
2024,0.0,18736,18736,13996.632583078375,13161,13161
2022,0.01,4993,4993,3994.3999999999996,3799,3799
2023,0.01,11322,11322,8710.957229832911,8287,8287
2024,0.01,18736,18736,13996.632583078375,13161,13161
2022,0.02,4993,4993,3994.3999999999996,3799,3799
2023,0.02,11322,11322,8710.957229832911,8287,8287
2024,0.02,18736,18736,13996.632583078375,13161,13161
2022,0.03,4993,4993,3994.3999999999996,3799,3799
2023,0.03,11322,11322,8710.957229832911,8287,8287
2024,0.03,18736,18695,13995.452261068745,13161,13161
2022,0.04,4993,4993,3994.3999999999996,3799,3799
2023,0.04,11322,11305,8710.358112526486,8287,8287
2024,0.04,18736,18615,13992.693312853113,13161,13161
2022,0.05,4993,4993,3994.3999999999996,3799,3799
2023,0.05,11322,11279,8709.193148334958,8285,8287
2024,0.05,18736,18550,13989.79782642998,13157,13161
2022,0.06,4993,4993,3994.3999999999996,3799,3799
2023,0.06,11322,11249,8707.531153795117,8282,8287
2024,0.06,18736,18482,13986.043862087756,13154,13161
2022,0.07,4993,4993,3994.3999999999996,3799,3799
2023,0.07,11322,11225,8706.000561634377,8281,8287
2024,0.07,18736,18413,13981.547125739222,13145,13161
2022,0.08,4993,4993,3994.3999999999996,3799,3799
2023,0.08,11322,11209,8704.784367563318,8281,8287
2024,0.08,18736,18363,13977.834389161546,13142,13161
2022,0.09,4993,4993,3994.3999999999996,3799,3799
2023,0.09,11322,11192,8703.332047299333,8281,8287
2024,0.09,18736,18340,13975.87360799848,13140,13161
2022,0.1,4993,4993,3994.3999999999996,3799,3799
2023,0.1,11322,11175,8701.685245389219,8280,8287
2024,0.1,18736,18314,13973.37305540654,13139,13161
2022,0.11,4993,4993,3994.3999999999996,3799,3799
2023,0.11,11322,11136,8697.55504807569,8278,8287
2024,0.11,18736,18267,13968.391463979373,13137,13161
2022,0.12,4993,4993,3994.3999999999996,3799,3799
2023,0.12,11322,11092,8692.498726800528,8274,8287
2024,0.12,18736,18194,13960.016897775675,13131,13161
2022,0.13,4993,4993,3994.3999999999996,3799,3799
2023,0.13,11322,11062,8688.749033370546,8271,8287
2024,0.13,18736,18145,13953.885841336703,13127,13161
2022,0.14,4993,4993,3994.3999999999996,3799,3799
2023,0.14,11322,11045,8686.463257990796,8270,8287
2024,0.14,18736,18106,13948.630016880477,13120,13161
2022,0.15,4993,4993,3994.3999999999996,3799,3799
2023,0.15,11322,11025,8683.557627857015,8266,8287
2024,0.15,18736,18063,13942.407194317584,13112,13161
2022,0.16,4993,4993,3994.3999999999996,3799,3799
2023,0.16,11322,10992,8678.451985239797,8260,8287
2024,0.16,18736,17999,13932.46620015952,13100,13161
2022,0.17,4993,4993,3994.3999999999996,3799,3799
2023,0.17,11322,10961,8673.332166363994,8256,8287
2024,0.17,18736,17918,13919.105229647575,13079,13161
2022,0.18,4993,4993,3994.3999999999996,3799,3799
2023,0.18,11322,10931,8668.09264221479,8242,8287
2024,0.18,18736,17828,13903.335294855904,13056,13161
2022,0.19,4993,4993,3994.3999999999996,3799,3799
2023,0.19,11322,10907,8663.643018277002,8238,8287
2024,0.19,18736,17743,13887.625415953828,13040,13161
2022,0.2,4993,4993,3994.3999999999996,3799,3799
2023,0.2,11322,10859,8654.271549429915,8219,8287
2024,0.2,18736,17653,13870.042552427965,13011,13161
2022,0.21,4993,4993,3994.3999999999996,3799,3799
2023,0.21,11322,10840,8650.377632990583,8212,8287
2024,0.21,18736,17592,13857.515657095159,12992,13161
2022,0.22,4993,4993,3994.3999999999996,3799,3799
2023,0.22,11322,10816,8645.224893279685,8206,8287
2024,0.22,18736,17513,13840.579117764813,12972,13161
2022,0.23,4993,4993,3994.3999999999996,3799,3799
2023,0.23,11322,10771,8635.100566091756,8190,8287
2024,0.23,18736,17408,13816.957152831257,12948,13161
2022,0.24,4993,4993,3994.3999999999996,3799,3799
2023,0.24,11322,10742,8628.30250808944,8180,8287
2024,0.24,18736,17208,13769.958909036712,12927,13161
2022,0.25,4993,4993,3994.3999999999996,3799,3799
2023,0.25,11322,10491,8567.421839439818,8167,8287
2024,0.25,18736,16664,13637.659534260452,12900,13161
2022,0.26,4993,4993,3994.3999999999996,3799,3799
2023,0.26,11322,10463,8560.265409113916,8159,8287
2024,0.26,18736,16551,13608.937705948683,12882,13161
2022,0.27,4993,4993,3994.3999999999996,3799,3799
2023,0.27,11322,10427,8550.749733193825,8151,8287
2024,0.27,18736,16460,13584.835899683403,12854,13161
2022,0.28,4993,4993,3994.3999999999996,3799,3799
2023,0.28,11322,10398,8542.744873777572,8141,8287
2024,0.28,18736,16386,13564.448486421905,12832,13161
2022,0.29,4993,4993,3994.3999999999996,3799,3799
2023,0.29,11322,10366,8533.636359215356,8131,8287
2024,0.29,18736,16318,13545.078462453172,12817,13161
2022,0.3,4993,4993,3994.3999999999996,3799,3799
2023,0.3,11322,10326,8521.825017849409,8120,8287
2024,0.3,18736,16245,13523.547076364794,12796,13161
2022,0.31,4993,4993,3994.3999999999996,3799,3799
2023,0.31,11322,10302,8514.512575578792,8111,8287
2024,0.31,18736,16189,13506.48422139956,12783,13161
2022,0.32,4993,4993,3994.3999999999996,3799,3799
2023,0.32,11322,10281,8507.887537830038,8099,8287
2024,0.32,18736,16137,13490.125865845694,12760,13161
2022,0.33,4993,4993,3994.3999999999996,3799,3799
2023,0.33,11322,10247,8496.835483908273,8087,8287
2024,0.33,18736,16084,13472.883526697766,12742,13161
2022,0.34,4993,4993,3994.3999999999996,3799,3799
2023,0.34,11322,10220,8487.819292026032,8079,8287
2024,0.34,18736,16023,13452.485791400737,12727,13161
2022,0.35,4993,4993,3994.3999999999996,3799,3799
2023,0.35,11322,10196,8479.532718913977,8071,8287
2024,0.35,18736,15978,13436.940252319211,12717,13161
2022,0.36,4993,4993,3994.3999999999996,3799,3799
2023,0.36,11322,10176,8472.433329773368,8064,8287
2024,0.36,18736,15932,13420.629555625044,12704,13161
2022,0.37,4993,4993,3994.3999999999996,3799,3799
2023,0.37,11322,10145,8461.073459295447,8053,8287
2024,0.37,18736,15877,13400.492929582524,12687,13161
2022,0.38,4993,4993,3994.3999999999996,3799,3799
2023,0.38,11322,10116,8450.168995478336,8044,8287
2024,0.38,18736,15826,13381.341853190577,12672,13161
2022,0.39,4993,4993,3994.3999999999996,3799,3799
2023,0.39,11322,10105,8445.933994417133,8041,8287
2024,0.39,18736,15794,13369.018067434363,12665,13161
2022,0.4,4993,4993,3994.3999999999996,3799,3799
2023,0.4,11322,10093,8441.197530060452,8038,8287
2024,0.4,18736,15765,13357.561155096017,12657,13161
2022,0.41,4993,4993,3994.3999999999996,3799,3799
2023,0.41,11322,10072,8432.678063527233,8031,8287
2024,0.41,18736,15726,13341.755406244889,12645,13161
2022,0.42,4993,4993,3994.3999999999996,3799,3799
2023,0.42,11322,10056,8426.045590089921,8028,8287
2024,0.42,18736,15689,13326.412387424458,12637,13161
2022,0.43,4993,4993,3994.3999999999996,3799,3799
2023,0.43,11322,10039,8418.819996228434,8022,8287
2024,0.43,18736,15648,13308.987687753626,12623,13161
2022,0.44,4993,4993,3994.3999999999996,3799,3799
2023,0.44,11322,10028,8414.029841076284,8016,8287
2024,0.44,18736,15625,13298.96705400269,12613,13161
2022,0.45,4993,4993,3994.3999999999996,3799,3799
2023,0.45,11322,10016,8408.68638636586,8011,8287
2024,0.45,18736,15595,13285.59445194795,12604,13161
2022,0.46,4993,4993,3994.3999999999996,3799,3799
2023,0.46,11322,10004,8403.253081657367,8006,8287
2024,0.46,18736,15573,13275.613822352141,12597,13161
2022,0.47,4993,4993,3994.3999999999996,3799,3799
2023,0.47,11322,9994,8398.629890403825,8003,8287
2024,0.47,18736,15547,13263.54202716627,12592,13161
2022,0.48,4993,4993,3994.3999999999996,3799,3799
2023,0.48,11322,9982,8392.937275702754,8002,8287
2024,0.48,18736,15520,13250.711737044167,12586,13161
2022,0.49,4993,4993,3994.3999999999996,3799,3799
2023,0.49,11322,9973,8388.55361940855,7999,8287
2024,0.49,18736,15503,13242.450038084893,12583,13161
2022,0.5,4993,4993,3994.3999999999996,3799,3799
2023,0.5,11322,9962,8383.11003650605,7995,8287
2024,0.5,18736,15477,13229.578025881168,12577,13161
2022,0.51,4993,4993,3994.3999999999996,3799,3799
2023,0.51,11322,9959,8381.597439940668,7994,8287
2024,0.51,18736,15461,13221.506077439164,12573,13161
2022,0.52,4993,4993,3994.3999999999996,3799,3799
2023,0.52,11322,9957,8380.568891256213,7994,8287
2024,0.52,18736,15444,13212.757720977499,12570,13161
2022,0.53,4993,4993,3994.3999999999996,3799,3799
2023,0.53,11322,9951,8377.421741420527,7994,8287
2024,0.53,18736,15418,13199.1275010481,12565,13161
2022,0.54,4993,4993,3994.3999999999996,3799,3799
