tier_A,band,n,sum_p_active,sum_appeared,mean_p,appear_rate,excess_per_team_game,share_of_excess
False,declared_constant_0.80,1625,1300.0,346,0.8,0.2129230769230769,0.6853448275862069,0.7318162505730984
False,fitted_logistic,2147,679.8927453695179,37,0.31667105047485694,0.017233348858872847,0.46184823661603297,0.49316494595069843
True,declared_constant_0.80,614,491.20000000000005,504,0.8,0.8208469055374593,-0.009195402298850542,-0.009818918246683047
True,fitted_logistic,15698,11919.513179277421,12200,0.7593013873918601,0.777169066123073,-0.20149915281794473,-0.2151622782771139
