planted,detection_rate,cell
0.5,0.07666666666666666,team_MAE
1.0,0.29,team_MAE
1.5,0.5966666666666667,team_MAE
1.75,0.7033333333333334,team_MAE
2.0,0.8266666666666667,team_MAE
2.5,0.9633333333333334,team_MAE
3.0,0.9966666666666667,team_MAE
0.0005,0.08666666666666667,player_tierA_Brier
0.001,0.24333333333333335,player_tierA_Brier
0.0015,0.4666666666666667,player_tierA_Brier
0.002,0.6633333333333333,player_tierA_Brier
0.0025,0.8466666666666667,player_tierA_Brier
0.003,0.9666666666666667,player_tierA_Brier
