channel,scope,n_team_games,clip_low_rate,clip_high_rate,clip_total_rate,raw_min,raw_p25,raw_median,raw_p75,raw_max
paint,all,2566,0.09236165237724084,0.09275136399064692,0.18511301636788777,0.724403987448416,0.9184197930226762,0.9954394582573292,1.0756734466290077,1.3207346733790273
paint,train_2021_2023,1220,0.09016393442622951,0.09672131147540984,0.18688524590163935,0.7341140523048003,0.9235505029590023,0.9996346496511153,1.0707375630550038,1.316186314718341
paint,test_2024_2026,1346,0.09435364041604755,0.08915304606240713,0.18350668647845467,0.724403987448416,0.9137283991049114,0.9907711304316957,1.0806181569584972,1.3207346733790273
paint,test 2024,458,0.09606986899563319,0.07423580786026202,0.1703056768558952,0.7281318102638747,0.9136229226394053,0.991357959412007,1.0814160642603254,1.2619850096207355
paint,test 2025,552,0.09420289855072464,0.09239130434782608,0.18659420289855072,0.7416613606441712,0.911284757883683,0.9856133522693402,1.0811734642222415,1.2590932878063397
paint,test 2026,336,0.09226190476190477,0.10416666666666667,0.19642857142857142,0.724403987448416,0.9169251318332542,0.9936908063731311,1.0761151855777231,1.3207346733790273
3pt,all,2566,0.19914263445050662,0.2069368667186282,0.4060795011691348,0.5569448264856112,0.878969454472271,1.0058697457135715,1.1289901928409616,1.5327811458212979
3pt,train_2021_2023,1220,0.1598360655737705,0.1819672131147541,0.3418032786885246,0.5569448264856112,0.8919545383687,0.9969219980329497,1.105152065806706,1.5327811458212979
3pt,test_2024_2026,1346,0.23476968796433878,0.22956909361069835,0.46433878157503716,0.5645145214441447,0.8604965952780781,1.0213355980815262,1.1417070640524214,1.4585772353679132
3pt,test 2024,458,0.31222707423580787,0.30131004366812225,0.6135371179039302,0.5645145214441447,0.8074298875283231,1.0739242423771231,1.1747323347408638,1.4105641737441232
3pt,test 2025,552,0.20471014492753623,0.2210144927536232,0.4257246376811594,0.5898007327127062,0.8766603749925297,1.0140185502756314,1.1354730999307576,1.4585772353679132
3pt,test 2026,336,0.17857142857142858,0.14583333333333334,0.3244047619047619,0.599968129382523,0.889452501212429,1.007591971524223,1.1068570776832103,1.3556090503375626
