catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_base_ridge_2024,mae_feat_2024,delta_mae,improvement,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,degenerate,note,q_value,bh_pass,survives,delta_mae_min15,sign_min15
61,shot_diet_xpts,F,fg3,0.05,8687,3261,0.0,3.38333,3.36872,-0.01461,0.01461,-0.09815,-0.00816;-0.00874;-0.01419,---,-,True,0.00498,False,,0.042496,True,True,-0.01023,-
69,midrange_reliance,F,np2,0.15,8687,3261,0.0,1.61362,1.59904,-0.01458,0.01458,0.33615,-0.02391;-0.00626;-0.01966,---,-,True,0.00498,False,,0.042496,True,True,-0.01122,-
44,self_creation_index,D,fg3,0.2,8687,3261,0.0,3.38333,3.36945,-0.01388,0.01388,0.12513,-0.00144;-0.00383;-0.00614,---,-,True,0.00498,False,,0.042496,True,True,-0.00766,-
65,early_clock_share,F,fg3,0.05,8687,3261,0.0,3.38333,3.3718,-0.01153,0.01153,-0.28144,-0.01684;-0.02129;-0.01210,---,-,True,0.00498,False,,0.042496,True,True,-0.01497,-
60,second_unit_anchor,E,np2,,8687,3261,0.0,1.61362,1.60456,-0.00906,0.00906,-0.09179,-0.00612;-0.00249;-0.00886,---,-,True,0.00498,False,,0.042496,True,True,-0.00307,-
44,self_creation_index,D,np2,0.05,8687,3261,0.0,1.61362,1.60514,-0.00847,0.00847,0.08233,-0.00848;-0.01047;-0.00499,---,-,True,0.00498,False,,0.042496,True,True,-0.0075,-
55,closing_lineup_membership,E,np2,,8687,3261,0.0,1.61362,1.60553,-0.00808,0.00808,0.08315,-0.00593;-0.00113;-0.00341,---,-,True,0.00498,False,,0.042496,True,True,-0.00248,-
62,zone_mix_drift,F,np2,,8687,3261,0.0,1.61362,1.60832,-0.0053,0.0053,-0.07248,-0.00269;-0.00413;-0.00729,---,-,True,0.00498,False,,0.042496,True,True,-0.00199,-
55,closing_lineup_membership,E,ft,,8687,3261,0.0,2.00339,1.99895,-0.00444,0.00444,0.11701,-0.00296;-0.00309;-0.00546,---,-,True,0.00498,False,,0.042496,True,True,-0.00024,-
60,second_unit_anchor,E,ft,,8687,3261,0.0,2.00339,1.99911,-0.00428,0.00428,-0.07436,-0.00135;-0.00180;-0.00589,---,-,True,0.00498,False,,0.042496,True,True,-9e-05,-
45,garbage_cleaned_rates,D,ft,0.05,8687,3261,0.0,2.00339,2.00024,-0.00315,0.00315,0.34466,-0.00290;-0.00343;-0.00163,---,-,True,0.00498,False,,0.042496,True,True,-0.00143,-
58,stint_pm_stability,E,np2,,8687,3261,0.0,1.61362,1.61068,-0.00294,0.00294,-0.06841,-0.00171;-0.00259;-0.00636,---,-,True,0.00498,False,,0.042496,True,True,8e-05,+
16,opp_pace_tercile_profile,B,fg3,,8687,3261,0.0,3.38333,3.38047,-0.00286,0.00286,-0.13318,-0.00095;-0.00339;-0.00237,---,-,True,0.00498,False,personal shrunken surprise in opp pace tercile (possessions data),0.042496,True,True,-0.00441,-
74,star_whistle_proxy,G,ft,0.05,8687,3261,0.0,2.00339,2.00112,-0.00226,0.00226,0.0987,-0.00336;-0.00469;-0.00114,---,-,True,0.00498,False,,0.042496,True,True,-0.00151,-
