catalog_number,channel,alpha,inner_mae
76,ft,0.3,2.0799241855298165
76,ft,0.35,2.0799352198158583
76,ft,0.4,2.0799435273018205
76,ft,0.45,2.079949609587806
76,ft,0.5,2.079954285250634
76,np2,0.05,1.7668846762893973
76,np2,0.1,1.7667901536154453
76,np2,0.15,1.7667212909517316
76,np2,0.2,1.7666815918378571
76,np2,0.25,1.766665102000956
76,np2,0.3,1.766664019493751
76,np2,0.35,1.7666717457633758
76,np2,0.4,1.766683749836763
76,np2,0.45,1.7666971146295138
76,np2,0.5,1.7667108484630827
92,fg3,0.1,3.257738795867636
92,fg3,0.2,3.254185520030766
92,fg3,0.3,3.25048751018223
92,fg3,0.4,3.246710060325865
92,fg3,0.5,3.2429382716229376
92,fg3,0.6,3.239380871527478
92,fg3,0.7,3.236177091987336
92,fg3,0.8,3.2333639919768977
92,fg3,0.9,3.230987443893188
92,paint,0.1,3.585228813511204
92,paint,0.2,3.5839290170244387
92,paint,0.3,3.5823155759556102
92,paint,0.4,3.580309633828737
92,paint,0.5,3.5780672295563267
92,paint,0.6,3.575628280096358
92,paint,0.7,3.573103589285269
92,paint,0.8,3.570788141610182
92,paint,0.9,3.568723520881084
92,ft,0.1,2.0717774324894553
92,ft,0.2,2.0694761491694234
92,ft,0.3,2.067240056236942
92,ft,0.4,2.0651849342884474
92,ft,0.5,2.0634732081628493
92,ft,0.6,2.062210121557182
92,ft,0.7,2.0613968935450377
92,ft,0.8,2.061078277795
92,ft,0.9,2.0611648555589697
92,np2,0.1,1.76833874818061
92,np2,0.2,1.766027626190023
92,np2,0.3,1.763502755818242
92,np2,0.4,1.7608958298106157
92,np2,0.5,1.7583547196341354
92,np2,0.6,1.7559808105455337
92,np2,0.7,1.7538765306518511
92,np2,0.8,1.7521026400814577
92,np2,0.9,1.7506829472594794
93,fg3,0.05,3.26636599176364
93,fg3,0.1,3.2638874943561
93,fg3,0.15,3.2647876191217384
93,fg3,0.2,3.265826111429547
93,fg3,0.25,3.2667168244853215
93,fg3,0.3,3.2674615714401747
93,fg3,0.35,3.268065420700463
93,fg3,0.4,3.2685760854783807
93,fg3,0.45,3.26897157580742
93,fg3,0.5,3.26927350794796
93,paint,0.05,3.5859421177966255
93,paint,0.1,3.5868933704065022
93,paint,0.15,3.5867838563318437
93,paint,0.2,3.5865880028475075
93,paint,0.25,3.5864100126694787
93,paint,0.3,3.586272444527101
93,paint,0.35,3.586178096222693
93,paint,0.4,3.586121161684203
93,paint,0.45,3.5860967500909013
93,paint,0.5,3.5860908849632067
93,ft,0.05,2.0793167986671364
93,ft,0.1,2.080743151127475
93,ft,0.15,2.0807287802481444
93,ft,0.2,2.080769447864123
93,ft,0.25,2.0807968430687414
93,ft,0.3,2.08080583132216
93,ft,0.35,2.0807964189782218
93,ft,0.4,2.080777203646789
93,ft,0.45,2.0807571094346335
93,ft,0.5,2.0807414102960577
93,np2,0.05,1.7681311188699584
93,np2,0.1,1.7669567347830475
93,np2,0.15,1.7668189464759603
93,np2,0.2,1.766822730308167
93,np2,0.25,1.766836398028655
93,np2,0.3,1.7668402628139708
93,np2,0.35,1.7668369311118852
93,np2,0.4,1.766828201969372
93,np2,0.45,1.7668154425206712
93,np2,0.5,1.766798003769435
95,fg3,0.05,3.2724823618817265
95,fg3,0.1,3.2723572906449907
95,fg3,0.15,3.2721639860929046
95,fg3,0.2,3.2719535743376764
95,fg3,0.25,3.2716986626479674
95,fg3,0.3,3.2714243282058733
95,fg3,0.35,3.2711471950991693
95,fg3,0.4,3.2709125025090233
95,fg3,0.45,3.270707734969333
95,fg3,0.5,3.270528330362201
