catalog_number,channel,alpha,inner_mae
21,ft,0.4,2.0799668754478877
21,ft,0.45,2.080011712847949
21,ft,0.5,2.080055100414011
21,np2,0.05,1.7662598347984781
21,np2,0.1,1.7662908488655045
21,np2,0.15,1.7663234610941512
21,np2,0.2,1.766354451073074
21,np2,0.25,1.7663811074544873
21,np2,0.3,1.7664020999224075
21,np2,0.35,1.766417682034658
21,np2,0.4,1.7664301269814437
21,np2,0.45,1.7664393707908344
21,np2,0.5,1.7664472819488675
22,paint,0.05,3.585992832063143
22,paint,0.1,3.585922412047856
22,paint,0.15,3.5858984735022843
22,paint,0.2,3.5859311818690034
22,paint,0.25,3.5859930551375676
22,paint,0.3,3.5860632634687106
22,paint,0.35,3.5861410713260278
22,paint,0.4,3.5862229422492313
22,paint,0.45,3.586295391585988
22,paint,0.5,3.586359174549925
22,np2,0.05,1.7669790896797732
22,np2,0.1,1.766935554409791
22,np2,0.15,1.7668986611214483
22,np2,0.2,1.7668762920394492
22,np2,0.25,1.7668699265049639
22,np2,0.3,1.7668764807149728
22,np2,0.35,1.7668918489329835
22,np2,0.4,1.7669119067617858
22,np2,0.45,1.7669344460051803
22,np2,0.5,1.7669554652313788
23,fg3,0.05,3.2661397042699836
23,fg3,0.1,3.2661700878957767
23,fg3,0.15,3.2662135162977664
23,fg3,0.2,3.2662606444312394
23,fg3,0.25,3.2663048073912186
23,fg3,0.3,3.266341680526903
23,fg3,0.35,3.266367078418376
23,fg3,0.4,3.2663821426215827
23,fg3,0.45,3.266387150858236
23,fg3,0.5,3.266383576715441
23,paint,0.05,3.592761445087314
23,paint,0.1,3.5923977906452405
23,paint,0.15,3.5920348741091845
23,paint,0.2,3.591708946164573
23,paint,0.25,3.591422486173103
23,paint,0.3,3.591179446023658
23,paint,0.35,3.5909711600632637
23,paint,0.4,3.5908039082376875
23,paint,0.45,3.5906632796188496
23,paint,0.5,3.590554616537812
23,ft,0.05,2.080238153436405
23,ft,0.1,2.080247539192277
23,ft,0.15,2.0802454080827055
23,ft,0.2,2.0802366046437584
23,ft,0.25,2.0802232770554747
23,ft,0.3,2.0802072201545907
23,ft,0.35,2.080188903471837
23,ft,0.4,2.0801716395385346
23,ft,0.45,2.0801535677838534
23,ft,0.5,2.080133349300086
23,np2,0.05,1.7661236790498431
23,np2,0.1,1.7660940291555753
23,np2,0.15,1.7660890976012273
23,np2,0.2,1.7661052251479639
23,np2,0.25,1.7661337187328527
23,np2,0.3,1.766171541356621
23,np2,0.35,1.766212571690902
23,np2,0.4,1.7662538294767567
23,np2,0.45,1.7662917326431915
23,np2,0.5,1.7663256430662513
24,fg3,0.05,3.2681688941844533
24,fg3,0.1,3.2682022656586427
24,fg3,0.15,3.2681744393598353
24,fg3,0.2,3.268096880147148
24,fg3,0.25,3.267986488679768
24,fg3,0.3,3.2678656349989814
24,fg3,0.35,3.2677446015558433
24,fg3,0.4,3.2676316387305655
24,fg3,0.45,3.267544964821379
24,fg3,0.5,3.26747564393618
25,fg3,0.05,3.26679829660335
25,fg3,0.1,3.266755317744458
25,fg3,0.15,3.2666963100793587
25,fg3,0.2,3.266652574858766
25,fg3,0.25,3.266649987873315
25,fg3,0.3,3.266701195562355
25,fg3,0.35,3.266806033873399
25,fg3,0.4,3.266951049394939
25,fg3,0.45,3.267127051443945
25,fg3,0.5,3.267326244116201
25,paint,0.05,3.586448295084917
25,paint,0.1,3.5864513523390933
25,paint,0.15,3.5864760633098687
25,paint,0.2,3.5865170358842646
25,paint,0.25,3.5865397538937995
25,paint,0.3,3.5865319641017863
25,paint,0.35,3.5865004966148084
25,paint,0.4,3.5864557476248176
25,paint,0.45,3.586405934820011
25,paint,0.5,3.5863406759489753
25,ft,0.05,2.0796818210822012
25,ft,0.1,2.0796453799460566
25,ft,0.15,2.0796047312144004
25,ft,0.2,2.0795829466479194
25,ft,0.25,2.079584386086286
25,ft,0.3,2.0796061593615573
25,ft,0.35,2.079640462405556
25,ft,0.4,2.079680093941691
25,ft,0.45,2.07971685676789
25,ft,0.5,2.0797460262482304
25,np2,0.05,1.7660621541044952
25,np2,0.1,1.7660899861017914
25,np2,0.15,1.7661487127911215
25,np2,0.2,1.766222890826007
25,np2,0.25,1.7663017554772165
25,np2,0.3,1.7663785023312102
25,np2,0.35,1.766452025025904
25,np2,0.4,1.7665166697885606
25,np2,0.45,1.7665713168239996
25,np2,0.5,1.7666153691430992
41,fg3,0.05,3.2631238023942117
41,fg3,0.1,3.263388817692755
41,fg3,0.15,3.2637778045209447
41,fg3,0.2,3.2641237361103976
41,fg3,0.25,3.2644078407414994
41,fg3,0.3,3.264653422503768
