catalog_number,name,channel,alpha_chosen,delta_mae_min15,p_value_min15,sign_min15,agrees_with_primary
1,home_lift_shrunk,fg3,0.05,-0.00073,0.09453,-,True
1,home_lift_shrunk,paint,0.3,0.00019,0.58706,+,True
1,home_lift_shrunk,ft,0.3,0.00052,0.82587,+,True
1,home_lift_shrunk,np2,0.05,0.00013,0.69154,+,False
2,home_3ppct_diff,fg3,,-0.00042,0.1791,-,False
3,home_ftpct_diff,ft,,0.00021,0.65174,+,True
4,home_usage_shift,fg3,0.5,-0.00015,0.31343,-,True
4,home_usage_shift,paint,0.05,0.00074,0.81592,+,True
4,home_usage_shift,ft,0.4,0.00059,0.88557,+,True
4,home_usage_shift,np2,0.05,0.00146,0.9801,+,True
5,home_minutes_shift,fg3,0.5,0.0003,0.67662,+,False
5,home_minutes_shift,paint,0.05,-0.00106,0.04975,-,True
5,home_minutes_shift,ft,0.5,-1e-05,0.46766,-,False
5,home_minutes_shift,np2,0.45,-0.00135,0.02488,-,True
6,rest_bucket_profile,fg3,,0.00042,0.69154,+,True
6,rest_bucket_profile,paint,,-0.00105,0.07463,-,True
6,rest_bucket_profile,ft,,-0.0,0.39303,-,False
6,rest_bucket_profile,np2,,0.00077,0.91542,+,True
8,timezone_shift,fg3,,0.00022,0.61692,+,True
8,timezone_shift,paint,,0.0006,0.75622,+,True
8,timezone_shift,ft,,-0.0008,0.06468,-,True
8,timezone_shift,np2,,-8e-05,0.35323,-,False
10,tip_time_split,fg3,,-0.00567,0.00498,-,True
10,tip_time_split,paint,,0.00086,0.74627,+,True
10,tip_time_split,ft,,0.00013,0.67164,+,False
10,tip_time_split,np2,,-0.00025,0.21393,-,True
11,trip_position,fg3,,0.00029,0.63184,+,True
11,trip_position,paint,,0.00034,0.69652,+,True
11,trip_position,ft,,-0.00127,0.03483,-,True
11,trip_position,np2,,6e-05,0.57711,+,True
12,opp_def_tercile_profile,fg3,,0.00192,0.92537,+,True
12,opp_def_tercile_profile,paint,,-8e-05,0.29353,-,True
12,opp_def_tercile_profile,ft,,0.00025,0.76119,+,True
12,opp_def_tercile_profile,np2,,0.00066,0.85572,+,True
13,3pa_vs_opp_3pallowed,fg3,0.05,-0.00238,0.00995,-,True
14,paintrel_vs_rimprot,paint,0.5,0.00175,0.91542,+,True
15,ftr_vs_opp_foulprop,ft,0.05,0.00064,0.89055,+,False
16,opp_pace_tercile_profile,fg3,,-0.00441,0.00995,-,True
16,opp_pace_tercile_profile,paint,,-0.0,0.37313,-,True
16,opp_pace_tercile_profile,ft,,0.00022,0.78109,+,False
16,opp_pace_tercile_profile,np2,,-0.00085,0.04478,-,False
19,career_h2h_franchise,fg3,,-0.00187,0.0597,-,True
19,career_h2h_franchise,paint,,-0.00477,0.00498,-,True
