signal,n,played_rate,mean_model_p,mean_abs_expmin_err
none,3589,0.8222346057397604,0.8292193774485704,4.823402904209313
unknown,4,1.0,0.9135979520970852,7.292970322003807
available,3,1.0,0.9815015313742537,6.3816255729693045
day_to_day,1,0.0,0.22414712896200456,2.1331924817886683
