feature,coef_standardized
intercept,21.49240214888718
min_share_ewma,9.677140577810137
min_ewma,-4.693938759152304
started_last,1.8242776568619448
min_last1,1.0203801869753248
min_expmean,0.7587230186514424
start_share_l5,-0.7481346283436805
min_mean_l5,0.6378416301198311
player_gp_season,0.46513720721369056
team_gp_season,-0.3159032152330795
days_since_last_appearance,-0.3028543083208932
min_trend_delta,-0.26230452719166414
returning_flag,-0.2463084645064059
days_rest_team,0.22978063011205932
few_prior_apps_flag,0.15117900137653512
prev_dnp_inj,0.14986855223684206
team_bench_share_ewma,0.1415039055120165
vacated_min,0.14063241994049244
miss_other_l21,-0.14043809328103937
team_n_rotation_ewma,-0.12716950449404052
suspension_l30,0.09973422599621172
prev_dnp_nwt,0.08384941081473549
starts_streak,0.07504388007351784
pf_per_min_ewma,0.07487742148168063
waived_since_last_game,-0.06457843896417728
prev_dnp_cd,-0.06054999936166501
games_missed_streak,-0.05341453345441942
miss_inj_l21,-0.04990441032779827
returned_teammate_min,-0.0420719133067503
blowout_proxy,0.04134251415222053
min_std_l10,-0.021079945265540224
b2b_flag,0.013762321646578205
home_flag,0.0015151902367340397
roster_move_l14,0.0009837631266100104
