bin,n,mean_pred,obs_rate
"(0.00433, 0.43]",1633,0.21520895893631267,0.23698714023270054
"(0.43, 0.75]",1632,0.5982545949816493,0.5275735294117647
"(0.75, 0.885]",1632,0.8305017471382745,0.8026960784313726
"(0.885, 0.933]",1632,0.9127087052693368,0.9105392156862745
"(0.933, 0.953]",1633,0.9436743881341928,0.9540722596448254
"(0.953, 0.965]",1632,0.9591473181333995,0.9742647058823529
"(0.965, 0.974]",1632,0.9697382808494224,0.9797794117647058
"(0.974, 0.98]",1632,0.9771234127509751,0.9791666666666666
"(0.98, 0.985]",1632,0.9825326537436346,0.9859068627450981
"(0.985, 0.995]",1633,0.9877836906974804,0.9834660134721371
