lambda,fold1,fold2,fold3,mean_val_loss
0.01,0.08069583319093207,0.07420489840456992,0.0711818424982989,0.07536085803126696
0.031623,0.08069378121080052,0.07420407770739428,0.07118098749886496,0.07535961547235326
0.1,0.08068737003678839,0.07420149695432617,0.0711782894202563,0.07535571880379027
0.316228,0.08066785085884254,0.07419347880458924,0.07116981325772283,0.07534371430705154
1.0,0.08061303887265736,0.07416949500326593,0.07114355782827884,0.07530869723473405
3.162278,0.08049315342255536,0.07410575327964433,0.07106569084594311,0.0752215325160476
10.0,0.080386731793123,0.0739889112701393,0.0708625553697461,0.07507939947766946
31.622777,0.0806586985026098,0.07397030004486531,0.07048787358243779,0.07503895737663763
100.0,0.08160522607443108,0.0744560166855206,0.07023026508127034,0.07543050261374067
316.227766,0.08326466357178365,0.07578510315526983,0.07070774978989294,0.07658583883898214
1000.0,0.08647671475904209,0.07856130075465957,0.0726566652373181,0.07923156025033994
3162.27766,0.09429406543271301,0.08471102762685365,0.07796278192066874,0.08565595832674515
10000.0,0.10743390422670944,0.09711829407352962,0.09018302227683801,0.09824507352569235
