lambda,fold1,fold2,fold3,mean_val_loss
0.01,4.866956340465979,4.681285791039546,4.606690759557848,4.718310963687791
0.031623,4.867008689074172,4.68125151781575,4.60671117188187,4.71832379292393
0.1,4.86716832452928,4.68114837724715,4.606777820086745,4.718364840621059
0.316228,4.8677514085107285,4.680852105941289,4.606984272628742,4.718529262360254
1.0,4.869389510193718,4.6803065504569625,4.607571519955604,4.719089193535429
3.162278,4.872723043337314,4.679861466564097,4.60900094566092,4.720528485187444
10.0,4.876064824716994,4.680854582555181,4.611627419200644,4.722848942157607
31.622777,4.87723677453773,4.684046105521896,4.615393231253101,4.725558703770909
100.0,4.876659138012751,4.688705085003025,4.62073624375991,4.728700155591895
316.227766,4.881130767173661,4.697960566380014,4.630426132728236,4.736505822093971
1000.0,4.916806718465443,4.721697016482395,4.651444988247971,4.76331624106527
3162.27766,5.054200328533548,4.7983760779769975,4.7077096898469435,4.853428698785829
10000.0,5.543325571820686,5.068658384375704,4.8983839278658134,5.170122628020734
