feature,stage,in_stage_a
min_ewma,B,True
min_last1,B,False
min_mean_l5,B,False
min_expmean,B,False
min_std_l10,B,False
min_share_ewma,B,False
min_trend_delta,B,False
player_gp_season,B,True
started_last,B,True
start_share_l5,B,True
starts_streak,B,False
days_since_last_appearance,B,True
games_missed_streak,B,True
returning_flag,B,True
prev_dnp_cd,B,True
prev_dnp_inj,B,True
prev_dnp_nwt,B,True
days_rest_team,B,False
b2b_flag,B,False
home_flag,B,False
team_gp_season,B,True
blowout_proxy,B,False
team_bench_share_ewma,B,False
team_n_rotation_ewma,B,False
vacated_min,B,False
returned_teammate_min,B,False
pf_per_min_ewma,B,False
few_prior_apps_flag,B,False
miss_inj_l21,B,True
miss_other_l21,B,True
roster_move_l14,B,True
suspension_l30,B,True
waived_since_last_game,B,True
p_plays_prior,A,True
played_last_team_game,A,True
played_share_l10_team_games,A,True
