row_id,player,date,feature,stored,recomputed,abs_diff,identical
1022500078:1627668,Breanna Stewart,2025-06-19,b2b_flag,0.0,0.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,home_flag,1.0,1.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,blowout_proxy,10.652545076864511,10.652545076864511,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,team_bench_share_ewma,0.31465130025060883,0.31465130025060883,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,team_n_rotation_ewma,7.947510786679643,7.947510786679643,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,played_last_team_game,1.0,1.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,played_share_l10_team_games,1.0,1.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,games_missed_streak,0.0,0.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,returning_flag,0.0,0.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,vacated_min,28.883431144483808,28.883431144483808,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,returned_teammate_min,21.738600735591383,21.738600735591383,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,few_prior_apps_flag,0.0,0.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,miss_inj_l21,0.0,0.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,miss_other_l21,0.0,0.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,roster_move_l14,0.0,0.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,suspension_l30,0.0,0.0,0.0,True
1022500078:1627668,Breanna Stewart,2025-06-19,waived_since_last_game,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,min_ewma,33.69955534581594,33.69955534581594,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,min_last1,36.483333333333334,36.483333333333334,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,min_mean_l5,32.739999999999995,32.739999999999995,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,min_expmean,33.66190476190476,33.66190476190476,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,min_std_l10,3.0059926918560635,3.005992691856063,4.440892098500626e-16,True
1022500048:1628279,Brittney Sykes,2025-06-05,min_share_ewma,0.16849777672907965,0.16849777672907967,2.7755575615628914e-17,True
1022500048:1628279,Brittney Sykes,2025-06-05,min_trend_delta,-0.9219047619047629,-0.9219047619047629,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,player_gp_season,7.0,7.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,started_last,1.0,1.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,start_share_l5,1.0,1.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,starts_streak,7.0,7.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,days_since_last_appearance,2.0,2.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,pf_per_min_ewma,0.10883011777188772,0.10883011777188772,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,prev_dnp_cd,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,prev_dnp_inj,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,prev_dnp_nwt,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,team_gp_season,8.0,8.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,days_rest_team,2.0,2.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,b2b_flag,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,home_flag,1.0,1.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,blowout_proxy,26.913972968287645,26.913972968287645,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,team_bench_share_ewma,0.31379733075450605,0.31379733075450605,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,team_n_rotation_ewma,8.185046413218807,8.185046413218807,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,played_last_team_game,1.0,1.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,played_share_l10_team_games,0.875,0.875,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,games_missed_streak,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,returning_flag,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,vacated_min,10.303694050982855,10.303694050982855,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,returned_teammate_min,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,few_prior_apps_flag,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,miss_inj_l21,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,miss_other_l21,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,roster_move_l14,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,suspension_l30,0.0,0.0,0.0,True
1022500048:1628279,Brittney Sykes,2025-06-05,waived_since_last_game,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,min_ewma,32.86585425680853,32.86585425680853,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,min_last1,30.55,30.55,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,min_mean_l5,33.67333333333333,33.67333333333333,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,min_expmean,31.020175438596493,31.020175438596485,7.105427357601002e-15,True
1022400125:1642291,Angel Reese,2024-07-07,min_std_l10,2.697715654602325,2.6977156546023195,5.329070518200751e-15,True
1022400125:1642291,Angel Reese,2024-07-07,min_share_ewma,0.16432900822723784,0.16432900822723784,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,min_trend_delta,2.6531578947368395,2.6531578947368466,7.105427357601002e-15,True
1022400125:1642291,Angel Reese,2024-07-07,player_gp_season,19.0,19.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,started_last,1.0,1.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,start_share_l5,1.0,1.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,starts_streak,19.0,19.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,days_since_last_appearance,2.0,2.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,pf_per_min_ewma,0.09859450801572274,0.09859450801572274,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,prev_dnp_cd,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,prev_dnp_inj,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,prev_dnp_nwt,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,team_gp_season,19.0,19.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,days_rest_team,2.0,2.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,b2b_flag,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,home_flag,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,blowout_proxy,8.258375532066989,8.258375532066989,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,team_bench_share_ewma,0.27124187169273634,0.27124187169273634,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,team_n_rotation_ewma,7.649968389225086,7.649968389225086,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,played_last_team_game,1.0,1.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,played_share_l10_team_games,1.0,1.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,games_missed_streak,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,returning_flag,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,vacated_min,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,returned_teammate_min,4.275267323850299,4.275267323850299,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,few_prior_apps_flag,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,miss_inj_l21,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,miss_other_l21,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,roster_move_l14,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,suspension_l30,0.0,0.0,0.0,True
1022400125:1642291,Angel Reese,2024-07-07,waived_since_last_game,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,min_ewma,21.25995208805031,21.25995208805031,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,min_last1,30.433333333333334,30.433333333333334,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,min_mean_l5,20.56,20.560000000000002,3.552713678800501e-15,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,min_expmean,18.170416666666668,18.170416666666664,3.552713678800501e-15,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,min_std_l10,5.726153989037743,5.7261539890377415,1.7763568394002505e-15,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,min_share_ewma,0.1062992909120054,0.1062992909120054,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,min_trend_delta,2.3895833333333307,2.389583333333338,7.105427357601002e-15,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,player_gp_season,40.0,40.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,started_last,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,start_share_l5,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,starts_streak,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,days_since_last_appearance,3.0,3.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,pf_per_min_ewma,0.07222950527062115,0.07222950527062115,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,prev_dnp_cd,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,prev_dnp_inj,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,prev_dnp_nwt,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,team_gp_season,40.0,40.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,days_rest_team,3.0,3.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,b2b_flag,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,home_flag,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,blowout_proxy,4.371314390170781,4.371314390170781,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,team_bench_share_ewma,0.2916900063502888,0.2916900063502888,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,team_n_rotation_ewma,8.123342685886627,8.123342685886627,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,played_last_team_game,1.0,1.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,played_share_l10_team_games,1.0,1.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,games_missed_streak,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,returning_flag,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,vacated_min,31.27696527457104,31.27696527457104,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,returned_teammate_min,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,few_prior_apps_flag,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,miss_inj_l21,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,miss_other_l21,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,roster_move_l14,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,suspension_l30,0.0,0.0,0.0,True
1022500267:1629567,Natisha Hiedeman,2025-09-04,waived_since_last_game,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,min_ewma,21.01070535596789,21.01070535596789,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,min_last1,14.533333333333333,14.533333333333333,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,min_mean_l5,22.616666666666667,22.616666666666667,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,min_expmean,22.616666666666667,22.616666666666667,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,min_std_l10,5.480081778248961,5.480081778248961,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,min_share_ewma,0.10504758431380004,0.10504758431380007,2.7755575615628914e-17,True
1022600030:1641649,Diamond Miller,2026-05-18,min_trend_delta,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,player_gp_season,4.0,4.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,started_last,1.0,1.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,start_share_l5,1.0,1.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,starts_streak,4.0,4.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,days_since_last_appearance,3.0,3.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,pf_per_min_ewma,0.1866064807196243,0.1866064807196243,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,prev_dnp_cd,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,prev_dnp_inj,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,prev_dnp_nwt,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,team_gp_season,4.0,4.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,days_rest_team,3.0,3.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,b2b_flag,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,home_flag,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,blowout_proxy,7.383758472653062,7.383758472653062,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,team_bench_share_ewma,0.4146790798837908,0.4146790798837908,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,team_n_rotation_ewma,9.26722884559465,9.26722884559465,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,played_last_team_game,1.0,1.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,played_share_l10_team_games,1.0,1.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,games_missed_streak,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,returning_flag,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,vacated_min,44.91709195093563,44.91709195093563,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,returned_teammate_min,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,few_prior_apps_flag,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,miss_inj_l21,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,miss_other_l21,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,roster_move_l14,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,suspension_l30,0.0,0.0,0.0,True
1022600030:1641649,Diamond Miller,2026-05-18,waived_since_last_game,0.0,0.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,min_ewma,26.784349878903072,26.784349878903072,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,min_last1,23.883333333333333,23.883333333333333,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,min_mean_l5,28.043333333333333,28.043333333333333,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,min_expmean,27.96388888888889,27.96388888888889,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,min_std_l10,4.214464730302411,4.214464730302411,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,min_share_ewma,0.13032240354357363,0.1303224035435736,2.7755575615628914e-17,True
1022600057:1642792,Kiki Iriafen,2026-05-29,min_trend_delta,0.07944444444444443,0.07944444444444443,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,player_gp_season,6.0,6.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,started_last,1.0,1.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,start_share_l5,1.0,1.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,starts_streak,6.0,6.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,days_since_last_appearance,2.0,2.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,pf_per_min_ewma,0.13677688979107697,0.13677688979107697,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,prev_dnp_cd,0.0,0.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,prev_dnp_inj,0.0,0.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,prev_dnp_nwt,0.0,0.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,team_gp_season,6.0,6.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,days_rest_team,2.0,2.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,b2b_flag,0.0,0.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,home_flag,1.0,1.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,blowout_proxy,0.5439869898988166,0.5439869898988166,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,team_bench_share_ewma,0.34384708170463907,0.34384708170463907,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,team_n_rotation_ewma,8.688833209905262,8.688833209905262,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,played_last_team_game,1.0,1.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,played_share_l10_team_games,1.0,1.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,games_missed_streak,0.0,0.0,0.0,True
1022600057:1642792,Kiki Iriafen,2026-05-29,returning_flag,0.0,0.0,0.0,True
