catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_frozen_baseline_2024,mae_feat_2024,delta_mae,observed_effect_improvement,improvement_pct_of_baseline,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,n_perm,null_sd,null_q95,se_cluster_player_season,se_iid_row_level,mde80_cluster,mde80_permutation,mde80,practical_floor,underpowered_for_floor,practical,degenerate,note,q_bh,q_by,bh_pass,by_pass,practical_tier,survives,survives_under_by,collapse_group
92,two_season_blend,I,fg3,0.1,6170,3261,0.2457,3.35611,3.33944,-0.016668,0.016668,0.4966,-0.56144,-0.00983;-0.00711;-0.00925,---,-,True,0.0005,2000,0.001868,0.002264,0.00745,0.003632,0.018524,0.004645,0.018524,0.006712,True,True,False,,0.02475,0.155248,True,False,significant_and_practical,True,False,#92 two_season_blend
55,closing_lineup_membership,E,np2,,6170,3261,0.0,1.60194,1.59281,-0.00913,0.00913,0.5699,0.09947,-0.00064;-0.00326;-0.00461,---,-,True,0.0005,2000,0.001128,0.001495,0.004326,0.001664,0.010756,0.002805,0.010756,0.003204,True,True,False,,0.02475,0.155248,True,False,significant_and_practical,True,False,#55 closing_lineup_membership
62,zone_mix_drift,F,np2,,6170,3261,0.0,1.60194,1.59661,-0.005328,0.005328,0.3326,-0.08014,-0.00998;-0.00080;-0.00908,---,-,True,0.001999,2000,0.000937,0.001284,0.002722,0.001412,0.006769,0.00233,0.006769,0.003204,True,True,False,,0.05937,0.372408,True,False,significant_and_practical,True,False,#62 zone_mix_drift
70,zone_conversion_vs_league,F,paint,,6170,3261,0.0,3.46812,3.46329,-0.004838,0.004838,0.1395,-0.07637,-0.00146;-0.00609;+0.00015,--+,-,False,0.0005,2000,0.001392,0.00142,0.001533,0.001376,0.003811,0.00346,0.003811,0.006936,False,False,False,,0.02475,0.155248,True,False,significant_only,False,False,#70 zone_conversion_vs_league
55,closing_lineup_membership,E,ft,,6170,3261,0.0,1.99187,1.98879,-0.003078,0.003078,0.1545,0.11021,+0.00279;-0.00694;-0.00596,+--,-,False,0.0005,2000,0.000853,0.000854,0.003007,0.001775,0.007476,0.002122,0.007476,0.003984,True,False,False,,0.02475,0.155248,True,False,significant_only,False,False,#55 closing_lineup_membership
9,travel_km_since_last,A,ft,,6170,3261,0.0,1.99187,1.98898,-0.002891,0.002891,0.1451,-0.05514,-0.00012;-0.00075;-0.00187,---,-,True,0.0005,2000,0.000551,0.000662,0.001003,0.000948,0.002494,0.00137,0.002494,0.003984,False,False,False,,0.02475,0.155248,True,False,significant_only,False,False,#9 travel_km_since_last
8,timezone_shift,A,ft,,6170,3261,0.0,1.99187,1.989,-0.002868,0.002868,0.144,-0.0539,-0.00024;-0.00092;-0.00119,---,-,True,0.0005,2000,0.000568,0.000644,0.00099,0.000923,0.002463,0.001412,0.002463,0.003984,False,False,False,,0.02475,0.155248,True,False,significant_only,False,False,#8 timezone_shift
60,second_unit_anchor,E,np2,,6170,3261,0.0,1.60194,1.59545,-0.006487,0.006487,0.405,-0.07119,+0.00066;-0.00220;-0.00470,+--,-,False,0.001,2000,0.001127,0.001596,0.003211,0.001251,0.007985,0.002803,0.007985,0.003204,True,True,False,,0.042429,0.266139,True,False,significant_and_practical,False,False,#60 second_unit_anchor
61,shot_diet_xpts,F,fg3,0.5,6170,3261,0.0,3.35611,3.35049,-0.005622,0.005622,0.1675,-0.11451,-0.00976;-0.00089;-0.01054,---,-,True,0.001999,2000,0.001386,0.001985,0.004038,0.001884,0.010041,0.003446,0.010041,0.006712,True,False,False,,0.05937,0.372408,True,False,significant_only,False,False,#61 shot_diet_xpts
95,team_3pvolume_spillover,J,fg3,0.05,6170,3261,0.0,3.35611,3.35089,-0.00522,0.00522,0.1555,0.12912,+0.01157;+0.00550;+0.00279,+++,-,False,0.001999,2000,0.001565,0.001932,0.002911,0.002226,0.007238,0.003891,0.007238,0.006712,True,False,False,,0.05937,0.372408,True,False,significant_only,False,False,#95 team_3pvolume_spillover
70,zone_conversion_vs_league,F,fg3,,6170,3261,0.0,3.35611,3.34969,-0.006423,0.006423,0.1914,-0.23475,-0.01429;-0.00755;-0.00398,---,-,True,0.002499,2000,0.001885,0.002144,0.009706,0.003903,0.024135,0.004686,0.024135,0.006712,True,False,False,,0.067473,0.423233,True,False,significant_only,False,False,#70 zone_conversion_vs_league
4,home_usage_shift,A,fg3,0.3,6170,3261,0.0,3.35611,3.3532,-0.002913,0.002913,0.0868,-0.16299,-0.00119;-0.00034;-0.00321,---,-,True,0.003998,2000,0.000831,0.001123,0.002301,0.002339,0.005722,0.002067,0.005722,0.006712,False,False,False,,0.09895,0.62068,True,False,significant_only,False,False,#4 home_usage_shift
