channel,alpha,w,inner_mae,fold_maes
ft,0.4,0.95,2.111527,2.092238;2.089159;2.153183
ft,0.4,0.96,2.112087,2.092629;2.089826;2.153806
ft,0.4,0.98,2.113203,2.093417;2.091165;2.155026
ft,0.4,0.99,2.113755,2.093808;2.091830;2.155626
ft,0.4,1.0,2.114302,2.094197;2.092492;2.156216
ft,0.45,0.1,2.100461,2.100792;2.079325;2.121267
ft,0.45,0.2,2.095523,2.093110;2.073011;2.120447
ft,0.45,0.3,2.092127,2.087493;2.067779;2.121109
ft,0.45,0.4,2.091106,2.084110;2.065108;2.124101
ft,0.45,0.5,2.092537,2.082624;2.065976;2.129009
ft,0.45,0.6,2.095948,2.083140;2.069366;2.135338
ft,0.45,0.7,2.100795,2.085457;2.074812;2.142114
ft,0.45,0.8,2.106547,2.088988;2.081557;2.149096
ft,0.45,0.9,2.112953,2.093223;2.089147;2.156489
ft,0.45,0.92,2.114251,2.094126;2.090691;2.157935
ft,0.45,0.94,2.11554,2.095024;2.092234;2.159362
ft,0.45,0.95,2.116178,2.095471;2.092998;2.160065
ft,0.45,0.96,2.116811,2.095917;2.093760;2.160758
ft,0.45,0.98,2.118077,2.096810;2.095286;2.162135
ft,0.45,0.99,2.118711,2.097258;2.096046;2.162828
ft,0.45,1.0,2.119339,2.097706;2.096800;2.163511
ft,0.5,0.1,2.101416,2.101334;2.079907;2.123006
ft,0.5,0.2,2.096458,2.093695;2.073523;2.122157
ft,0.5,0.3,2.093081,2.088139;2.068219;2.122887
ft,0.5,0.4,2.092194,2.084802;2.065684;2.126097
ft,0.5,0.5,2.093858,2.083429;2.066773;2.131371
ft,0.5,0.6,2.097648,2.084247;2.070516;2.138181
ft,0.5,0.7,2.102965,2.086909;2.076294;2.145693
ft,0.5,0.8,2.109467,2.090963;2.083673;2.153766
ft,0.5,0.9,2.116687,2.095759;2.092102;2.162199
ft,0.5,0.92,2.118133,2.096775;2.093802;2.163823
ft,0.5,0.94,2.119561,2.097787;2.095490;2.165405
ft,0.5,0.95,2.120268,2.098291;2.096332;2.166181
ft,0.5,0.96,2.120981,2.098799;2.097197;2.166946
ft,0.5,0.98,2.122402,2.099815;2.098904;2.168486
ft,0.5,0.99,2.123105,2.100328;2.099746;2.169241
ft,0.5,1.0,2.123803,2.100839;2.100579;2.169991
np2,0.05,0.1,1.733162,1.803328;1.721926;1.674233
np2,0.05,0.2,1.73106,1.803824;1.720177;1.669178
np2,0.05,0.3,1.728304,1.803430;1.717807;1.663675
np2,0.05,0.4,1.725534,1.802365;1.715428;1.658808
np2,0.05,0.5,1.723019,1.800972;1.713214;1.654870
np2,0.05,0.6,1.720954,1.799678;1.711313;1.651871
np2,0.05,0.7,1.71937,1.798489;1.709786;1.649835
np2,0.05,0.8,1.718154,1.797433;1.708595;1.648433
np2,0.05,0.9,1.717236,1.796575;1.707648;1.647487
np2,0.05,0.92,1.71708,1.796420;1.707483;1.647338
np2,0.05,0.94,1.716934,1.796276;1.707326;1.647200
np2,0.05,0.95,1.716866,1.796205;1.707250;1.647142
np2,0.05,0.96,1.7168,1.796138;1.707176;1.647087
np2,0.05,0.98,1.716684,1.796009;1.707033;1.647009
np2,0.05,0.99,1.716629,1.795947;1.706963;1.646977
np2,0.05,1.0,1.716577,1.795889;1.706896;1.646947
np2,0.1,0.1,1.734569,1.803453;1.724699;1.675555
np2,0.1,0.2,1.731688,1.803227;1.721960;1.669878
np2,0.1,0.3,1.728523,1.802460;1.718968;1.664139
np2,0.1,0.4,1.72549,1.801200;1.716176;1.659096
np2,0.1,0.5,1.722947,1.799781;1.713822;1.655240
np2,0.1,0.6,1.720968,1.798544;1.711927;1.652433
np2,0.1,0.7,1.719497,1.797411;1.710502;1.650578
np2,0.1,0.8,1.718488,1.796476;1.709498;1.649489
np2,0.1,0.9,1.717809,1.795726;1.708762;1.648938
np2,0.1,0.92,1.717702,1.795600;1.708640;1.648866
np2,0.1,0.94,1.717602,1.795476;1.708526;1.648804
np2,0.1,0.95,1.717556,1.795416;1.708471;1.648780
np2,0.1,0.96,1.717513,1.795356;1.708418;1.648764
np2,0.1,0.98,1.717433,1.795240;1.708317;1.648743
np2,0.1,0.99,1.717398,1.795188;1.708269;1.648736
np2,0.1,1.0,1.717363,1.795137;1.708223;1.648730
np2,0.15,0.1,1.737785,1.806084;1.728005;1.679265
np2,0.15,0.2,1.734064,1.805081;1.724417;1.672696
np2,0.15,0.3,1.730408,1.803787;1.720917;1.666520
np2,0.15,0.4,1.727248,1.802354;1.717885;1.661504
np2,0.15,0.5,1.724758,1.800961;1.715437;1.657875
np2,0.15,0.6,1.722983,1.799764;1.713614;1.655569
np2,0.15,0.7,1.721806,1.798860;1.712336;1.654222
np2,0.15,0.8,1.721124,1.798134;1.711502;1.653737
np2,0.15,0.9,1.720817,1.797532;1.711066;1.653852
np2,0.15,0.92,1.72079,1.797436;1.711013;1.653920
np2,0.15,0.94,1.720771,1.797344;1.710968;1.654002
np2,0.15,0.95,1.720765,1.797300;1.710948;1.654048
np2,0.15,0.96,1.72076,1.797256;1.710929;1.654096
np2,0.15,0.98,1.720755,1.797170;1.710901;1.654195
np2,0.15,0.99,1.720755,1.797128;1.710890;1.654247
np2,0.15,1.0,1.720756,1.797087;1.710880;1.654300
np2,0.2,0.1,1.74116,1.809271;1.730935;1.683273
np2,0.2,0.2,1.736693,1.807643;1.726561;1.675875
np2,0.2,0.3,1.732737,1.806002;1.722695;1.669514
np2,0.2,0.4,1.729533,1.804470;1.719537;1.664594
np2,0.2,0.5,1.727189,1.803174;1.717140;1.661251
np2,0.2,0.6,1.72577,1.802335;1.715651;1.659323
np2,0.2,0.7,1.725065,1.801684;1.714799;1.658711
np2,0.2,0.8,1.72485,1.801178;1.714416;1.658956
np2,0.2,0.9,1.725046,1.800870;1.714407;1.659860
np2,0.2,0.92,1.725119,1.800831;1.714450;1.660075
np2,0.2,0.94,1.725203,1.800806;1.714500;1.660301
np2,0.2,0.95,1.725246,1.800795;1.714527;1.660417
np2,0.2,0.96,1.725292,1.800787;1.714556;1.660533
np2,0.2,0.98,1.725392,1.800778;1.714618;1.660782
np2,0.2,0.99,1.725446,1.800774;1.714652;1.660913
np2,0.2,1.0,1.725501,1.800770;1.714687;1.661048
np2,0.25,0.1,1.743956,1.812309;1.733141;1.686419
np2,0.25,0.2,1.739028,1.810288;1.728278;1.678517
np2,0.25,0.3,1.734834,1.808429;1.724179;1.671895
np2,0.25,0.4,1.731658,1.806842;1.721006;1.667126
np2,0.25,0.5,1.729611,1.805896;1.718861;1.664078
np2,0.25,0.6,1.72857,1.805320;1.717689;1.662701
np2,0.25,0.7,1.728316,1.804999;1.717219;1.662730
np2,0.25,0.8,1.72875,1.804905;1.717453;1.663890
np2,0.25,0.9,1.729637,1.805213;1.718029;1.665669
np2,0.25,0.92,1.729847,1.805279;1.718204;1.666059
np2,0.25,0.94,1.730062,1.805350;1.718383;1.666454
np2,0.25,0.95,1.730172,1.805386;1.718477;1.666654
np2,0.25,0.96,1.730283,1.805421;1.718575;1.666854
np2,0.25,0.98,1.73051,1.805501;1.718774;1.667256
np2,0.25,0.99,1.730625,1.805544;1.718874;1.667458
np2,0.25,1.0,1.730741,1.805587;1.718976;1.667660
np2,0.3,0.1,1.746166,1.815105;1.734841;1.688552
np2,0.3,0.2,1.740909,1.812763;1.729711;1.680253
np2,0.3,0.3,1.736585,1.810726;1.725490;1.673538
np2,0.3,0.4,1.733497,1.809183;1.722358;1.668949
np2,0.3,0.5,1.731731,1.808487;1.720486;1.666221
np2,0.3,0.6,1.731079,1.808261;1.719514;1.665462
np2,0.3,0.7,1.731448,1.808411;1.719642;1.666290
np2,0.3,0.8,1.732546,1.809015;1.720454;1.668169
np2,0.3,0.9,1.734049,1.809827;1.721685;1.670636
np2,0.3,0.92,1.734378,1.809993;1.721978;1.671163
np2,0.3,0.94,1.734715,1.810158;1.722291;1.671695
np2,0.3,0.95,1.734885,1.810241;1.722451;1.671962
np2,0.3,0.96,1.735056,1.810322;1.722612;1.672235
np2,0.3,0.98,1.735408,1.810500;1.722942;1.672782
np2,0.3,0.99,1.735584,1.810589;1.723108;1.673055
np2,0.3,1.0,1.735761,1.810677;1.723275;1.673329
np2,0.35,0.1,1.747845,1.817465;1.736220;1.689850
np2,0.35,0.2,1.742378,1.814873;1.730937;1.681324
np2,0.35,0.3,1.737979,1.812730;1.726614;1.674593
np2,0.35,0.4,1.735004,1.811278;1.723581;1.670153
np2,0.35,0.5,1.733519,1.810792;1.721946;1.667820
np2,0.35,0.6,1.733294,1.811005;1.721346;1.667530
np2,0.35,0.7,1.734273,1.811743;1.721982;1.669094
np2,0.35,0.8,1.735968,1.812981;1.723319;1.671603
np2,0.35,0.9,1.738052,1.814375;1.725191;1.674589
np2,0.35,0.92,1.738507,1.814663;1.725618;1.675241
np2,0.35,0.94,1.738969,1.814950;1.726049;1.675910
np2,0.35,0.95,1.739202,1.815095;1.726265;1.676246
np2,0.35,0.96,1.739435,1.815240;1.726482;1.676582
np2,0.35,0.98,1.739914,1.815555;1.726917;1.677269
np2,0.35,0.99,1.740162,1.815733;1.727137;1.677615
np2,0.35,1.0,1.74041,1.815912;1.727357;1.677962
np2,0.4,0.1,1.749158,1.819389;1.737412;1.690672
np2,0.4,0.2,1.743556,1.816586;1.732040;1.682041
np2,0.4,0.3,1.739081,1.814388;1.727630;1.675223
np2,0.4,0.4,1.736252,1.813071;1.724742;1.670943
np2,0.4,0.5,1.734992,1.812817;1.723257;1.668902
np2,0.4,0.6,1.735223,1.813426;1.723095;1.669147
np2,0.4,0.7,1.736741,1.814818;1.724205;1.671200
np2,0.4,0.8,1.738983,1.816702;1.725981;1.674266
np2,0.4,0.9,1.741666,1.818709;1.728353;1.677935
np2,0.4,0.92,1.74225,1.819131;1.728881;1.678738
np2,0.4,0.94,1.742851,1.819580;1.729421;1.679552
np2,0.4,0.95,1.743159,1.819817;1.729699;1.679961
np2,0.4,0.96,1.743467,1.820053;1.729977;1.680371
np2,0.4,0.98,1.744085,1.820524;1.730540;1.681192
np2,0.4,0.99,1.744395,1.820759;1.730823;1.681602
np2,0.4,1.0,1.744708,1.821001;1.731106;1.682017
np2,0.45,0.1,1.750306,1.820947;1.738562;1.691409
np2,0.45,0.2,1.744559,1.817974;1.733095;1.682607
np2,0.45,0.3,1.740018,1.815772;1.728655;1.675626
np2,0.45,0.4,1.737298,1.814594;1.725835;1.671465
np2,0.45,0.5,1.736218,1.814557;1.724454;1.669643
np2,0.45,0.6,1.736846,1.815534;1.724712;1.670292
np2,0.45,0.7,1.738874,1.817588;1.726259;1.672777
np2,0.45,0.8,1.741634,1.820062;1.728444;1.676395
np2,0.45,0.9,1.744944,1.822697;1.731305;1.680829
np2,0.45,0.92,1.745664,1.823285;1.731953;1.681754
np2,0.45,0.94,1.746401,1.823895;1.732624;1.682685
np2,0.45,0.95,1.746771,1.824197;1.732960;1.683156
np2,0.45,0.96,1.747154,1.824498;1.733297;1.683668
np2,0.45,0.98,1.74792,1.825093;1.733973;1.684693
np2,0.45,0.99,1.748301,1.825388;1.734311;1.685204
np2,0.45,1.0,1.748682,1.825681;1.734649;1.685715
np2,0.5,0.1,1.751243,1.822186;1.739566;1.691978
np2,0.5,0.2,1.745396,1.819122;1.733999;1.683068
np2,0.5,0.3,1.740869,1.816895;1.729605;1.676107
np2,0.5,0.4,1.738202,1.815853;1.726901;1.671852
np2,0.5,0.5,1.737307,1.816066;1.725674;1.670181
np2,0.5,0.6,1.73827,1.817384;1.726247;1.671181
np2,0.5,0.7,1.7407,1.820020;1.728106;1.673974
np2,0.5,0.8,1.743995,1.823058;1.730760;1.678167
np2,0.5,0.9,1.747866,1.826342;1.734103;1.683153
np2,0.5,0.92,1.748697,1.827068;1.734835;1.684189
np2,0.5,0.94,1.749574,1.827798;1.735591;1.685332
np2,0.5,0.95,1.750017,1.828161;1.735976;1.685913
np2,0.5,0.96,1.750459,1.828521;1.736361;1.686494
np2,0.5,0.98,1.751341,1.829235;1.737131;1.687657
np2,0.5,0.99,1.751785,1.829589;1.737516;1.688249
np2,0.5,1.0,1.75223,1.829942;1.737901;1.688846
