channel,alpha,w,inner_mae,fold_maes
fg3,0.5,0.95,3.400457,3.396902;3.355370;3.449098
fg3,0.5,0.96,3.401105,3.397450;3.355933;3.449932
fg3,0.5,0.98,3.402408,3.398559;3.357062;3.451602
fg3,0.5,0.99,3.403061,3.399120;3.357626;3.452439
fg3,0.5,1.0,3.403723,3.399684;3.358193;3.453291
paint,0.05,0.1,3.604856,3.518763;3.669799;3.626008
paint,0.05,0.2,3.604398,3.518452;3.668147;3.626594
paint,0.05,0.3,3.602655,3.517281;3.664607;3.626077
paint,0.05,0.4,3.600022,3.515514;3.659836;3.624715
paint,0.05,0.5,3.596686,3.513803;3.654007;3.622248
paint,0.05,0.6,3.593261,3.512689;3.648004;3.619090
paint,0.05,0.7,3.589738,3.511367;3.642419;3.615428
paint,0.05,0.8,3.586315,3.509963;3.637122;3.611859
paint,0.05,0.9,3.583166,3.508533;3.632218;3.608749
paint,0.05,0.92,3.582591,3.508225;3.631335;3.608213
paint,0.05,0.94,3.58203,3.507915;3.630483;3.607692
paint,0.05,0.95,3.581755,3.507757;3.630075;3.607433
paint,0.05,0.96,3.581483,3.507602;3.629672;3.607174
paint,0.05,0.98,3.580942,3.507290;3.628879;3.606657
paint,0.05,0.99,3.580675,3.507134;3.628490;3.606400
paint,0.05,1.0,3.58041,3.506979;3.628105;3.606147
paint,0.1,0.1,3.610101,3.520699;3.669998;3.639607
paint,0.1,0.2,3.608683,3.519703;3.667937;3.638410
paint,0.1,0.3,3.606162,3.518330;3.664207;3.635948
paint,0.1,0.4,3.602883,3.516807;3.658918;3.632923
paint,0.1,0.5,3.599345,3.515316;3.653032;3.629686
paint,0.1,0.6,3.595758,3.514010;3.647081;3.626183
paint,0.1,0.7,3.592152,3.512462;3.641215;3.622780
paint,0.1,0.8,3.588831,3.510885;3.635995;3.619612
paint,0.1,0.9,3.585839,3.509302;3.631434;3.616781
paint,0.1,0.92,3.585283,3.508990;3.630603;3.616255
paint,0.1,0.94,3.584752,3.508689;3.629810;3.615757
paint,0.1,0.95,3.584491,3.508540;3.629420;3.615513
paint,0.1,0.96,3.584235,3.508390;3.629035;3.615281
paint,0.1,0.98,3.583733,3.508104;3.628278;3.614817
paint,0.1,0.99,3.583484,3.507958;3.627907;3.614587
paint,0.1,1.0,3.583241,3.507814;3.627546;3.614363
paint,0.15,0.1,3.619899,3.527108;3.674909;3.657680
paint,0.15,0.2,3.617047,3.525142;3.671208;3.654791
paint,0.15,0.3,3.613555,3.523321;3.666273;3.651072
paint,0.15,0.4,3.609795,3.521736;3.660369;3.647280
paint,0.15,0.5,3.60595,3.520064;3.654189;3.643598
paint,0.15,0.6,3.602128,3.518355;3.648121;3.639910
paint,0.15,0.7,3.598538,3.516857;3.642526;3.636231
paint,0.15,0.8,3.595277,3.515418;3.637505;3.632908
paint,0.15,0.9,3.592613,3.514219;3.633150;3.630469
paint,0.15,0.92,3.592137,3.514002;3.632368;3.630039
paint,0.15,0.94,3.591666,3.513781;3.631605;3.629613
paint,0.15,0.95,3.591435,3.513669;3.631234;3.629401
paint,0.15,0.96,3.591208,3.513556;3.630870;3.629198
paint,0.15,0.98,3.59077,3.513330;3.630157;3.628823
paint,0.15,0.99,3.590557,3.513221;3.629813;3.628637
paint,0.15,1.0,3.590346,3.513112;3.629474;3.628452
paint,0.2,0.1,3.632047,3.535781;3.684378;3.675982
paint,0.2,0.2,3.628192,3.532985;3.678973;3.672617
paint,0.2,0.3,3.623984,3.530653;3.672724;3.668574
paint,0.2,0.4,3.619605,3.528377;3.666300;3.664137
paint,0.2,0.5,3.61551,3.526540;3.659877;3.660114
paint,0.2,0.6,3.611547,3.524734;3.653655;3.656254
paint,0.2,0.7,3.608036,3.523370;3.647904;3.652835
paint,0.2,0.8,3.605012,3.522210;3.642827;3.650000
paint,0.2,0.9,3.602572,3.521216;3.638726;3.647774
paint,0.2,0.92,3.602148,3.521061;3.638006;3.647376
paint,0.2,0.94,3.601752,3.520944;3.637307;3.647006
paint,0.2,0.95,3.601564,3.520899;3.636964;3.646830
paint,0.2,0.96,3.601379,3.520853;3.636626;3.646657
paint,0.2,0.98,3.601019,3.520765;3.635967;3.646325
paint,0.2,0.99,3.600849,3.520721;3.635654;3.646172
paint,0.2,1.0,3.600681,3.520676;3.635347;3.646020
paint,0.25,0.1,3.644505,3.545125;3.695345;3.693046
paint,0.25,0.2,3.639581,3.541850;3.688533;3.688360
paint,0.25,0.3,3.634577,3.539022;3.681295;3.683415
paint,0.25,0.4,3.629748,3.536415;3.674312;3.678517
paint,0.25,0.5,3.625427,3.534449;3.667518;3.674313
paint,0.25,0.6,3.621537,3.532890;3.661209;3.670511
paint,0.25,0.7,3.618325,3.531717;3.655746;3.667512
paint,0.25,0.8,3.615859,3.531033;3.651222;3.665321
paint,0.25,0.9,3.614061,3.530629;3.647899;3.663655
paint,0.25,0.92,3.613768,3.530575;3.647342;3.663386
paint,0.25,0.94,3.613502,3.530539;3.646826;3.663141
paint,0.25,0.95,3.613386,3.530528;3.646589;3.663041
paint,0.25,0.96,3.613277,3.530521;3.646365;3.662944
paint,0.25,0.98,3.613082,3.530516;3.645968;3.662762
paint,0.25,0.99,3.612993,3.530518;3.645784;3.662676
paint,0.25,1.0,3.612914,3.530522;3.645605;3.662616
paint,0.3,0.1,3.655937,3.554041;3.706544;3.707226
paint,0.3,0.2,3.65035,3.550268;3.698710;3.702073
paint,0.3,0.3,3.644853,3.546927;3.690791;3.696840
paint,0.3,0.4,3.639785,3.544135;3.683587;3.691633
paint,0.3,0.5,3.635428,3.542429;3.676578;3.687277
paint,0.3,0.6,3.631679,3.541345;3.670152;3.683539
paint,0.3,0.7,3.628729,3.540695;3.665041;3.680450
paint,0.3,0.8,3.626831,3.540620;3.661401;3.678472
paint,0.3,0.9,3.62586,3.540876;3.658945;3.677759
paint,0.3,0.92,3.625723,3.540953;3.658568;3.677650
paint,0.3,0.94,3.625625,3.541056;3.658227;3.677593
paint,0.3,0.95,3.625591,3.541112;3.658080;3.677580
paint,0.3,0.96,3.625564,3.541185;3.657938;3.677569
paint,0.3,0.98,3.625543,3.541388;3.657690;3.677551
paint,0.3,0.99,3.625548,3.541519;3.657571;3.677554
paint,0.3,1.0,3.625556,3.541646;3.657464;3.677559
paint,0.35,0.1,3.666642,3.562189;3.717720;3.720016
paint,0.35,0.2,3.66061,3.557887;3.709430;3.714514
paint,0.35,0.3,3.654597,3.553885;3.701061;3.708845
paint,0.35,0.4,3.649407,3.551491;3.693411;3.703318
paint,0.35,0.5,3.644909,3.549984;3.686067;3.698675
paint,0.35,0.6,3.641323,3.549431;3.679590;3.694948
paint,0.35,0.7,3.639106,3.549446;3.675087;3.692784
paint,0.35,0.8,3.637931,3.550193;3.671985;3.691616
paint,0.35,0.9,3.637955,3.552265;3.670543;3.691058
paint,0.35,0.92,3.638107,3.552844;3.670460;3.691018
paint,0.35,0.94,3.638273,3.553432;3.670395;3.690993
paint,0.35,0.95,3.638367,3.553732;3.670367;3.691002
paint,0.35,0.96,3.638469,3.554026;3.670363;3.691018
paint,0.35,0.98,3.638679,3.554607;3.670375;3.691055
paint,0.35,0.99,3.638791,3.554905;3.670392;3.691075
paint,0.35,1.0,3.638902,3.555198;3.670411;3.691096
paint,0.4,0.1,3.676733,3.569647;3.729676;3.730877
paint,0.4,0.2,3.670238,3.565002;3.720624;3.725090
paint,0.4,0.3,3.664208,3.561542;3.711875;3.719206
paint,0.4,0.4,3.658855,3.559299;3.703804;3.713463
paint,0.4,0.5,3.654253,3.558054;3.696212;3.708492
paint,0.4,0.6,3.650934,3.557352;3.690246;3.705205
paint,0.4,0.7,3.649081,3.557789;3.685912;3.703540
paint,0.4,0.8,3.648647,3.560192;3.683298;3.702451
paint,0.4,0.9,3.649619,3.563928;3.682729;3.702201
paint,0.4,0.92,3.649951,3.564776;3.682812;3.702266
paint,0.4,0.94,3.650306,3.565632;3.682913;3.702374
paint,0.4,0.95,3.650486,3.566052;3.682975;3.702430
paint,0.4,0.96,3.65067,3.566473;3.683051;3.702486
paint,0.4,0.98,3.651049,3.567321;3.683227;3.702601
paint,0.4,0.99,3.651239,3.567740;3.683318;3.702659
paint,0.4,1.0,3.651427,3.568152;3.683411;3.702717
paint,0.45,0.1,3.686567,3.577691;3.741277;3.740732
paint,0.45,0.2,3.679449,3.572820;3.731321;3.734205
paint,0.45,0.3,3.673032,3.569046;3.722133;3.727918
paint,0.45,0.4,3.667587,3.566864;3.713762;3.722134
paint,0.45,0.5,3.663246,3.565899;3.706382;3.717456
paint,0.45,0.6,3.660226,3.565771;3.700856;3.714051
paint,0.45,0.7,3.658959,3.567074;3.697118;3.712685
