spec,stratum,n,sd_y_ppf,ppf_moved_by_1sd,CEILING_A_perfect_orthogonal_dR2,DIAGNOSTIC_corr_resid_vs_move,DIAGNOSTIC_ORACLE_dR2
SPEC_RA,all,11267,0.6398522436475321,0.009277672304472908,0.00021024160498301725,0.0021208027564093477,4.588666875440552e-06
SPEC_RA,on_stratum,5086,0.48748481535989224,0.00820962088250027,0.00028361161907523207,0.026212765637722426,0.0006957513586908785
SPEC_RA,off_stratum,6181,0.7389278021326245,0.010072547943263802,0.00018581239112333567,-0.008532997421838887,7.504070825906189e-05
SPEC_ALL5_PERZONE,all,9962,0.6510409153866297,0.00986509906027452,0.00022960764005913975,-0.0005083573566063539,2.6214571982601767e-07
SPEC_ALL5_PERZONE,on_stratum,4938,0.48841801963953374,0.009412712526041348,0.00037140370638032833,0.027458305791289616,0.0007624995610719061
SPEC_ALL5_PERZONE,off_stratum,5024,0.774240092048361,0.010290620215500798,0.0001766573812238627,-0.01580818654395798,0.00025618143503955605
SPEC_RA_XSCENTRED,all,10156,0.6422819494037921,0.008758652240797233,0.00018596153941472242,-0.002803124695675065,8.011048858740528e-06
SPEC_RA_XSCENTRED,on_stratum,4553,0.49044596574548316,0.00788041918520905,0.0002581762606161973,0.030963909146595244,0.0009741033804889269
SPEC_RA_XSCENTRED,off_stratum,5603,0.7402163323545194,0.009410265924793442,0.00016161678608603904,-0.017109967617840123,0.0003008517848275906
SPEC_ALL5_PERZONE_XSCENTRED,all,8994,0.6534416267971077,0.009496974826873839,0.00021123067123838583,-0.00270350363899092,7.410406904984163e-06
SPEC_ALL5_PERZONE_XSCENTRED,on_stratum,4431,0.49164911041995296,0.009014544447695538,0.0003361840102536724,0.03108391955859004,0.0009798919915371643
SPEC_ALL5_PERZONE_XSCENTRED,off_stratum,4563,0.7751628749282934,0.009940918203622733,0.00016446256946171488,-0.020517316717225422,0.000430351472183241
