zone,n_opp_game_rows_with_OCc,mean_OC,sd_OC,mean_lg_gap,mean_OCc,sd_OCc,corr_OC_OCc,corr_OCc_OCcxs
Restricted Area,1466,0.18857808094082543,0.03798557714970447,0.18627934916480537,0.002298731776020036,0.037946453225386305,0.9892835611661129,0.9392272833669664
In The Paint (Non-RA),1453,-0.047313783018246285,0.03389203824138978,-0.04677052787631086,-0.0005432551419354291,0.03347449308635765,0.9867002235617374,0.9377694362752428
Mid-Range,1443,-0.06945471516753499,0.034041774523921695,-0.06880000234111489,-0.0006547128264200872,0.033284856654563495,0.9772545162159061,0.9491077581134584
Corner 3,1216,-0.07527010337792321,0.05899043607717309,-0.07630238134184913,0.0010322779639259211,0.05604793557288548,0.9473051247558107,0.9519241987454377
Above the Break 3,1469,-0.09605592549510612,0.028491190116910387,-0.09544378523495903,-0.0006121402601471074,0.027772726041510248,0.9764919621712228,0.9398344888714084
