stratum,n_rows,n_signal_RA,n_signal_ALL5,n_ppf_scoreable,n_ppm_scoreable
all rows,13879,11267,9962,11267,11267
decision-relevant stratum,5107,5086,4938,5086,5086
OFF stratum,8772,6181,5024,6181,6181
